locus_tag	ftype	length_bp	gene	EC_number	COG	product
wDi_00001	CDS	1383	dnaA_1		COG0593	Chromosomal replication initiator protein DnaA
wDi_00002	CDS	873	secF			Protein translocase subunit SecF
wDi_00003	CDS	681				hypothetical protein
wDi_00004	CDS	708				IS6 family transposase ISCca2
wDi_00005	CDS	504				hypothetical protein
wDi_00006	CDS	1140				hypothetical protein
wDi_00007	CDS	912				hypothetical protein
wDi_00008	CDS	708				IS6 family transposase ISCca2
wDi_00009	CDS	1716				hypothetical protein
wDi_00010	CDS	219				hypothetical protein
wDi_00011	CDS	312				hypothetical protein
wDi_00012	CDS	252				hypothetical protein
wDi_00013	CDS	252				hypothetical protein
wDi_00014	CDS	708				IS6 family transposase ISCca2
wDi_00015	CDS	1989				hypothetical protein
wDi_00016	CDS	276				IS982 family transposase ISWpi16
wDi_00017	CDS	549				IS982 family transposase ISWpi16
wDi_00018	CDS	714				hypothetical protein
wDi_00019	CDS	1599				hypothetical protein
wDi_00020	CDS	1278	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
wDi_00021	CDS	1938				hypothetical protein
wDi_00022	CDS	237	infA			Translation initiation factor IF-1
wDi_00023	CDS	591	yhdE	3.6.1.9	COG0424	dTTP/UTP pyrophosphatase
wDi_00024	CDS	2223				hypothetical protein
wDi_00025	CDS	1338	alsT_1		COG1115	Amino-acid carrier protein AlsT
wDi_00026	CDS	504				hypothetical protein
wDi_00027	CDS	1659	groL5			60 kDa chaperonin 5
wDi_00028	CDS	291	groS1		COG0234	10 kDa chaperonin 1
wDi_00029	CDS	798	ygfZ			tRNA-modifying protein YgfZ
wDi_00030	CDS	897				hypothetical protein
wDi_00031	CDS	225				hypothetical protein
wDi_00032	CDS	777	fabI	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
wDi_00033	CDS	1464			COG3385	IS4 family transposase ISLpn5
wDi_00034	CDS	2070				hypothetical protein
wDi_00035	CDS	1371			COG2239	Magnesium transporter MgtE
wDi_00036	CDS	1014	prfB		COG1186	Peptide chain release factor RF2
wDi_00037	CDS	1287				hypothetical protein
wDi_00038	CDS	2394				hypothetical protein
wDi_00039	CDS	924	rluC	5.4.99.24	COG0564	Ribosomal large subunit pseudouridine synthase C
wDi_00040	CDS	1263	proP_1			Proline/betaine transporter
wDi_00041	CDS	1803	aspS	6.1.1.12		Aspartate--tRNA ligase
wDi_00042	CDS	1377				hypothetical protein
wDi_00043	CDS	2502	mutS		COG0249	DNA mismatch repair protein MutS
wDi_00044	CDS	2541				hypothetical protein
wDi_00045	CDS	2091	ccmF		COG1138	Cytochrome c-type biogenesis protein CcmF
wDi_00046	CDS	1233				hypothetical protein
wDi_00047	CDS	228				hypothetical protein
wDi_00048	CDS	1464			COG3385	IS4 family transposase ISLpn5
wDi_00049	CDS	579				hypothetical protein
wDi_00050	CDS	1464			COG3385	IS4 family transposase ISLpn5
wDi_00051	CDS	1107	dacF	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacF
wDi_00052	CDS	1359				hypothetical protein
wDi_00053	CDS	1161				hypothetical protein
wDi_00054	CDS	804				hypothetical protein
wDi_00055	CDS	237				hypothetical protein
wDi_00056	CDS	108				hypothetical protein
wDi_00057	CDS	2652	secA		COG0653	Protein translocase subunit SecA
wDi_00058	CDS	1089				IS481 family transposase ISWpi2
wDi_00059	CDS	936				hypothetical protein
wDi_00060	CDS	1227	mtaB	2.8.4.5	COG0621	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB
wDi_00061	CDS	285				hypothetical protein
wDi_00062	CDS	1089				IS481 family transposase ISWpi2
wDi_00063	CDS	96				hypothetical protein
wDi_00064	CDS	1563	murE_1	6.3.2.7		UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
wDi_00065	CDS	1233	aar_1	5.1.1.1	COG0626	L-alanine/L-glutamate racemase
wDi_00066	CDS	303	bolA_1		COG0271	DNA-binding transcriptional regulator BolA
wDi_00067	CDS	1914	dnaK_1		COG0443	Chaperone protein DnaK
wDi_00068	CDS	756	rne_1	3.1.26.12		Ribonuclease E
wDi_00069	CDS	231				hypothetical protein
wDi_00070	CDS	294	dnaK_2			Chaperone protein DnaK
wDi_00071	CDS	384	dnaK_3		COG0443	Chaperone protein DnaK
wDi_00072	CDS	183	dnaK_4		COG0443	Chaperone protein DnaK
wDi_00073	CDS	198	dnaK_5			Chaperone protein DnaK
wDi_00074	CDS	594	dnaK_6		COG0443	Chaperone protein DnaK
wDi_00075	CDS	324	bolA_2		COG0271	DNA-binding transcriptional regulator BolA
wDi_00076	CDS	303	aar_2	5.1.1.1	COG0626	L-alanine/L-glutamate racemase
wDi_00077	CDS	219	metZ	2.5.1.-		O-succinylhomoserine sulfhydrylase
wDi_00078	CDS	315	aar_3	5.1.1.1	COG0626	L-alanine/L-glutamate racemase
wDi_00079	CDS	159				hypothetical protein
wDi_00080	CDS	243	murE_2	6.3.2.7		UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
wDi_00081	CDS	522	murE_3	6.3.2.7		UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
wDi_00082	CDS	96				hypothetical protein
wDi_00083	CDS	300				hypothetical protein
wDi_00084	CDS	291				IS481 family transposase ISWpi2
wDi_00085	CDS	1512	rne_2	3.1.26.12	COG1530	Ribonuclease E
wDi_00086	CDS	201	rpmG		COG0267	50S ribosomal protein L33
wDi_00087	CDS	723	znuA		COG4531	High-affinity zinc uptake system protein ZnuA
wDi_00088	CDS	732	znuC	7.2.2.-	COG1121	Zinc import ATP-binding protein ZnuC
wDi_00089	CDS	1422	ubiB	2.7.-.-	COG0661	putative protein kinase UbiB
wDi_00090	CDS	1683				hypothetical protein
wDi_00091	CDS	948	trxB	1.8.1.9	COG0492	Thioredoxin reductase
wDi_00092	CDS	600	ahpC	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
wDi_00093	CDS	1185				hypothetical protein
wDi_00094	CDS	99				hypothetical protein
wDi_00095	CDS	1272				hypothetical protein
wDi_00096	CDS	759	tatC		COG0805	Sec-independent protein translocase protein TatC
wDi_00097	CDS	972	gapB	1.2.1.59	COG0057	Glyceraldehyde-3-phosphate dehydrogenase 2
wDi_00098	CDS	360				hypothetical protein
wDi_00099	CDS	855				hypothetical protein
wDi_00100	CDS	255				hypothetical protein
wDi_00101	CDS	534				hypothetical protein
wDi_00102	CDS	2121	smc_1			Chromosome partition protein Smc
wDi_00103	CDS	597				IS256 family transposase ISWpi15
