locus_tag	ftype	length_bp	gene	EC_number	COG	product
wTco_00001	CDS	753	gpFI_1			Putative prophage major tail sheath protein
wTco_00002	CDS	507				hypothetical protein
wTco_00003	CDS	876				hypothetical protein
wTco_00004	CDS	258				hypothetical protein
wTco_00005	CDS	114				hypothetical protein
wTco_00006	CDS	2316				hypothetical protein
wTco_00007	CDS	348				hypothetical protein
wTco_00008	CDS	210				hypothetical protein
wTco_00009	CDS	951				hypothetical protein
wTco_00010	CDS	537				hypothetical protein
wTco_00011	CDS	216				hypothetical protein
wTco_00012	CDS	300	pld	3.1.4.4		Phospholipase D
wTco_00013	CDS	1011				hypothetical protein
wTco_00014	CDS	903				hypothetical protein
wTco_00015	CDS	906				hypothetical protein
wTco_00016	CDS	1185				hypothetical protein
wTco_00017	CDS	657				hypothetical protein
wTco_00018	CDS	909				hypothetical protein
wTco_00019	CDS	912				hypothetical protein
wTco_00020	CDS	2871				hypothetical protein
wTco_00021	CDS	333			COG3039	IS5 family transposase ISAzo37
wTco_00022	CDS	513			COG3039	IS5 family transposase ISCARN82
wTco_00023	CDS	7266				hypothetical protein
wTco_00024	CDS	1284				hypothetical protein
wTco_00025	CDS	171				hypothetical protein
wTco_00026	CDS	240				hypothetical protein
wTco_00027	CDS	1092	yhcG_1	3.1.-.-	COG4804	Putative nuclease YhcG
wTco_00028	CDS	1233				IS256 family transposase ISWpi15
wTco_00029	CDS	111				hypothetical protein
wTco_00030	CDS	267				hypothetical protein
wTco_00031	CDS	216				hypothetical protein
wTco_00032	CDS	93				hypothetical protein
wTco_00033	CDS	141				hypothetical protein
wTco_00034	CDS	1077				hypothetical protein
wTco_00035	CDS	375	fdxA		COG1146	Ferredoxin 1
wTco_00036	CDS	954	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
wTco_00037	CDS	723	ftsQ			Cell division protein FtsQ
wTco_00038	CDS	213				hypothetical protein
wTco_00039	CDS	141				hypothetical protein
wTco_00040	CDS	336				hypothetical protein
wTco_00041	CDS	1233				IS256 family transposase ISWpi15
wTco_00042	CDS	1161				hypothetical protein
wTco_00043	CDS	354				hypothetical protein
wTco_00044	CDS	432				hypothetical protein
wTco_00045	CDS	312				hypothetical protein
wTco_00046	CDS	624	ccmA	7.6.2.5	COG4133	Cytochrome c biogenesis ATP-binding export protein CcmA
wTco_00047	CDS	1701	argS	6.1.1.19		Arginine--tRNA ligase
wTco_00048	CDS	1917				hypothetical protein
wTco_00049	CDS	765				hypothetical protein
wTco_00050	CDS	201				hypothetical protein
wTco_00051	CDS	216				hypothetical protein
wTco_00052	CDS	1698			COG1132	putative ABC transporter ATP-binding protein
wTco_00053	CDS	699	ubiE	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
wTco_00054	CDS	1149	mdtL			Multidrug resistance protein MdtL
wTco_00055	CDS	2025				hypothetical protein
wTco_00056	CDS	1233				IS256 family transposase ISWpi15
wTco_00057	CDS	600	yhdE	3.6.1.9	COG0424	dTTP/UTP pyrophosphatase
wTco_00058	CDS	237	infA			Translation initiation factor IF-1
wTco_00059	CDS	2130				hypothetical protein
wTco_00060	CDS	1278	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
wTco_00061	CDS	1524				hypothetical protein
wTco_00062	CDS	408				hypothetical protein
wTco_00063	CDS	939	argB	2.7.2.8	COG0548	Acetylglutamate kinase
wTco_00064	CDS	594	engB		COG0218	putative GTP-binding protein EngB
wTco_00065	CDS	1092	prfA		COG0216	Peptide chain release factor 1
wTco_00066	CDS	1251				hypothetical protein
wTco_00067	CDS	138				hypothetical protein
wTco_00068	CDS	1023				hypothetical protein
wTco_00069	CDS	456				hypothetical protein
wTco_00070	CDS	1212				hypothetical protein
wTco_00071	CDS	477				hypothetical protein
wTco_00072	CDS	1479				hypothetical protein
wTco_00073	CDS	1827				hypothetical protein
wTco_00074	CDS	225				hypothetical protein
wTco_00075	CDS	1032	yhcG_2	3.1.-.-	COG4804	Putative nuclease YhcG
wTco_00076	CDS	1410				hypothetical protein
wTco_00077	CDS	1014				hypothetical protein
wTco_00078	CDS	372				hypothetical protein
wTco_00079	CDS	1005				hypothetical protein
wTco_00080	CDS	312				hypothetical protein
wTco_00081	CDS	522				hypothetical protein
wTco_00082	CDS	474				hypothetical protein
wTco_00083	CDS	360				hypothetical protein
wTco_00084	CDS	255				hypothetical protein
wTco_00085	CDS	336				hypothetical protein
wTco_00086	CDS	801				hypothetical protein
wTco_00087	CDS	1161				hypothetical protein
wTco_00088	CDS	705				hypothetical protein
wTco_00089	CDS	474				hypothetical protein
wTco_00090	CDS	432				hypothetical protein
wTco_00091	CDS	1494				hypothetical protein
wTco_00092	CDS	1404				hypothetical protein
wTco_00093	CDS	3129				hypothetical protein
wTco_00094	CDS	1236				hypothetical protein
wTco_00095	CDS	13965				hypothetical protein
wTco_00096	CDS	111				hypothetical protein
wTco_00097	CDS	879				hypothetical protein
wTco_00098	CDS	909				hypothetical protein
wTco_00099	CDS	657				hypothetical protein
wTco_00100	CDS	1149				hypothetical protein
wTco_00101	CDS	900				hypothetical protein
wTco_00102	CDS	894				hypothetical protein
wTco_00103	CDS	330				hypothetical protein
wTco_00104	CDS	255				hypothetical protein
wTco_00105	CDS	336				hypothetical protein
wTco_00106	CDS	792				hypothetical protein
wTco_00107	CDS	1161				hypothetical protein
wTco_00108	CDS	702				hypothetical protein
wTco_00109	CDS	474				hypothetical protein
wTco_00110	CDS	435				hypothetical protein
wTco_00111	CDS	1491				hypothetical protein
wTco_00112	CDS	1233				IS256 family transposase ISWpi15
wTco_00113	CDS	207				hypothetical protein
wTco_00114	CDS	1020				hypothetical protein
wTco_00115	CDS	309			COG3385	IS4 family transposase ISWosp7
wTco_00116	CDS	531			COG3385	IS4 family transposase ISWosp7
wTco_00117	CDS	2940				hypothetical protein
wTco_00118	CDS	1341				hypothetical protein
wTco_00119	CDS	954				hypothetical protein
wTco_00120	CDS	1368				hypothetical protein
wTco_00121	CDS	174				hypothetical protein
wTco_00122	CDS	1344				hypothetical protein
wTco_00123	CDS	261				hypothetical protein
wTco_00124	CDS	1179				hypothetical protein
wTco_00125	CDS	921				hypothetical protein
wTco_00126	CDS	891				hypothetical protein
wTco_00127	CDS	669				hypothetical protein
wTco_00128	CDS	1257				hypothetical protein
wTco_00129	CDS	933				hypothetical protein
wTco_00130	CDS	1035				hypothetical protein
wTco_00131	CDS	153				hypothetical protein
wTco_00132	CDS	537				hypothetical protein
wTco_00133	CDS	951				hypothetical protein
wTco_00134	CDS	210				hypothetical protein
wTco_00135	CDS	348				hypothetical protein
wTco_00136	CDS	1743				hypothetical protein
wTco_00137	CDS	519				hypothetical protein
wTco_00138	CDS	180				hypothetical protein
wTco_00139	CDS	282	relG_1	3.1.-.-	COG2026	Toxin RelG
wTco_00140	CDS	201				hypothetical protein
wTco_00141	CDS	507				hypothetical protein
wTco_00142	CDS	714	gpFI_2			Putative prophage major tail sheath protein
wTco_00143	CDS	222				hypothetical protein
wTco_00144	CDS	99				hypothetical protein
wTco_00145	CDS	582				hypothetical protein
wTco_00146	CDS	195				hypothetical protein
wTco_00147	CDS	741				hypothetical protein
wTco_00148	CDS	306				hypothetical protein
wTco_00149	CDS	162				hypothetical protein
wTco_00150	CDS	225				hypothetical protein
wTco_00151	CDS	1227	mtaB	2.8.4.5	COG0621	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB
wTco_00152	CDS	951				hypothetical protein
wTco_00153	CDS	165				hypothetical protein
wTco_00154	CDS	111				hypothetical protein
wTco_00155	CDS	267				hypothetical protein
wTco_00156	CDS	1515	secD		COG0342	Protein translocase subunit SecD
wTco_00157	CDS	366				hypothetical protein
wTco_00158	CDS	879	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
wTco_00159	CDS	885	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
wTco_00160	CDS	1179	gltP		COG1301	Proton/glutamate-aspartate symporter
wTco_00161	CDS	591	pyrE	2.4.2.10		Orotate phosphoribosyltransferase
wTco_00162	CDS	453				hypothetical protein
wTco_00163	CDS	282				hypothetical protein
wTco_00164	CDS	1965	ligA	6.5.1.2		DNA ligase
wTco_00165	CDS	276				hypothetical protein
wTco_00166	CDS	1233				IS256 family transposase ISWpi15
wTco_00167	CDS	195				hypothetical protein
wTco_00168	CDS	771				hypothetical protein
wTco_00169	CDS	513			COG3385	IS4 family transposase ISWpi18
wTco_00170	CDS	189				hypothetical protein
wTco_00171	CDS	288				hypothetical protein
wTco_00172	CDS	411				hypothetical protein
wTco_00173	CDS	174				hypothetical protein
wTco_00174	CDS	1185				hypothetical protein
wTco_00175	CDS	600	ahpC	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
wTco_00176	CDS	948	trxB	1.8.1.9	COG0492	Thioredoxin reductase
wTco_00177	CDS	1866				hypothetical protein
wTco_00178	CDS	1422	ubiB	2.7.-.-	COG0661	putative protein kinase UbiB
wTco_00179	CDS	732	znuC	7.2.2.-	COG1121	Zinc import ATP-binding protein ZnuC
wTco_00180	CDS	723	znuA		COG4531	High-affinity zinc uptake system protein ZnuA
wTco_00181	CDS	231				hypothetical protein
wTco_00182	CDS	153				hypothetical protein
wTco_00183	CDS	384				hypothetical protein
wTco_00184	CDS	1173	sucB	2.3.1.61	COG0508	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
wTco_00185	CDS	1401				hypothetical protein
wTco_00186	CDS	696	ispU	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
wTco_00187	CDS	627				hypothetical protein
wTco_00188	CDS	171				hypothetical protein
wTco_00189	CDS	507	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
wTco_00190	tRNA	74				tRNA-Phe(gaa)
wTco_00191	CDS	921				hypothetical protein
wTco_00192	CDS	1149	ubiL	1.14.13.-	COG0654	Ubiquinone hydroxylase UbiL
wTco_00193	CDS	975				hypothetical protein
wTco_00194	CDS	318				IS630 family transposase ISWpi10
wTco_00195	CDS	690				IS630 family transposase ISWpi10
wTco_00196	CDS	813	ltrA_1		COG3344	Group II intron-encoded protein LtrA
wTco_00197	CDS	243				hypothetical protein
wTco_00198	CDS	201	rpmG2		COG0267	50S ribosomal protein L33 2
wTco_00199	CDS	1758	rne	3.1.26.12	COG1530	Ribonuclease E
wTco_00200	CDS	1914	dnaK		COG0443	Chaperone protein DnaK
wTco_00201	CDS	285	bolA		COG0271	DNA-binding transcriptional regulator BolA
wTco_00202	CDS	1242	aar	5.1.1.1	COG0626	L-alanine/L-glutamate racemase
wTco_00203	CDS	1584	murE	6.3.2.7		UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
wTco_00204	CDS	126				hypothetical protein
wTco_00205	CDS	885	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
wTco_00206	CDS	471				hypothetical protein
wTco_00207	CDS	588	ywlC	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
wTco_00208	CDS	852				hypothetical protein
wTco_00209	CDS	795				hypothetical protein
wTco_00210	CDS	660				hypothetical protein
wTco_00211	CDS	1500	mrpA		COG1009	Na(+)/H(+) antiporter subunit A
wTco_00212	CDS	1443	dnaB	3.6.4.12	COG0305	Replicative DNA helicase
wTco_00213	tRNA	84				tRNA-Leu(caa)
wTco_00214	CDS	603				hypothetical protein
wTco_00215	CDS	450				hypothetical protein
wTco_00216	CDS	1737	smc_1			Chromosome partition protein Smc
wTco_00217	CDS	255				hypothetical protein
wTco_00218	CDS	1326	pyrC	3.5.2.3	COG0044	Dihydroorotase
wTco_00219	CDS	1185	rnd_1	3.1.13.5	COG0349	Ribonuclease D
wTco_00220	CDS	579	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
wTco_00221	CDS	1404				hypothetical protein
wTco_00222	CDS	897				hypothetical protein
wTco_00223	CDS	1530	metG	6.1.1.10		Methionine--tRNA ligase
wTco_00224	CDS	792				hypothetical protein
wTco_00225	CDS	375				hypothetical protein
wTco_00226	CDS	408				hypothetical protein
wTco_00227	CDS	2562	clpB			Chaperone protein ClpB
wTco_00228	CDS	4671	gdh	1.4.1.2	COG2902	NAD-specific glutamate dehydrogenase
wTco_00229	CDS	291				hypothetical protein
wTco_00230	CDS	1377	pleD			Response regulator PleD
wTco_00231	CDS	729	recO			DNA repair protein RecO
wTco_00232	CDS	528				hypothetical protein
wTco_00233	CDS	294	bamE			Outer membrane protein assembly factor BamE
wTco_00234	CDS	990	nrdB	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta
wTco_00235	CDS	219				hypothetical protein
wTco_00236	CDS	1347				IS110 family transposase ISWpi13
wTco_00237	CDS	276				IS110 family transposase ISWpi13
wTco_00238	CDS	1074				IS110 family transposase ISWpi13
wTco_00239	CDS	1233				IS256 family transposase ISWpi15
wTco_00240	CDS	708				IS256 family transposase ISWpi15
wTco_00241	CDS	291				hypothetical protein
wTco_00242	CDS	321				hypothetical protein
wTco_00243	CDS	255				hypothetical protein
wTco_00244	CDS	114				hypothetical protein
wTco_00245	CDS	435				hypothetical protein
wTco_00246	CDS	534				hypothetical protein
wTco_00247	CDS	2118	smc_2			Chromosome partition protein Smc
wTco_00248	CDS	1245	cca	2.7.7.72		CCA-adding enzyme
wTco_00249	CDS	858				hypothetical protein
wTco_00250	CDS	1830	typA		COG1217	GTP-binding protein TypA/BipA
wTco_00251	CDS	1326	gltX1	6.1.1.17	COG0008	Glutamate--tRNA ligase 1
wTco_00252	CDS	1008				hypothetical protein
wTco_00253	CDS	183				hypothetical protein
wTco_00254	CDS	810	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
wTco_00255	CDS	129				hypothetical protein
wTco_00256	CDS	222				hypothetical protein
wTco_00257	CDS	867	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
wTco_00258	CDS	3390	addA	3.1.-.-	COG1074	ATP-dependent helicase/nuclease subunit A
