locus_tag	ftype	length_bp	gene	EC_number	COG	product
wMoz_00001	CDS	465	nuoF	7.1.1.-		NADH-quinone oxidoreductase subunit F
wMoz_00002	CDS	246	dnaJ_1			Chaperone protein DnaJ
wMoz_00003	CDS	189				hypothetical protein
wMoz_00004	CDS	528				hypothetical protein
wMoz_00005	CDS	1152				hypothetical protein
wMoz_00006	CDS	384				hypothetical protein
wMoz_00007	CDS	282				hypothetical protein
wMoz_00008	CDS	831	dapD	2.3.1.117		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
wMoz_00009	tRNA	76				tRNA-Ala(tgc)
wMoz_00010	CDS	1320	gltX	6.1.1.17		Glutamate--tRNA ligase
wMoz_00011	CDS	156				hypothetical protein
wMoz_00012	CDS	921	dinG	3.1.-.-		3'-5' exonuclease DinG
wMoz_00013	tRNA	73				tRNA-Glu(ttc)
wMoz_00014	CDS	162				hypothetical protein
wMoz_00015	CDS	951				hypothetical protein
wMoz_00016	CDS	1377	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
wMoz_00017	CDS	957				hypothetical protein
wMoz_00018	CDS	369			COG0537	putative HIT-like protein
wMoz_00019	CDS	354	ndhC	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 3
wMoz_00020	CDS	516	nuoB	7.1.1.-	COG0377	NADH-quinone oxidoreductase subunit B
wMoz_00021	CDS	573	nqo5	7.1.1.-	COG0852	NADH-quinone oxidoreductase chain 5
wMoz_00022	CDS	954	mdh	1.1.1.37	COG0039	Malate dehydrogenase
wMoz_00023	CDS	798	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
wMoz_00024	CDS	495	rppH	3.6.1.-	COG0494	RNA pyrophosphohydrolase
wMoz_00025	CDS	474				hypothetical protein
wMoz_00026	CDS	204				hypothetical protein
wMoz_00027	CDS	330	rsfS			Ribosomal silencing factor RsfS
wMoz_00028	CDS	1251	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
wMoz_00029	CDS	243				hypothetical protein
wMoz_00030	CDS	195				hypothetical protein
wMoz_00031	CDS	360	djlA			Co-chaperone protein DjlA
wMoz_00032	CDS	606	nfuA			Fe/S biogenesis protein NfuA
wMoz_00033	CDS	1263	hisS	6.1.1.21		Histidine--tRNA ligase
wMoz_00034	CDS	222				hypothetical protein
wMoz_00035	CDS	108				hypothetical protein
wMoz_00036	CDS	156				hypothetical protein
wMoz_00037	CDS	390	priA	3.6.4.-	COG1198	Primosomal protein N'
wMoz_00038	CDS	291				hypothetical protein
wMoz_00039	CDS	3261				hypothetical protein
wMoz_00040	CDS	864	thyX	2.1.1.148	COG1351	Flavin-dependent thymidylate synthase
wMoz_00041	CDS	1377	murAA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase 1
wMoz_00042	tmRNA	332	ssrA			transfer-messenger RNA, SsrA
wMoz_00043	CDS	438				hypothetical protein
wMoz_00044	CDS	276				hypothetical protein
wMoz_00045	CDS	2124				hypothetical protein
wMoz_00046	CDS	201				hypothetical protein
wMoz_00047	CDS	2529	mutS		COG0249	DNA mismatch repair protein MutS
wMoz_00048	CDS	1200	rnd_1	3.1.13.5	COG0349	Ribonuclease D
wMoz_00049	CDS	603	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
wMoz_00050	CDS	1425				hypothetical protein
wMoz_00051	CDS	270				hypothetical protein
wMoz_00052	CDS	171				hypothetical protein
wMoz_00053	CDS	1809				hypothetical protein
wMoz_00054	CDS	1113	mnmA	2.8.1.13	COG0482	tRNA-specific 2-thiouridylase MnmA
wMoz_00055	tRNA	76				tRNA-His(gtg)
wMoz_00056	CDS	1344	ffh		COG0541	Signal recognition particle protein
wMoz_00057	CDS	1560	ndhB	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
wMoz_00058	CDS	459				hypothetical protein
wMoz_00059	CDS	141				hypothetical protein
wMoz_00060	CDS	894	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
wMoz_00061	CDS	471				hypothetical protein
wMoz_00062	CDS	564	rimM		COG0806	Ribosome maturation factor RimM
wMoz_00063	CDS	567	efp			Elongation factor P
wMoz_00064	CDS	699	suhB	3.1.3.25	COG0483	Inositol-1-monophosphatase
wMoz_00065	CDS	1203	hemA	2.3.1.37	COG0156	5-aminolevulinate synthase
wMoz_00066	CDS	1275				hypothetical protein
wMoz_00067	CDS	384				hypothetical protein
wMoz_00068	CDS	348				hypothetical protein
wMoz_00069	CDS	141				hypothetical protein
wMoz_00070	CDS	1899	htpG		COG0326	Chaperone protein HtpG
wMoz_00071	CDS	165				hypothetical protein
wMoz_00072	CDS	492				hypothetical protein
wMoz_00073	CDS	195				hypothetical protein
wMoz_00074	CDS	639	gph	3.1.3.18	COG0546	Phosphoglycolate phosphatase
wMoz_00075	CDS	495				hypothetical protein
wMoz_00076	tRNA	77				tRNA-Arg(tct)
wMoz_00077	CDS	681	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
wMoz_00078	CDS	2268	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
wMoz_00079	CDS	273	rpsO			30S ribosomal protein S15
wMoz_00080	CDS	981	truB	5.4.99.25		tRNA pseudouridine synthase B
wMoz_00081	CDS	732				hypothetical protein
wMoz_00082	CDS	813				hypothetical protein
wMoz_00083	CDS	645				hypothetical protein
