locus_tag	ftype	length_bp	gene	EC_number	COG	product
wStur_00001	rRNA	868				16S ribosomal RNA (partial)
wStur_00002	CDS	378				hypothetical protein
wStur_00003	CDS	363				hypothetical protein
wStur_00004	CDS	1248				hypothetical protein
wStur_00005	CDS	192				hypothetical protein
wStur_00006	CDS	213				hypothetical protein
wStur_00007	CDS	249				hypothetical protein
wStur_00008	CDS	213				hypothetical protein
wStur_00009	CDS	186				hypothetical protein
wStur_00010	CDS	162				hypothetical protein
wStur_00011	CDS	225				hypothetical protein
wStur_00012	CDS	216				hypothetical protein
wStur_00013	CDS	780				hypothetical protein
wStur_00014	CDS	102				hypothetical protein
wStur_00015	CDS	279				hypothetical protein
wStur_00016	CDS	333				hypothetical protein
wStur_00017	CDS	1359				hypothetical protein
wStur_00018	CDS	405				hypothetical protein
wStur_00019	CDS	150				hypothetical protein
wStur_00020	CDS	1830	typA		COG1217	GTP-binding protein TypA/BipA
wStur_00021	CDS	954				hypothetical protein
wStur_00022	tRNA	74				tRNA-Phe(gaa)
wStur_00023	CDS	501	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
wStur_00024	CDS	219				hypothetical protein
wStur_00025	CDS	627				hypothetical protein
wStur_00026	CDS	696	ispU	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
wStur_00027	CDS	171				hypothetical protein
wStur_00028	CDS	558	frr		COG0233	Ribosome-recycling factor
wStur_00029	CDS	744	pyrH	2.7.4.22	COG0528	Uridylate kinase
wStur_00030	CDS	870	tsf		COG0264	Elongation factor Ts
wStur_00031	CDS	879	rpsB		COG0052	30S ribosomal protein S2
wStur_00032	tRNA	75				tRNA-Asp(gtc)
wStur_00033	CDS	3228	carB_1	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
wStur_00034	CDS	774	yciK	1.-.-.-	COG1028	putative oxidoreductase YciK
wStur_00035	CDS	843				hypothetical protein
wStur_00036	CDS	651				hypothetical protein
wStur_00037	CDS	186				hypothetical protein
wStur_00038	CDS	1344	algC	5.4.2.2	COG1109	Phosphomannomutase/phosphoglucomutase
wStur_00039	CDS	1224				hypothetical protein
wStur_00040	CDS	732				hypothetical protein
wStur_00041	CDS	1230	lolE		COG4591	Lipoprotein-releasing system transmembrane protein LolE
wStur_00042	CDS	852	spo0J		COG1475	Stage 0 sporulation protein J
wStur_00043	CDS	843	parA			Chromosome partitioning protein ParA
wStur_00044	CDS	2481	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
wStur_00045	CDS	825	hemF	1.3.3.3	COG0408	Oxygen-dependent coproporphyrinogen-III oxidase
wStur_00046	CDS	324	grxD		COG0278	Glutaredoxin 4
wStur_00047	CDS	219			COG0271	putative protein RP812
wStur_00048	CDS	1320	tme	1.1.1.40	COG0280	NADP-dependent malic enzyme
wStur_00049	CDS	543	pgsA	2.7.8.5	COG0558	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
wStur_00050	CDS	963				hypothetical protein
wStur_00051	CDS	735	bamD		COG4105	Outer membrane protein assembly factor BamD
wStur_00052	CDS	750			COG0217	putative transcriptional regulatory protein
wStur_00053	CDS	1119				hypothetical protein
wStur_00054	CDS	870				hypothetical protein
wStur_00055	CDS	699				hypothetical protein
wStur_00056	CDS	1206				hypothetical protein
wStur_00057	CDS	1407				hypothetical protein
wStur_00058	CDS	1797	lepA	3.6.5.-	COG0481	Elongation factor 4
wStur_00059	CDS	1272		3.4.24.-	COG0612	putative zinc protease
wStur_00060	CDS	609	sodB	1.15.1.1		Superoxide dismutase [Fe]
wStur_00061	CDS	591				hypothetical protein
wStur_00062	CDS	321				hypothetical protein
wStur_00063	CDS	987	ispB	2.5.1.90	COG0142	Octaprenyl diphosphate synthase
wStur_00064	CDS	567	grpE			Protein GrpE
wStur_00065	CDS	999	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
wStur_00066	CDS	786	ptlF		COG3504	Type IV secretion system protein PtlF
wStur_00067	CDS	282				hypothetical protein
wStur_00068	CDS	291				hypothetical protein
wStur_00069	CDS	201				hypothetical protein
wStur_00070	CDS	318				hypothetical protein
wStur_00071	CDS	408				hypothetical protein
wStur_00072	CDS	303				hypothetical protein
wStur_00073	CDS	255				hypothetical protein
wStur_00074	CDS	267				hypothetical protein
wStur_00075	CDS	222				hypothetical protein
wStur_00076	tRNA	75				tRNA-Met(cat)
wStur_00077	CDS	594	pdxH	1.4.3.5	COG0259	Pyridoxine/pyridoxamine 5'-phosphate oxidase
wStur_00078	CDS	816	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
wStur_00079	tRNA	74				tRNA-Thr(ggt)
wStur_00080	CDS	1527	pccB	6.4.1.3	COG4799	Propionyl-CoA carboxylase beta chain
wStur_00081	CDS	1326	der			GTPase Der
wStur_00082	CDS	477	dsbB			Disulfide bond formation protein B
wStur_00083	CDS	549	coq7	1.14.99.60	COG2941	3-demethoxyubiquinol 3-hydroxylase
wStur_00084	CDS	507	ppa	3.6.1.1	COG0221	Inorganic pyrophosphatase
wStur_00085	tRNA	92				tRNA-Ser(gct)
wStur_00086	CDS	126				hypothetical protein
wStur_00087	CDS	186				hypothetical protein
wStur_00088	CDS	180				hypothetical protein
wStur_00089	CDS	267	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
wStur_00090	CDS	144				hypothetical protein
wStur_00091	CDS	1248				hypothetical protein
wStur_00092	CDS	1824				hypothetical protein
wStur_00093	CDS	597	gmk	2.7.4.8	COG0194	Guanylate kinase
wStur_00094	CDS	378	dksA			RNA polymerase-binding transcription factor DksA
wStur_00095	CDS	648				hypothetical protein
wStur_00096	CDS	654	rlmE	2.1.1.166	COG0293	Ribosomal RNA large subunit methyltransferase E
wStur_00097	CDS	567				hypothetical protein
wStur_00098	CDS	1242	bepC			Outer membrane efflux protein BepC
wStur_00099	CDS	459	rplM		COG0102	50S ribosomal protein L13
wStur_00100	CDS	447	rpsI		COG0103	30S ribosomal protein S9
wStur_00101	CDS	312			COG0776	DNA-binding protein HRL53
wStur_00102	CDS	708	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
wStur_00103	CDS	168				hypothetical protein
wStur_00104	CDS	240				hypothetical protein
wStur_00105	CDS	1428	icd	1.1.1.42	COG0473	Isocitrate dehydrogenase [NADP]
wStur_00106	CDS	639	nth	4.2.99.18	COG0177	Endonuclease III
wStur_00107	CDS	1332	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
wStur_00108	CDS	108				hypothetical protein
wStur_00109	CDS	252				hypothetical protein
wStur_00110	CDS	189				hypothetical protein
wStur_00111	CDS	207	dtpA			Dipeptide and tripeptide permease A
wStur_00112	CDS	3171	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
wStur_00113	CDS	2712				hypothetical protein
wStur_00114	CDS	2583	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
wStur_00115	CDS	99				hypothetical protein
wStur_00116	CDS	201				hypothetical protein
wStur_00117	CDS	207				hypothetical protein
wStur_00118	CDS	189				hypothetical protein
wStur_00119	CDS	357				hypothetical protein
wStur_00120	CDS	372				hypothetical protein
wStur_00121	CDS	399				hypothetical protein
wStur_00122	CDS	243				hypothetical protein
wStur_00123	CDS	129				hypothetical protein
wStur_00124	CDS	126				hypothetical protein
wStur_00125	CDS	1098	prfA		COG0216	Peptide chain release factor 1
wStur_00126	CDS	594	engB			GTP-binding protein EngB
wStur_00127	CDS	942	argB	2.7.2.8	COG0548	Acetylglutamate kinase
wStur_00128	CDS	462	dut	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
wStur_00129	CDS	651				hypothetical protein
wStur_00130	CDS	216				hypothetical protein
wStur_00131	CDS	270				hypothetical protein
wStur_00132	CDS	1176				hypothetical protein
wStur_00133	CDS	1191				hypothetical protein
wStur_00134	CDS	618				hypothetical protein
wStur_00135	CDS	651				hypothetical protein
wStur_00136	CDS	225				hypothetical protein
wStur_00137	CDS	477				hypothetical protein
wStur_00138	CDS	1182	sucB	2.3.1.61	COG0508	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
wStur_00139	CDS	189				hypothetical protein
wStur_00140	CDS	129				hypothetical protein
wStur_00141	CDS	312				hypothetical protein
wStur_00142	CDS	117				hypothetical protein
wStur_00143	CDS	2661	secA		COG0653	Protein translocase subunit SecA
wStur_00144	CDS	111				hypothetical protein
wStur_00145	CDS	996	nrdB	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta
wStur_00146	CDS	339	bamE			Outer membrane protein assembly factor BamE
wStur_00147	CDS	651				hypothetical protein
wStur_00148	CDS	384				hypothetical protein
wStur_00149	CDS	2991	purL_1	6.3.5.3		Phosphoribosylformylglycinamidine synthase subunit PurL
wStur_00150	CDS	2748				hypothetical protein
wStur_00151	CDS	1425	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
wStur_00152	CDS	156				hypothetical protein
wStur_00153	CDS	309				hypothetical protein
wStur_00154	CDS	180				hypothetical protein
wStur_00155	CDS	216				hypothetical protein
wStur_00156	CDS	285				hypothetical protein
wStur_00157	CDS	450				hypothetical protein
wStur_00158	CDS	294				hypothetical protein
wStur_00159	CDS	303	rplU		COG0261	50S ribosomal protein L21
wStur_00160	CDS	270	rpmA		COG0211	50S ribosomal protein L27
wStur_00161	tRNA	77				tRNA-Ile(gat)
wStur_00162	CDS	1173	metK	2.5.1.6	COG0192	S-adenosylmethionine synthase
wStur_00163	CDS	480	tenA_1	3.5.99.2	COG0819	Aminopyrimidine aminohydrolase
wStur_00164	CDS	699	tenA_2	3.5.99.2	COG0819	Aminopyrimidine aminohydrolase
wStur_00165	CDS	819	ctaE	1.9.3.1	COG1845	Cytochrome c oxidase subunit 3
wStur_00166	CDS	489	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
wStur_00167	CDS	240			COG3385	IS4 family transposase ISWosp8
wStur_00168	CDS	198				hypothetical protein
wStur_00169	CDS	357				hypothetical protein
wStur_00170	CDS	1023		1.18.1.2	COG0492	Ferredoxin--NADP reductase
wStur_00171	CDS	261				hypothetical protein
wStur_00172	CDS	204				hypothetical protein
wStur_00173	CDS	366				hypothetical protein
wStur_00174	CDS	1605	pyrG	6.3.4.2	COG0504	CTP synthase
wStur_00175	CDS	417	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
wStur_00176	CDS	558	dcd	3.5.4.13	COG0717	dCTP deaminase
wStur_00177	CDS	114				hypothetical protein
wStur_00178	CDS	2334	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
wStur_00179	CDS	153				hypothetical protein
wStur_00180	CDS	126				hypothetical protein
wStur_00181	CDS	1113	dacC	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacC
wStur_00182	CDS	351	yrdA		COG0663	Protein YrdA
wStur_00183	CDS	183				hypothetical protein
wStur_00184	CDS	564				hypothetical protein
wStur_00185	CDS	231				hypothetical protein
wStur_00186	CDS	237				hypothetical protein
wStur_00187	CDS	105				hypothetical protein
wStur_00188	CDS	2538	valS	6.1.1.9		Valine--tRNA ligase
wStur_00189	CDS	285				hypothetical protein
wStur_00190	CDS	186				hypothetical protein
wStur_00191	CDS	156				hypothetical protein
wStur_00192	CDS	1239	smc			Chromosome partition protein Smc
wStur_00193	CDS	678	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
wStur_00194	CDS	309				hypothetical protein
wStur_00195	CDS	204				hypothetical protein
wStur_00196	CDS	162				hypothetical protein
wStur_00197	CDS	153				hypothetical protein
wStur_00198	CDS	1017	apbC		COG0489	Iron-sulfur cluster carrier protein
wStur_00199	CDS	1158	ubiL	1.14.13.-	COG0654	Ubiquinone hydroxylase UbiL
wStur_00200	CDS	225				hypothetical protein
wStur_00201	CDS	303				hypothetical protein
wStur_00202	CDS	117				hypothetical protein
wStur_00203	CDS	195				hypothetical protein
wStur_00204	CDS	930	glpX	3.1.3.11	COG1494	Fructose-1,6-bisphosphatase class 2
wStur_00205	CDS	636				hypothetical protein
wStur_00206	CDS	1095	ychF		COG0012	Ribosome-binding ATPase YchF
wStur_00207	CDS	198				hypothetical protein
wStur_00208	CDS	1176	cca	2.7.7.72		CCA-adding enzyme
wStur_00209	CDS	1476				hypothetical protein
wStur_00210	CDS	1041	gapB	1.2.1.59	COG0057	Glyceraldehyde-3-phosphate dehydrogenase 2
wStur_00211	CDS	759	tatC		COG0805	Sec-independent protein translocase protein TatC
wStur_00212	CDS	153				hypothetical protein
wStur_00213	CDS	213				hypothetical protein
wStur_00214	CDS	156				hypothetical protein
wStur_00215	CDS	2946				hypothetical protein
