locus_tag	ftype	length_bp	gene	EC_number	COG	product
wMpe_00001	CDS	186				hypothetical protein
wMpe_00002	CDS	288				hypothetical protein
wMpe_00003	CDS	666	ubiG	2.1.1.222	COG2227	Ubiquinone biosynthesis O-methyltransferase
wMpe_00004	CDS	459	ywlF	5.3.1.-	COG0698	Putative sugar phosphate isomerase YwlF
wMpe_00005	CDS	1764	dnaG	2.7.7.-		DNA primase
wMpe_00006	CDS	267				hypothetical protein
wMpe_00007	CDS	117				hypothetical protein
wMpe_00008	CDS	729				hypothetical protein
wMpe_00009	CDS	585				hypothetical protein
wMpe_00010	CDS	2646	ppdK	2.7.9.1	COG0574	Pyruvate, phosphate dikinase
wMpe_00011	CDS	168				hypothetical protein
wMpe_00012	CDS	174				hypothetical protein
wMpe_00013	CDS	198				hypothetical protein
wMpe_00014	CDS	930	glpX	3.1.3.11	COG1494	Fructose-1,6-bisphosphatase class 2
wMpe_00015	CDS	1008				hypothetical protein
wMpe_00016	CDS	273	ychF_1		COG0012	Ribosome-binding ATPase YchF
wMpe_00017	CDS	141				hypothetical protein
wMpe_00018	CDS	468	ychF_2		COG0012	Ribosome-binding ATPase YchF
wMpe_00019	CDS	351				hypothetical protein
wMpe_00020	CDS	282				hypothetical protein
wMpe_00021	CDS	1170	cca	2.7.7.72		CCA-adding enzyme
wMpe_00022	CDS	225				hypothetical protein
wMpe_00023	CDS	528				hypothetical protein
wMpe_00024	CDS	327				hypothetical protein
wMpe_00025	CDS	192				hypothetical protein
wMpe_00026	CDS	129				hypothetical protein
wMpe_00027	CDS	456				hypothetical protein
wMpe_00028	CDS	243				hypothetical protein
wMpe_00029	CDS	927	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
wMpe_00030	CDS	354	GATC	6.3.5.-		Glutamyl-tRNA(Gln) amidotransferase subunit C, chloroplastic/mitochondrial
wMpe_00031	CDS	1236	mtaB	2.8.4.5	COG0621	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB
wMpe_00032	CDS	789				hypothetical protein
wMpe_00033	CDS	1521	sctC			Type 3 secretion system secretin
wMpe_00034	CDS	708	rnc	3.1.26.3		Ribonuclease 3
wMpe_00035	CDS	1041	pyrD	1.3.5.2	COG0167	Dihydroorotate dehydrogenase (quinone)
wMpe_00036	CDS	237				hypothetical protein
wMpe_00037	CDS	267				hypothetical protein
wMpe_00038	CDS	225				hypothetical protein
wMpe_00039	CDS	1965	ccmF		COG1138	Cytochrome c-type biogenesis protein CcmF
wMpe_00040	CDS	126				hypothetical protein
wMpe_00041	CDS	171				hypothetical protein
wMpe_00042	CDS	882	secF			Protein translocase subunit SecF
wMpe_00043	CDS	513				hypothetical protein
wMpe_00044	CDS	1719	yidC		COG0706	Membrane protein insertase YidC
wMpe_00045	CDS	429	ribH1	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase 1
wMpe_00046	CDS	483	nusB			Transcription antitermination protein NusB
wMpe_00047	CDS	264	infA			Translation initiation factor IF-1
wMpe_00048	CDS	597	yhdE	3.6.1.9	COG0424	dTTP/UTP pyrophosphatase
wMpe_00049	CDS	669				hypothetical protein
wMpe_00050	CDS	1167				hypothetical protein
wMpe_00051	CDS	1353	acp			Sodium/proton-dependent alanine carrier protein
wMpe_00052	CDS	204				hypothetical protein
wMpe_00053	CDS	1653	groL5			60 kDa chaperonin 5
wMpe_00054	CDS	291	groS			10 kDa chaperonin
wMpe_00055	CDS	882	ygfZ			tRNA-modifying protein YgfZ
wMpe_00056	CDS	1485	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
wMpe_00057	CDS	921				hypothetical protein
wMpe_00058	CDS	189				hypothetical protein
wMpe_00059	CDS	171				hypothetical protein
wMpe_00060	CDS	189				hypothetical protein
wMpe_00061	CDS	267				hypothetical protein
wMpe_00062	CDS	618	argD_1	2.6.1.11	COG4992	Acetylornithine aminotransferase
wMpe_00063	CDS	1239	glmU			Bifunctional protein GlmU
wMpe_00064	CDS	1044	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
wMpe_00065	CDS	162				hypothetical protein
wMpe_00066	CDS	597	ribE	2.5.1.9		Riboflavin synthase
wMpe_00067	CDS	588				hypothetical protein
wMpe_00068	CDS	183				hypothetical protein
wMpe_00069	CDS	450	smpB			SsrA-binding protein
wMpe_00070	CDS	789	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
wMpe_00071	CDS	189				hypothetical protein
wMpe_00072	CDS	300				hypothetical protein
wMpe_00073	CDS	225				hypothetical protein
wMpe_00074	CDS	138				hypothetical protein
wMpe_00075	CDS	1017	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
wMpe_00076	CDS	159				hypothetical protein
wMpe_00077	CDS	477				hypothetical protein
wMpe_00078	CDS	345				hypothetical protein
wMpe_00079	CDS	213				hypothetical protein
wMpe_00080	CDS	1422	der		COG1160	GTPase Der
wMpe_00081	CDS	477	dsbB			Disulfide bond formation protein B
wMpe_00082	CDS	543	coq7	1.14.99.60	COG2941	3-demethoxyubiquinol 3-hydroxylase
wMpe_00083	CDS	516	ppa	3.6.1.1	COG0221	Inorganic pyrophosphatase
wMpe_00084	tRNA	93				tRNA-Ser(gct)
wMpe_00085	CDS	1254				hypothetical protein
wMpe_00086	CDS	1797				hypothetical protein
wMpe_00087	CDS	282				hypothetical protein
wMpe_00088	CDS	381				hypothetical protein
wMpe_00089	CDS	102				hypothetical protein
wMpe_00090	CDS	1404				hypothetical protein
wMpe_00091	CDS	1797	lepA	3.6.5.-	COG0481	Elongation factor 4
wMpe_00092	CDS	750	yciK	1.-.-.-	COG1028	putative oxidoreductase YciK
wMpe_00093	CDS	915				hypothetical protein
wMpe_00094	CDS	168				hypothetical protein
wMpe_00095	CDS	1464	trkG		COG0168	Trk system potassium uptake protein TrkG
wMpe_00096	CDS	1020	pstS			Phosphate-binding protein PstS
wMpe_00097	CDS	141				hypothetical protein
wMpe_00098	CDS	429	rplQ		COG0203	50S ribosomal protein L17
wMpe_00099	CDS	1068	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
wMpe_00100	CDS	387	rpsK		COG0100	30S ribosomal protein S11
wMpe_00101	CDS	369	rpsM		COG0099	30S ribosomal protein S13
wMpe_00102	CDS	651	adk	2.7.4.3	COG0563	Adenylate kinase
wMpe_00103	CDS	1329	secY		COG0201	Protein translocase subunit SecY
wMpe_00104	CDS	471	rplO		COG0200	50S ribosomal protein L15
wMpe_00105	CDS	513	rpsE		COG0098	30S ribosomal protein S5
wMpe_00106	CDS	372	rplR		COG0256	50S ribosomal protein L18
wMpe_00107	CDS	546	rplF		COG0097	50S ribosomal protein L6
wMpe_00108	CDS	396	rpsH		COG0096	30S ribosomal protein S8
wMpe_00109	CDS	309	rpsN		COG0199	30S ribosomal protein S14
wMpe_00110	CDS	534	rplE			50S ribosomal protein L5
wMpe_00111	CDS	318	rplX			50S ribosomal protein L24
wMpe_00112	CDS	360	rplN		COG0093	50S ribosomal protein L14
wMpe_00113	CDS	234	rpsQ		COG0186	30S ribosomal protein S17
wMpe_00114	CDS	204	rpmC		COG0255	50S ribosomal protein L29
wMpe_00115	CDS	414	rplP		COG0197	50S ribosomal protein L16
wMpe_00116	CDS	168				hypothetical protein
wMpe_00117	CDS	375				hypothetical protein
wMpe_00118	CDS	1860	polA_1	2.7.7.7		DNA polymerase I, thermostable
wMpe_00119	CDS	690	polA_2	2.7.7.7		DNA polymerase I, thermostable
wMpe_00120	CDS	1047				hypothetical protein
wMpe_00121	CDS	1428	tldD	3.4.-.-	COG0312	Metalloprotease TldD
wMpe_00122	tRNA	85				tRNA-Leu(cag)
wMpe_00123	CDS	312				hypothetical protein
wMpe_00124	CDS	294				hypothetical protein
wMpe_00125	CDS	162				hypothetical protein
wMpe_00126	CDS	660	tmk	2.7.4.9	COG0125	Thymidylate kinase
wMpe_00127	CDS	573				hypothetical protein
wMpe_00128	CDS	1719	kefC		COG0475	Glutathione-regulated potassium-efflux system protein KefC
wMpe_00129	CDS	507				hypothetical protein
wMpe_00130	CDS	345	bfr	1.16.3.1	COG2193	Bacterioferritin
wMpe_00131	CDS	258				hypothetical protein
wMpe_00132	CDS	1911	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase
wMpe_00133	CDS	510	infC			Translation initiation factor IF-3
wMpe_00134	CDS	1263	proP_1			Proline/betaine transporter
wMpe_00135	CDS	1866	aspS	6.1.1.12		Aspartate--tRNA ligase
wMpe_00136	CDS	432				hypothetical protein
wMpe_00137	tRNA	74				tRNA-Lys(ttt)
wMpe_00138	CDS	1287	nuoF	7.1.1.-		NADH-quinone oxidoreductase subunit F
wMpe_00139	CDS	210				hypothetical protein
wMpe_00140	CDS	342				hypothetical protein
wMpe_00141	CDS	1152				hypothetical protein
wMpe_00142	CDS	384				hypothetical protein
wMpe_00143	CDS	282				hypothetical protein
wMpe_00144	CDS	831	dapD	2.3.1.117		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
wMpe_00145	CDS	294				hypothetical protein
wMpe_00146	tRNA	76				tRNA-Ala(tgc)
wMpe_00147	CDS	1320	gltX	6.1.1.17		Glutamate--tRNA ligase
wMpe_00148	CDS	132				hypothetical protein
wMpe_00149	CDS	768	dinG	3.1.-.-		3'-5' exonuclease DinG
wMpe_00150	tRNA	73				tRNA-Glu(ttc)
wMpe_00151	CDS	108				hypothetical protein
wMpe_00152	CDS	951				hypothetical protein
wMpe_00153	CDS	1377	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
wMpe_00154	CDS	951				hypothetical protein
wMpe_00155	CDS	369			COG0537	putative HIT-like protein
wMpe_00156	CDS	354	ndhC	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 3
wMpe_00157	CDS	516	nuoB	7.1.1.-	COG0377	NADH-quinone oxidoreductase subunit B
wMpe_00158	CDS	573	nqo5	7.1.1.-	COG0852	NADH-quinone oxidoreductase chain 5
wMpe_00159	CDS	954	mdh	1.1.1.37	COG0039	Malate dehydrogenase
wMpe_00160	CDS	798	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
wMpe_00161	CDS	495	rppH	3.6.1.-	COG0494	RNA pyrophosphohydrolase
wMpe_00162	CDS	438				hypothetical protein
wMpe_00163	CDS	210				hypothetical protein
wMpe_00164	CDS	447				hypothetical protein
wMpe_00165	CDS	237				hypothetical protein
wMpe_00166	CDS	255				hypothetical protein
wMpe_00167	CDS	402				hypothetical protein
wMpe_00168	CDS	999	bfmBAB	1.2.4.4	COG0022	2-oxoisovalerate dehydrogenase subunit beta
wMpe_00169	CDS	1371			COG2239	Magnesium transporter MgtE
wMpe_00170	CDS	906	prfB		COG1186	Peptide chain release factor RF2
wMpe_00171	CDS	186				hypothetical protein
wMpe_00172	CDS	99				hypothetical protein
wMpe_00173	CDS	363				hypothetical protein
wMpe_00174	CDS	600	ahpC	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
