locus_tag	ftype	length_bp	gene	EC_number	COG	product
wCtub_00001	CDS	573		6.3.3.2	COG0212	5-formyltetrahydrofolate cyclo-ligase
wCtub_00002	CDS	630				hypothetical protein
wCtub_00003	tRNA	89				tRNA-Ser(gga)
wCtub_00004	CDS	246				hypothetical protein
wCtub_00005	CDS	2373	gyrB	5.6.2.2		DNA gyrase subunit B
wCtub_00006	CDS	759				hypothetical protein
wCtub_00007	CDS	528				hypothetical protein
wCtub_00008	CDS	1743	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
wCtub_00009	CDS	471				hypothetical protein
wCtub_00010	CDS	885	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
wCtub_00011	CDS	1524	purH		COG0138	Bifunctional purine biosynthesis protein PurH
wCtub_00012	CDS	1404	fumC	4.2.1.2	COG0114	Fumarate hydratase class II
wCtub_00013	CDS	1578	lysS	6.1.1.6	COG1384	Lysine--tRNA ligase
wCtub_00014	CDS	294				hypothetical protein
wCtub_00015	CDS	2406	virB4_1		COG3451	Type IV secretion system protein virB4
wCtub_00016	CDS	2514				hypothetical protein
wCtub_00017	CDS	2391				hypothetical protein
wCtub_00018	CDS	2889				hypothetical protein
wCtub_00019	CDS	105				hypothetical protein
wCtub_00020	CDS	3168				hypothetical protein
wCtub_00021	CDS	630				hypothetical protein
wCtub_00022	CDS	549	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
wCtub_00023	CDS	1347	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
wCtub_00024	CDS	351	fdx		COG0633	2Fe-2S ferredoxin
wCtub_00025	CDS	1050				hypothetical protein
wCtub_00026	CDS	387				hypothetical protein
wCtub_00027	CDS	1107	mnmA	2.8.1.13	COG0482	tRNA-specific 2-thiouridylase MnmA
wCtub_00028	CDS	1077	mreB			Cell shape-determining protein MreB
wCtub_00029	CDS	1431		3.4.17.19	COG2317	Thermostable carboxypeptidase 1
wCtub_00030	CDS	480	pal			Peptidoglycan-associated lipoprotein
wCtub_00031	CDS	1296	tilS	6.3.4.19		tRNA(Ile)-lysidine synthase
wCtub_00032	CDS	1836	ftsH	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
wCtub_00033	CDS	624				hypothetical protein
wCtub_00034	CDS	495				hypothetical protein
wCtub_00035	CDS	639	gph	3.1.3.18	COG0546	Phosphoglycolate phosphatase
wCtub_00036	CDS	1914	htpG		COG0326	Chaperone protein HtpG
wCtub_00037	CDS	795				hypothetical protein
wCtub_00038	CDS	1203	hemA	2.3.1.37	COG0156	5-aminolevulinate synthase
wCtub_00039	CDS	699	suhB	3.1.3.25	COG0483	Inositol-1-monophosphatase
wCtub_00040	CDS	567	efp			Elongation factor P
wCtub_00041	CDS	513	rimM		COG0806	Ribosome maturation factor RimM
wCtub_00042	CDS	114				hypothetical protein
wCtub_00043	CDS	468	bcp	1.11.1.15	COG1225	Putative peroxiredoxin bcp
wCtub_00044	CDS	1095	recF		COG1195	DNA replication and repair protein RecF
wCtub_00045	CDS	771	ctrA			Cell cycle response regulator CtrA
wCtub_00046	CDS	978	gpsA	1.1.1.94	COG0240	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
wCtub_00047	CDS	483	pgpA	3.1.3.27	COG1267	Phosphatidylglycerophosphatase A
wCtub_00048	CDS	780				hypothetical protein
wCtub_00049	CDS	1137				hypothetical protein
wCtub_00050	CDS	792	sdhB	1.3.5.1	COG0479	Succinate dehydrogenase iron-sulfur subunit
wCtub_00051	CDS	447	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
wCtub_00052	CDS	240				hypothetical protein
wCtub_00053	CDS	147				hypothetical protein
wCtub_00054	CDS	633				hypothetical protein
wCtub_00055	CDS	456	dut	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
wCtub_00056	CDS	939	argB	2.7.2.8	COG0548	Acetylglutamate kinase
wCtub_00057	CDS	585	engB			GTP-binding protein EngB
wCtub_00058	CDS	1080	prfA		COG0216	Peptide chain release factor 1
wCtub_00059	CDS	1581	alaS_1	6.1.1.7	COG0013	Alanine--tRNA ligase
wCtub_00060	CDS	834	alaS_2	6.1.1.7	COG0013	Alanine--tRNA ligase
wCtub_00061	CDS	2736				hypothetical protein
wCtub_00062	CDS	3276	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
wCtub_00063	CDS	96				hypothetical protein
wCtub_00064	CDS	1293	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
wCtub_00065	CDS	204				hypothetical protein
wCtub_00066	CDS	1320	gltX	6.1.1.17		Glutamate--tRNA ligase
wCtub_00067	CDS	1344	pyrC	3.5.2.3	COG0044	Dihydroorotase
wCtub_00068	CDS	723				hypothetical protein
wCtub_00069	CDS	1707				hypothetical protein
wCtub_00070	CDS	1806	sdhA	1.3.5.1	COG1053	Succinate dehydrogenase flavoprotein subunit
wCtub_00071	CDS	2286	priA	3.6.4.-		primosomal protein N'
wCtub_00072	CDS	2310	clpA		COG0542	ATP-dependent Clp protease ATP-binding subunit ClpA
wCtub_00073	CDS	897	fbaB	4.1.2.13	COG1830	Fructose-bisphosphate aldolase class 1
wCtub_00074	tRNA	73				tRNA-Cys(gca)
wCtub_00075	CDS	1038	pyrD	1.3.5.2	COG0167	Dihydroorotate dehydrogenase (quinone)
wCtub_00076	CDS	747	rnc	3.1.26.3		Ribonuclease 3
wCtub_00077	tRNA	73				tRNA-Glu(ttc)
