locus_tag	ftype	length_bp	gene	EC_number	COG	product
wCfeF_00001	CDS	807				hypothetical protein
wCfeF_00002	CDS	1599				hypothetical protein
wCfeF_00003	CDS	405	apaG		COG2967	Protein ApaG
wCfeF_00004	CDS	1059	purK	6.3.4.18		N5-carboxyaminoimidazole ribonucleotide synthase
wCfeF_00005	CDS	951				hypothetical protein
wCfeF_00006	CDS	117				hypothetical protein
wCfeF_00007	CDS	1068	recA			Protein RecA
wCfeF_00008	CDS	693	psd	4.1.1.65	COG0688	Phosphatidylserine decarboxylase proenzyme
wCfeF_00009	CDS	771				hypothetical protein
wCfeF_00010	CDS	1341	alsT_1		COG1115	Amino-acid carrier protein AlsT
wCfeF_00011	CDS	1467	alsT_2		COG1115	Amino-acid carrier protein AlsT
wCfeF_00012	CDS	585	plsY	2.3.1.275	COG0344	Glycerol-3-phosphate acyltransferase
wCfeF_00013	CDS	117				hypothetical protein
wCfeF_00014	CDS	2079	smc_1			Chromosome partition protein Smc
wCfeF_00015	CDS	486	yrrK	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
wCfeF_00016	CDS	1785	nrdZ	1.17.4.1		Vitamin B12-dependent ribonucleoside-diphosphate reductase
wCfeF_00017	CDS	1074	COQ3_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
wCfeF_00018	rRNA	2781				23S ribosomal RNA
wCfeF_00019	rRNA	101				5S ribosomal RNA
wCfeF_00020	CDS	273				hypothetical protein
wCfeF_00021	CDS	1089	pstC		COG0573	Phosphate transport system permease protein PstC
wCfeF_00022	CDS	1467	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
wCfeF_00023	CDS	333	atpC			ATP synthase epsilon chain
wCfeF_00024	CDS	645	tal	2.2.1.2	COG0176	Transaldolase
wCfeF_00025	CDS	255				hypothetical protein
wCfeF_00026	CDS	1392	fumC	4.2.1.2	COG0114	Fumarate hydratase class II
wCfeF_00027	CDS	747	menH	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
wCfeF_00028	CDS	528				hypothetical protein
wCfeF_00029	CDS	1737	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
wCfeF_00030	CDS	471				hypothetical protein
wCfeF_00031	CDS	894	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
wCfeF_00032	CDS	990				hypothetical protein
wCfeF_00033	CDS	174				hypothetical protein
wCfeF_00034	CDS	1560	ndhB	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
wCfeF_00035	CDS	1344	ffh		COG0541	Signal recognition particle protein
wCfeF_00036	tRNA	76				tRNA-His(gtg)
wCfeF_00037	CDS	1329				hypothetical protein
wCfeF_00038	CDS	1533	lysS	6.1.1.6	COG1384	Lysine--tRNA ligase
wCfeF_00039	CDS	297				hypothetical protein
wCfeF_00040	CDS	2406	virB4_1		COG3451	Type IV secretion system protein virB4
wCfeF_00041	CDS	2541				hypothetical protein
wCfeF_00042	CDS	2403				hypothetical protein
wCfeF_00043	CDS	3030				hypothetical protein
wCfeF_00044	CDS	3246				hypothetical protein
wCfeF_00045	CDS	621				hypothetical protein
wCfeF_00046	CDS	549	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
wCfeF_00047	CDS	1347				hypothetical protein
wCfeF_00048	CDS	600				hypothetical protein
wCfeF_00049	CDS	1344	murD	6.3.2.9		UDP-N-acetylmuramoylalanine--D-glutamate ligase
wCfeF_00050	CDS	360	ddmB			Dicamba O-demethylase, ferredoxin component
wCfeF_00051	CDS	1059				hypothetical protein
wCfeF_00052	CDS	378				hypothetical protein
wCfeF_00053	CDS	573			COG3039	IS5 family transposase ISLpn10
wCfeF_00054	CDS	234				hypothetical protein
wCfeF_00055	CDS	129				hypothetical protein
wCfeF_00056	CDS	309				hypothetical protein
wCfeF_00057	CDS	234				hypothetical protein
wCfeF_00058	CDS	165				hypothetical protein
wCfeF_00059	CDS	219				hypothetical protein
wCfeF_00060	CDS	114				hypothetical protein
wCfeF_00061	CDS	987				hypothetical protein
wCfeF_00062	CDS	1137			COG1373	putative protein
wCfeF_00063	CDS	873				hypothetical protein
wCfeF_00064	CDS	294				hypothetical protein
wCfeF_00065	CDS	600				hypothetical protein
wCfeF_00066	CDS	672	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
wCfeF_00067	CDS	600			COG3385	IS4 family transposase ISWpi18
wCfeF_00068	CDS	621			COG3385	IS4 family transposase ISWpi18
wCfeF_00069	CDS	279				hypothetical protein
wCfeF_00070	CDS	1029				IS481 family transposase ISWpi2
wCfeF_00071	CDS	624				IS110 family transposase ISWpi13
wCfeF_00072	CDS	486				IS110 family transposase ISWpi13
wCfeF_00073	CDS	378				hypothetical protein
wCfeF_00074	CDS	129				hypothetical protein
wCfeF_00075	CDS	999	bfmBAB	1.2.4.4	COG0022	2-oxoisovalerate dehydrogenase subunit beta
wCfeF_00076	CDS	1371			COG2239	Magnesium transporter MgtE
wCfeF_00077	CDS	1050	prfB		COG1186	Peptide chain release factor RF2
wCfeF_00078	CDS	1401	der			GTPase Der
wCfeF_00079	CDS	1107				hypothetical protein
wCfeF_00080	CDS	1938	rpoD		COG0568	RNA polymerase sigma factor RpoD
wCfeF_00081	CDS	327				hypothetical protein
wCfeF_00082	CDS	417				hypothetical protein
wCfeF_00083	CDS	522				hypothetical protein
wCfeF_00084	CDS	288				hypothetical protein
wCfeF_00085	CDS	225				hypothetical protein
wCfeF_00086	CDS	429	rpoZ	2.7.7.6		DNA-directed RNA polymerase subunit omega
wCfeF_00087	CDS	342				hypothetical protein
wCfeF_00088	CDS	492	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
wCfeF_00089	CDS	1869	mutL			DNA mismatch repair protein MutL
wCfeF_00090	CDS	588				hypothetical protein
wCfeF_00091	CDS	1416	rho	3.6.4.-	COG1158	Transcription termination factor Rho
wCfeF_00092	CDS	1431	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
wCfeF_00093	CDS	117				hypothetical protein
wCfeF_00094	CDS	951				hypothetical protein
wCfeF_00095	CDS	1377	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
wCfeF_00096	CDS	882				hypothetical protein
wCfeF_00097	CDS	369			COG0537	putative HIT-like protein
wCfeF_00098	CDS	354	ndhC	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 3
wCfeF_00099	CDS	516	nuoB	7.1.1.-	COG0377	NADH-quinone oxidoreductase subunit B
wCfeF_00100	CDS	573	nqo5	7.1.1.-	COG0852	NADH-quinone oxidoreductase chain 5
wCfeF_00101	CDS	951	mdh	1.1.1.37	COG0039	Malate dehydrogenase
wCfeF_00102	CDS	777	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
wCfeF_00103	CDS	495	rppH	3.6.1.-	COG0494	RNA pyrophosphohydrolase
wCfeF_00104	CDS	606				hypothetical protein
wCfeF_00105	CDS	330	rsfS			Ribosomal silencing factor RsfS
wCfeF_00106	CDS	1251	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
wCfeF_00107	CDS	357				hypothetical protein
