locus_tag	ftype	length_bp	gene	EC_number	COG	product
wCfeJ_00001	CDS	1302	algA		COG0662	Alginate biosynthesis protein AlgA
wCfeJ_00002	CDS	438				hypothetical protein
wCfeJ_00003	CDS	816				hypothetical protein
wCfeJ_00004	CDS	366				hypothetical protein
wCfeJ_00005	CDS	378				hypothetical protein
wCfeJ_00006	rRNA	1500				16S ribosomal RNA
wCfeJ_00007	CDS	543				hypothetical protein
wCfeJ_00008	CDS	501				hypothetical protein
wCfeJ_00009	CDS	768		2.1.1.-		Putative TrmH family tRNA/rRNA methyltransferase
wCfeJ_00010	CDS	723	ybhL		COG0670	Inner membrane protein YbhL
wCfeJ_00011	CDS	537	ctaG		COG3175	Cytochrome c oxidase assembly protein CtaG
wCfeJ_00012	CDS	735				hypothetical protein
wCfeJ_00013	CDS	1395	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
wCfeJ_00014	CDS	1242	aar	5.1.1.1	COG0626	L-alanine/L-glutamate racemase
wCfeJ_00015	CDS	282	bolA		COG0271	DNA-binding transcriptional regulator BolA
wCfeJ_00016	CDS	870				IS982 family transposase ISWpi16
wCfeJ_00017	CDS	489	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
wCfeJ_00018	CDS	828	ctaE	1.9.3.1	COG1845	Cytochrome c oxidase subunit 3
wCfeJ_00019	CDS	660	tenA_1	3.5.99.2	COG0819	Aminopyrimidine aminohydrolase
wCfeJ_00020	CDS	687	tenA_2	3.5.99.2	COG0819	Aminopyrimidine aminohydrolase
wCfeJ_00021	CDS	1173	metK	2.5.1.6	COG0192	S-adenosylmethionine synthase
wCfeJ_00022	tRNA	77				tRNA-Ile(gat)
wCfeJ_00023	CDS	270	rpmA		COG0211	50S ribosomal protein L27
wCfeJ_00024	CDS	303	rplU		COG0261	50S ribosomal protein L21
wCfeJ_00025	CDS	591				hypothetical protein
wCfeJ_00026	CDS	903				hypothetical protein
wCfeJ_00027	CDS	1011				hypothetical protein
wCfeJ_00028	CDS	2859				hypothetical protein
wCfeJ_00029	CDS	1425	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
wCfeJ_00030	CDS	1554				hypothetical protein
wCfeJ_00031	CDS	1092				hypothetical protein
wCfeJ_00032	CDS	795				hypothetical protein
wCfeJ_00033	CDS	537	def1	3.5.1.88	COG0242	Peptide deformylase 1
wCfeJ_00034	CDS	1239	ftsA		COG0849	Cell division protein FtsA
wCfeJ_00035	CDS	1056				hypothetical protein
wCfeJ_00036	CDS	1326	der			GTPase Der
wCfeJ_00037	CDS	474	dsbB			Disulfide bond formation protein B
wCfeJ_00038	CDS	618				hypothetical protein
wCfeJ_00039	CDS	2586	leuS	6.1.1.4		Leucine--tRNA ligase
wCfeJ_00040	CDS	744				hypothetical protein
wCfeJ_00041	CDS	195				hypothetical protein
wCfeJ_00042	CDS	2268	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
wCfeJ_00043	CDS	273	rpsO			30S ribosomal protein S15
wCfeJ_00044	CDS	987	truB	5.4.99.25		tRNA pseudouridine synthase B
wCfeJ_00045	CDS	705				hypothetical protein
wCfeJ_00046	CDS	1188	tgt	2.4.2.29		Queuine tRNA-ribosyltransferase
