locus_tag	ftype	length_bp	gene	EC_number	COG	product
wBm_00001	CDS	1044	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
wBm_00002	CDS	1194	aatA	2.6.1.1	COG0436	Aspartate/prephenate aminotransferase
wBm_00003	CDS	1212				hypothetical protein
wBm_00004	CDS	1278	glyA	2.1.2.1		Serine hydroxymethyltransferase
wBm_00005	CDS	1194				hypothetical protein
wBm_00006	CDS	885	era			GTPase Era
wBm_00007	CDS	828				hypothetical protein
wBm_00008	CDS	186				hypothetical protein
wBm_00009	CDS	1959				hypothetical protein
wBm_00010	CDS	222				hypothetical protein
wBm_00011	tRNA	88				tRNA-Ser(gga)
wBm_00012	CDS	267				hypothetical protein
wBm_00013	CDS	1263	proP_1			Proline/betaine transporter
wBm_00014	CDS	1803	aspS	6.1.1.12		Aspartate--tRNA ligase
wBm_00015	CDS	432				hypothetical protein
wBm_00016	CDS	621	ccmA	7.6.2.5	COG4133	Cytochrome c biogenesis ATP-binding export protein CcmA
wBm_00017	CDS	1122	mrdB	2.4.1.129		Peptidoglycan glycosyltransferase MrdB
wBm_00018	CDS	1464	mrpD		COG0651	Na(+)/H(+) antiporter subunit D
wBm_00019	CDS	315				hypothetical protein
wBm_00020	CDS	456				hypothetical protein
wBm_00021	CDS	2268	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
wBm_00022	CDS	273	rpsO			30S ribosomal protein S15
wBm_00023	CDS	156				hypothetical protein
wBm_00024	CDS	165	truB_1	5.4.99.25		tRNA pseudouridine synthase B
wBm_00025	CDS	219	truB_2	5.4.99.25		tRNA pseudouridine synthase B
wBm_00026	CDS	651				hypothetical protein
wBm_00027	CDS	1161	nifS	2.8.1.7	COG1104	Cysteine desulfurase NifS
wBm_00028	CDS	699				hypothetical protein
wBm_00029	CDS	171				hypothetical protein
wBm_00030	CDS	675	lolD	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
wBm_00031	CDS	450	erpA		COG0316	Iron-sulfur cluster insertion protein ErpA
wBm_00032	CDS	1200				Deoxyguanosinetriphosphate triphosphohydrolase-like protein
wBm_00033	CDS	1137	ribD		COG0117	Riboflavin biosynthesis protein RibD
wBm_00034	CDS	132				hypothetical protein
wBm_00035	CDS	174				hypothetical protein
wBm_00036	CDS	1272	iscS	2.8.1.7	COG1104	Cysteine desulfurase IscS
wBm_00037	CDS	249				hypothetical protein
wBm_00038	CDS	141				hypothetical protein
wBm_00039	CDS	147				hypothetical protein
wBm_00040	CDS	177				hypothetical protein
wBm_00041	CDS	1155	surA_1	5.2.1.8		Chaperone SurA
wBm_00042	CDS	1329	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
wBm_00043	tRNA	89				tRNA-Ser(tga)
wBm_00044	CDS	195				hypothetical protein
wBm_00045	CDS	177				hypothetical protein
wBm_00046	CDS	345				hypothetical protein
wBm_00047	CDS	213				hypothetical protein
wBm_00048	CDS	276				hypothetical protein
wBm_00049	CDS	2451	topA	5.6.2.1		DNA topoisomerase 1
wBm_00050	CDS	810				hypothetical protein
wBm_00051	CDS	1599				hypothetical protein
wBm_00052	CDS	405	apaG		COG2967	Protein ApaG
wBm_00053	CDS	1074	purK	6.3.4.18		N5-carboxyaminoimidazole ribonucleotide synthase
wBm_00054	CDS	156				hypothetical protein
wBm_00055	CDS	1044	asd2	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase 2
wBm_00056	CDS	414				hypothetical protein
wBm_00057	CDS	1278	adiC_1		COG0531	Arginine/agmatine antiporter
wBm_00058	CDS	1275	adiC_2		COG0531	Arginine/agmatine antiporter
wBm_00059	CDS	930	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
wBm_00060	CDS	222				hypothetical protein
wBm_00061	CDS	306	ftsI	3.4.16.4		Peptidoglycan D,D-transpeptidase FtsI
wBm_00062	CDS	117				hypothetical protein
wBm_00063	CDS	348				hypothetical protein
wBm_00064	CDS	693	elbB	4.2.1.-	COG3155	Glyoxalase ElbB
wBm_00065	CDS	114				hypothetical protein
wBm_00066	CDS	141				hypothetical protein
wBm_00067	CDS	1344	ffh		COG0541	Signal recognition particle protein
wBm_00068	CDS	1506	ndhB_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
wBm_00069	CDS	249				hypothetical protein
wBm_00070	CDS	222				hypothetical protein
wBm_00071	CDS	126				hypothetical protein
wBm_00072	CDS	3318				hypothetical protein
wBm_00073	CDS	441	fabZ	4.2.1.59		3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
wBm_00074	CDS	561				hypothetical protein
wBm_00075	CDS	2337	bamA		COG4775	Outer membrane protein assembly factor BamA
wBm_00076	CDS	1125	mmpA	3.4.24.-	COG0750	Metalloprotease MmpA
wBm_00077	CDS	276				hypothetical protein
wBm_00078	CDS	318				hypothetical protein
wBm_00079	CDS	279	ihfB			Integration host factor subunit beta
wBm_00080	CDS	1653	rpsA		COG0539	30S ribosomal protein S1
wBm_00081	CDS	231				hypothetical protein
wBm_00082	tRNA	73				tRNA-Ala(tgc)
wBm_00083	CDS	114				hypothetical protein
wBm_00084	CDS	1830	typA		COG1217	GTP-binding protein TypA/BipA
wBm_00085	CDS	696				hypothetical protein
wBm_00086	CDS	111				hypothetical protein
wBm_00087	CDS	1008	apbC		COG0489	Iron-sulfur cluster carrier protein
wBm_00088	CDS	1158	ubiL	1.14.13.-	COG0654	Ubiquinone hydroxylase UbiL
wBm_00089	CDS	273				hypothetical protein
wBm_00090	CDS	348				hypothetical protein
wBm_00091	CDS	222				hypothetical protein
wBm_00092	CDS	279				hypothetical protein
wBm_00093	CDS	219				hypothetical protein
wBm_00094	CDS	201				hypothetical protein
wBm_00095	CDS	231	argD_1	2.6.1.17		Acetylornithine/succinyldiaminopimelate aminotransferase
wBm_00096	CDS	426	argD_2	2.6.1.11	COG4992	Acetylornithine/succinyldiaminopimelate aminotransferase
wBm_00097	CDS	252	argD_3	2.6.1.17		Acetylornithine/succinyldiaminopimelate aminotransferase
wBm_00098	CDS	1287				hypothetical protein
wBm_00099	CDS	258				hypothetical protein
wBm_00100	CDS	564	bsdB	2.5.1.129	COG0163	putative UbiX-like flavin prenyltransferase
wBm_00101	CDS	888	folD			Bifunctional protein FolD protein
wBm_00102	CDS	795	pgdA	3.5.1.104	COG0726	Peptidoglycan-N-acetylglucosamine deacetylase
wBm_00103	CDS	1566	mrdA	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
wBm_00104	CDS	1179				hypothetical protein
wBm_00105	CDS	1278	proS	6.1.1.15	COG0442	Proline--tRNA ligase
wBm_00106	CDS	378	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
wBm_00107	CDS	792	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
wBm_00108	CDS	450	smpB			SsrA-binding protein
wBm_00109	CDS	213				hypothetical protein
wBm_00110	CDS	180				hypothetical protein
