locus_tag	ftype	length_bp	gene	EC_number	COG	product
wNca_00001	CDS	186				hypothetical protein
wNca_00002	CDS	1182				hypothetical protein
wNca_00003	CDS	1917				hypothetical protein
wNca_00004	CDS	684				hypothetical protein
wNca_00005	CDS	459				hypothetical protein
wNca_00006	CDS	2091				hypothetical protein
wNca_00007	CDS	372				hypothetical protein
wNca_00008	CDS	639				hypothetical protein
wNca_00009	CDS	957				hypothetical protein
wNca_00010	CDS	489				hypothetical protein
wNca_00011	CDS	414				hypothetical protein
wNca_00012	CDS	639				hypothetical protein
wNca_00013	CDS	501				hypothetical protein
wNca_00014	CDS	810				hypothetical protein
wNca_00015	CDS	492				hypothetical protein
wNca_00016	CDS	468				hypothetical protein
wNca_00017	CDS	1233				hypothetical protein
wNca_00018	CDS	492				hypothetical protein
wNca_00019	CDS	180				hypothetical protein
wNca_00020	CDS	1821				hypothetical protein
wNca_00021	CDS	225				hypothetical protein
wNca_00022	CDS	1431				hypothetical protein
wNca_00023	CDS	1104				hypothetical protein
wNca_00024	CDS	372				hypothetical protein
wNca_00025	CDS	1005				hypothetical protein
wNca_00026	CDS	315				hypothetical protein
wNca_00027	CDS	525				hypothetical protein
wNca_00028	CDS	477				hypothetical protein
wNca_00029	CDS	465				hypothetical protein
wNca_00030	CDS	240				hypothetical protein
wNca_00031	CDS	336				hypothetical protein
wNca_00032	CDS	783				hypothetical protein
wNca_00033	CDS	1161				hypothetical protein
wNca_00034	CDS	741				hypothetical protein
wNca_00035	CDS	573				hypothetical protein
wNca_00036	CDS	1122				hypothetical protein
wNca_00037	CDS	579				hypothetical protein
wNca_00038	CDS	252				hypothetical protein
wNca_00039	CDS	813				hypothetical protein
wNca_00040	CDS	966				hypothetical protein
wNca_00041	CDS	1173	smc_1			Chromosome partition protein Smc
wNca_00042	CDS	861	prmC	2.1.1.297	COG2890	Release factor glutamine methyltransferase
wNca_00043	CDS	1248				hypothetical protein
wNca_00044	CDS	516	yrdA		COG0663	Protein YrdA
wNca_00045	CDS	2436	valS	6.1.1.9		Valine--tRNA ligase
wNca_00046	CDS	1302				hypothetical protein
wNca_00047	CDS	807	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
wNca_00048	CDS	132				hypothetical protein
wNca_00049	CDS	807				hypothetical protein
wNca_00050	CDS	1173				hypothetical protein
wNca_00051	CDS	138				hypothetical protein
wNca_00052	CDS	2238				hypothetical protein
wNca_00053	CDS	1131				hypothetical protein
wNca_00054	CDS	594	OSGEPL1	2.3.1.234		tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial
wNca_00055	CDS	651				hypothetical protein
wNca_00056	CDS	243				hypothetical protein
wNca_00057	CDS	396				hypothetical protein
wNca_00058	CDS	1173	sucB	2.3.1.61	COG0508	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
wNca_00059	CDS	888				hypothetical protein
wNca_00060	CDS	2661	secA		COG0653	Protein translocase subunit SecA
wNca_00061	CDS	504				hypothetical protein
wNca_00062	CDS	1953				hypothetical protein
wNca_00063	CDS	588				hypothetical protein
wNca_00064	CDS	654				hypothetical protein
wNca_00065	CDS	3393				hypothetical protein
wNca_00066	CDS	3051				hypothetical protein
wNca_00067	CDS	2391				hypothetical protein
wNca_00068	CDS	2556				hypothetical protein
wNca_00069	CDS	2406	virB4_1		COG3451	Type IV secretion system protein virB4
wNca_00070	CDS	297				hypothetical protein
wNca_00071	CDS	1539	lysS	6.1.1.6	COG1384	Lysine--tRNA ligase
wNca_00072	CDS	219				hypothetical protein
wNca_00073	CDS	930				hypothetical protein
wNca_00074	CDS	1470	gatA	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
wNca_00075	CDS	2379	gyrB	5.6.2.2		DNA gyrase subunit B
wNca_00076	CDS	1098	fic	2.7.7.-	COG3177	Protein adenylyltransferase SoFic
wNca_00077	CDS	1239				hypothetical protein
wNca_00078	CDS	1350				hypothetical protein
wNca_00079	CDS	396				hypothetical protein
wNca_00080	CDS	2334	priA	3.6.4.-		primosomal protein N'
wNca_00081	CDS	1476				hypothetical protein
wNca_00082	CDS	855	thyX	2.1.1.148	COG1351	Flavin-dependent thymidylate synthase
wNca_00083	CDS	1278	murA	2.5.1.7		UDP-N-acetylglucosamine 1-carboxyvinyltransferase
wNca_00084	CDS	1677				hypothetical protein
wNca_00085	CDS	456				hypothetical protein
wNca_00086	CDS	387				hypothetical protein
wNca_00087	CDS	372				hypothetical protein
wNca_00088	CDS	423				hypothetical protein
wNca_00089	CDS	351				hypothetical protein
wNca_00090	CDS	351				hypothetical protein
wNca_00091	CDS	1272	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
wNca_00092	CDS	1299	serS	6.1.1.11	COG0172	Serine--tRNA ligase
wNca_00093	CDS	1194				hypothetical protein
wNca_00094	CDS	957	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
wNca_00095	CDS	2349	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
wNca_00096	CDS	240				hypothetical protein
wNca_00097	CDS	288				hypothetical protein
wNca_00098	CDS	657				hypothetical protein
wNca_00099	CDS	1002				hypothetical protein
wNca_00100	CDS	180				hypothetical protein
wNca_00101	CDS	480				hypothetical protein
wNca_00102	CDS	135				hypothetical protein
wNca_00103	CDS	318	gdx		COG2076	Guanidinium exporter
wNca_00104	CDS	1320	aatA	2.6.1.1	COG0436	Aspartate/prephenate aminotransferase
wNca_00105	CDS	354				hypothetical protein
wNca_00106	CDS	276				hypothetical protein
wNca_00107	CDS	348				hypothetical protein
wNca_00108	CDS	339				hypothetical protein
wNca_00109	CDS	336				hypothetical protein
wNca_00110	CDS	852	parB		COG1475	putative chromosome-partitioning protein ParB
wNca_00111	CDS	843	parA			Chromosome partitioning protein ParA
wNca_00112	CDS	2481	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
wNca_00113	CDS	825	hemF	1.3.3.3	COG0408	Oxygen-dependent coproporphyrinogen-III oxidase
wNca_00114	tRNA	75				tRNA-Glu(ttc)
wNca_00115	CDS	1524				hypothetical protein
wNca_00116	CDS	96				hypothetical protein
wNca_00117	CDS	441				hypothetical protein
wNca_00118	CDS	285				hypothetical protein
wNca_00119	CDS	390				hypothetical protein
wNca_00120	CDS	699				hypothetical protein
wNca_00121	CDS	813				hypothetical protein
wNca_00122	CDS	723				hypothetical protein
wNca_00123	CDS	711				hypothetical protein
wNca_00124	CDS	678	acm	3.2.1.17		Lysozyme M1
wNca_00125	CDS	234				hypothetical protein
wNca_00126	CDS	1920				hypothetical protein
wNca_00127	CDS	471				hypothetical protein
wNca_00128	CDS	1221				hypothetical protein
wNca_00129	CDS	405				hypothetical protein
wNca_00130	CDS	1251				hypothetical protein
wNca_00131	CDS	165				hypothetical protein
wNca_00132	CDS	1104				hypothetical protein
wNca_00133	CDS	1206	dapE	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
wNca_00134	CDS	1203				hypothetical protein
wNca_00135	CDS	495				hypothetical protein
wNca_00136	CDS	219				hypothetical protein
wNca_00137	CDS	828				hypothetical protein
wNca_00138	CDS	417				hypothetical protein
wNca_00139	CDS	1365	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
wNca_00140	CDS	657				hypothetical protein
wNca_00141	CDS	1071				hypothetical protein
wNca_00142	CDS	114				hypothetical protein
wNca_00143	CDS	168	tatA			Sec-independent protein translocase protein TatA
wNca_00144	CDS	777	fbpC	7.2.2.7		Fe(3+) ions import ATP-binding protein FbpC
wNca_00145	tRNA	74				tRNA-Arg(cct)
wNca_00146	CDS	1272				hypothetical protein
wNca_00147	CDS	2250				hypothetical protein
wNca_00148	CDS	192				hypothetical protein
wNca_00149	CDS	1149				hypothetical protein
wNca_00150	CDS	309				hypothetical protein
wNca_00151	CDS	603				hypothetical protein
wNca_00152	tRNA	75				tRNA-Gln(ttg)
wNca_00153	CDS	1509				hypothetical protein
