locus_tag	ftype	length_bp	gene	EC_number	COG	product
wBta_00001	CDS	1476	dnaA_1			Chromosomal replication initiator protein DnaA
wBta_00002	CDS	873	secF			Protein translocase subunit SecF
wBta_00003	CDS	480				hypothetical protein
wBta_00004	CDS	1710	yidC		COG0706	Membrane protein insertase YidC
wBta_00005	CDS	429	ribH1	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase 1
wBta_00006	CDS	483	nusB			Transcription antitermination protein NusB
wBta_00007	CDS	669				hypothetical protein
wBta_00008	CDS	462	dut	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
wBta_00009	CDS	279				hypothetical protein
wBta_00010	CDS	531				hypothetical protein
wBta_00011	CDS	402				hypothetical protein
wBta_00012	CDS	390				hypothetical protein
wBta_00013	CDS	735				hypothetical protein
wBta_00014	CDS	372	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
wBta_00015	CDS	1260	proS	6.1.1.15	COG0442	Proline--tRNA ligase
wBta_00016	CDS	1473				hypothetical protein
wBta_00017	CDS	495				hypothetical protein
wBta_00018	CDS	1179	dxr	1.1.1.267		1-deoxy-D-xylulose 5-phosphate reductoisomerase
wBta_00019	CDS	576				hypothetical protein
wBta_00020	CDS	228				hypothetical protein
wBta_00021	CDS	759	pstB	7.3.2.1		Phosphate import ATP-binding protein PstB
wBta_00022	CDS	789	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
wBta_00023	CDS	198				hypothetical protein
wBta_00024	CDS	1341				hypothetical protein
wBta_00025	CDS	681	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
wBta_00026	CDS	1167	smc_1			Chromosome partition protein Smc
wBta_00027	CDS	975				hypothetical protein
wBta_00028	CDS	1092				hypothetical protein
wBta_00029	CDS	2574	valS	6.1.1.9		Valine--tRNA ligase
wBta_00030	CDS	366				hypothetical protein
wBta_00031	CDS	126				hypothetical protein
wBta_00032	CDS	1296				hypothetical protein
wBta_00033	CDS	1110	bamB		COG1520	Outer membrane protein assembly factor BamB
wBta_00034	CDS	1380	lpd3	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase 3
wBta_00035	CDS	837	xerC		COG4973	Tyrosine recombinase XerC
wBta_00036	CDS	1419	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
wBta_00037	CDS	981	acoA	1.1.1.-	COG1071	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha
wBta_00038	CDS	429				hypothetical protein
wBta_00039	CDS	1512	prsE			Type I secretion system membrane fusion protein PrsE
wBta_00040	CDS	765	ctaC	1.9.3.1	COG1622	Cytochrome c oxidase subunit 2
wBta_00041	CDS	1551	ctaD	1.9.3.1	COG0843	Cytochrome c oxidase subunit 1
wBta_00042	CDS	888	ctaB	2.5.1.141	COG0109	Protoheme IX farnesyltransferase
wBta_00043	CDS	438	rnhA	3.1.26.4	COG0328	Ribonuclease HI
wBta_00044	CDS	2658				hypothetical protein
wBta_00045	CDS	237				hypothetical protein
wBta_00046	CDS	432				hypothetical protein
wBta_00047	CDS	1395	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
wBta_00048	CDS	657				hypothetical protein
wBta_00049	CDS	654				hypothetical protein
wBta_00050	CDS	168	tatA			Sec-independent protein translocase protein TatA
wBta_00051	CDS	738	fbpC2	7.2.2.7	COG3842	Fe(3+) ions import ATP-binding protein FbpC 2
wBta_00052	tRNA	75				tRNA-Arg(cct)
wBta_00053	CDS	165				hypothetical protein
wBta_00054	CDS	1062				hypothetical protein
wBta_00055	CDS	924	glpX	3.1.3.11	COG1494	Fructose-1,6-bisphosphatase class 2
wBta_00056	CDS	1518				hypothetical protein
wBta_00057	CDS	705	ychF_1		COG0012	Ribosome-binding ATPase YchF
wBta_00058	CDS	402	ychF_2		COG0012	Ribosome-binding ATPase YchF
wBta_00059	CDS	1218				hypothetical protein
wBta_00060	CDS	777	fabI	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
wBta_00061	CDS	186				hypothetical protein
wBta_00062	CDS	558				hypothetical protein
wBta_00063	CDS	210				hypothetical protein
wBta_00064	CDS	507	coaD_1	2.7.7.3		Phosphopantetheine adenylyltransferase
wBta_00065	tRNA	74				tRNA-Phe(gaa)
wBta_00066	CDS	930				hypothetical protein
wBta_00067	CDS	1158	ubiL_1	1.14.13.-	COG0654	Ubiquinone hydroxylase UbiL
wBta_00068	CDS	516				hypothetical protein
wBta_00069	CDS	132				hypothetical protein
wBta_00070	CDS	669	rlpA_1	4.2.2.-		Endolytic peptidoglycan transglycosylase RlpA
wBta_00071	CDS	1023	murC_1	6.3.2.8		UDP-N-acetylmuramate--L-alanine ligase
wBta_00072	CDS	1161	craA			Chloramphenicol resistance protein CraA
wBta_00073	CDS	885	ubiL_2	1.14.13.-	COG0654	Ubiquinone hydroxylase UbiL
wBta_00074	CDS	1593				hypothetical protein
wBta_00075	CDS	1278	purA_1	6.3.4.4	COG0104	Adenylosuccinate synthetase
wBta_00076	CDS	357				hypothetical protein
wBta_00077	CDS	1320				hypothetical protein
wBta_00078	CDS	1533				hypothetical protein
wBta_00079	CDS	237	infA			Translation initiation factor IF-1
wBta_00080	CDS	591	yhdE	3.6.1.9	COG0424	dTTP/UTP pyrophosphatase
wBta_00081	CDS	2208				hypothetical protein
wBta_00082	CDS	132				hypothetical protein
wBta_00083	CDS	1434	alsT_1		COG1115	Amino-acid carrier protein AlsT
wBta_00084	CDS	579				hypothetical protein
wBta_00085	CDS	1662	groL5			60 kDa chaperonin 5
wBta_00086	CDS	291	groS1		COG0234	10 kDa chaperonin 1
wBta_00087	CDS	798	ygfZ			tRNA-modifying protein YgfZ
wBta_00088	CDS	234				hypothetical protein
wBta_00089	CDS	156				hypothetical protein
wBta_00090	CDS	237				hypothetical protein
wBta_00091	CDS	990	nrdB	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta
wBta_00092	CDS	339	bamE			Outer membrane protein assembly factor BamE
wBta_00093	CDS	591				hypothetical protein
wBta_00094	CDS	702	recO			DNA repair protein RecO
wBta_00095	CDS	1395	pleD			Response regulator PleD
wBta_00096	CDS	291				hypothetical protein
wBta_00097	CDS	4671	gdh	1.4.1.2	COG2902	NAD-specific glutamate dehydrogenase
wBta_00098	CDS	2565	clpB			Chaperone protein ClpB
wBta_00099	CDS	606				hypothetical protein
wBta_00100	CDS	387				hypothetical protein
wBta_00101	CDS	1050				hypothetical protein
wBta_00102	CDS	1020	metG_1	6.1.1.10		Methionine--tRNA ligase
wBta_00103	CDS	882	sucB	2.3.1.61	COG0508	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
wBta_00104	CDS	234				hypothetical protein
wBta_00105	CDS	666				hypothetical protein
wBta_00106	CDS	1149				hypothetical protein
wBta_00107	CDS	696	ispU	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
wBta_00108	CDS	627				hypothetical protein
wBta_00109	CDS	210				hypothetical protein
wBta_00110	CDS	507	coaD_2	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
wBta_00111	tRNA	74				tRNA-Phe(gaa)
wBta_00112	CDS	930				hypothetical protein
wBta_00113	CDS	1158	ubiL_3	1.14.13.-	COG0654	Ubiquinone hydroxylase UbiL
wBta_00114	CDS	516				hypothetical protein
wBta_00115	CDS	132				hypothetical protein
wBta_00116	CDS	669	rlpA_2	4.2.2.-		Endolytic peptidoglycan transglycosylase RlpA
wBta_00117	CDS	1023	murC_2	6.3.2.8		UDP-N-acetylmuramate--L-alanine ligase
wBta_00118	CDS	549				hypothetical protein
wBta_00119	CDS	432				hypothetical protein
wBta_00120	CDS	486				hypothetical protein
wBta_00121	CDS	720				hypothetical protein
wBta_00122	CDS	1041				hypothetical protein
wBta_00123	CDS	189				hypothetical protein
wBta_00124	CDS	792				hypothetical protein
wBta_00125	CDS	336				hypothetical protein
wBta_00126	CDS	249				hypothetical protein
wBta_00127	CDS	465				hypothetical protein
wBta_00128	CDS	477				hypothetical protein
wBta_00129	CDS	513				hypothetical protein
wBta_00130	CDS	312				hypothetical protein
wBta_00131	CDS	1005				hypothetical protein
wBta_00132	CDS	369				hypothetical protein
wBta_00133	CDS	1053				hypothetical protein
wBta_00134	CDS	1419				hypothetical protein
wBta_00135	CDS	198				hypothetical protein
wBta_00136	CDS	288				hypothetical protein
wBta_00137	CDS	234				hypothetical protein
wBta_00138	CDS	1827				hypothetical protein
wBta_00139	CDS	1494				hypothetical protein
wBta_00140	CDS	471				hypothetical protein
wBta_00141	CDS	1215				hypothetical protein
wBta_00142	CDS	357				hypothetical protein
wBta_00143	CDS	1278	purA_2	6.3.4.4	COG0104	Adenylosuccinate synthetase
wBta_00144	CDS	702				hypothetical protein
wBta_00145	CDS	966				IS110 family transposase ISGme8
wBta_00146	CDS	1161	gltP		COG1301	Proton/glutamate-aspartate symporter
wBta_00147	CDS	666	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
wBta_00148	CDS	375				hypothetical protein
wBta_00149	CDS	1521	secD		COG0342	Protein translocase subunit SecD
wBta_00150	CDS	270				hypothetical protein
wBta_00151	CDS	129				hypothetical protein
wBta_00152	CDS	939				hypothetical protein
wBta_00153	CDS	1230	mtaB	2.8.4.5	COG0621	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB
wBta_00154	CDS	1017				hypothetical protein
wBta_00155	CDS	741				hypothetical protein
wBta_00156	CDS	1296	recG	3.6.4.12	COG1200	ATP-dependent DNA helicase RecG
wBta_00157	CDS	189				hypothetical protein
wBta_00158	CDS	156				hypothetical protein
wBta_00159	CDS	129				hypothetical protein
wBta_00160	CDS	849	yqfL	2.7.11.32	COG1806	Putative pyruvate, phosphate dikinase regulatory protein
wBta_00161	CDS	711				hypothetical protein
wBta_00162	CDS	1116				hypothetical protein
wBta_00163	CDS	1461	sctC			Type 3 secretion system secretin
wBta_00164	CDS	1563	guaA	6.3.5.2	COG0518	GMP synthase [glutamine-hydrolyzing]
wBta_00165	CDS	693				hypothetical protein
wBta_00166	CDS	135				hypothetical protein
wBta_00167	CDS	1269				hypothetical protein
wBta_00168	CDS	1044				hypothetical protein
wBta_00169	CDS	1800	lepA	3.6.5.-	COG0481	Elongation factor 4
wBta_00170	CDS	873				hypothetical protein
wBta_00171	CDS	372				hypothetical protein
wBta_00172	CDS	933	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
