locus_tag	ftype	length_bp	gene	EC_number	COG	product
wDcau_00001	CDS	279				hypothetical protein
wDcau_00002	CDS	1053	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
wDcau_00003	CDS	1194	aatB	2.6.1.1	COG0436	Aspartate aminotransferase
wDcau_00004	CDS	111				hypothetical protein
wDcau_00005	CDS	1215				hypothetical protein
wDcau_00006	CDS	1278	glyA	2.1.2.1		Serine hydroxymethyltransferase
wDcau_00007	CDS	951	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
wDcau_00008	CDS	1311				hypothetical protein
wDcau_00009	CDS	1278	serS	6.1.1.11	COG0172	Serine--tRNA ligase
wDcau_00010	CDS	1272	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
wDcau_00011	CDS	1560	guaA	6.3.5.2		GMP synthase [glutamine-hydrolyzing]
wDcau_00012	CDS	348				hypothetical protein
wDcau_00013	CDS	189				hypothetical protein
wDcau_00014	CDS	144				hypothetical protein
wDcau_00015	CDS	543				hypothetical protein
wDcau_00016	CDS	573	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
wDcau_00017	CDS	1311				hypothetical protein
wDcau_00018	CDS	1338		3.4.24.-	COG0612	putative zinc protease
wDcau_00019	CDS	480	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
wDcau_00020	CDS	933	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
wDcau_00021	CDS	369				hypothetical protein
wDcau_00022	CDS	270				hypothetical protein
wDcau_00023	CDS	510		3.2.2.-	COG2094	Putative 3-methyladenine DNA glycosylase
wDcau_00024	CDS	573	plsY	2.3.1.275	COG0344	Glycerol-3-phosphate acyltransferase
wDcau_00025	CDS	1467	alsT		COG1115	Amino-acid carrier protein AlsT
wDcau_00026	CDS	771				hypothetical protein
wDcau_00027	CDS	693	psd	4.1.1.65	COG0688	Phosphatidylserine decarboxylase proenzyme
wDcau_00028	CDS	1038	pyrD	1.3.5.2	COG0167	Dihydroorotate dehydrogenase (quinone)
wDcau_00029	CDS	711	rnc	3.1.26.3		Ribonuclease 3
wDcau_00030	tRNA	74				tRNA-Glu(ttc)
wDcau_00031	CDS	1476	gatA	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
wDcau_00032	CDS	930				hypothetical protein
wDcau_00033	CDS	1266	fabF	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
wDcau_00034	CDS	276	acpP			Acyl carrier protein
wDcau_00035	CDS	801				hypothetical protein
wDcau_00036	CDS	912				hypothetical protein
wDcau_00037	CDS	1512	mrpA		COG1009	Na(+)/H(+) antiporter subunit A
wDcau_00038	CDS	1188	tgt	2.4.2.29		Queuine tRNA-ribosyltransferase
wDcau_00039	CDS	501	nqo2	7.1.1.-	COG1905	NADH-quinone oxidoreductase chain 2
wDcau_00040	CDS	1296				hypothetical protein
wDcau_00041	CDS	1212	ispDF		COG0245	Bifunctional enzyme IspD/IspF
wDcau_00042	CDS	711	tpiA	5.3.1.1		Triosephosphate isomerase
wDcau_00043	tRNA	73				tRNA-Cys(gca)
wDcau_00044	CDS	900	fbaB	4.1.2.13	COG1830	Fructose-bisphosphate aldolase class 1
wDcau_00045	CDS	624	ywlC	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
wDcau_00046	CDS	837				hypothetical protein
wDcau_00047	CDS	534				hypothetical protein
wDcau_00048	CDS	591	rnhB	3.1.26.4	COG0164	Ribonuclease HII
wDcau_00049	CDS	981	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
wDcau_00050	CDS	2130				hypothetical protein
wDcau_00051	CDS	285				hypothetical protein
wDcau_00052	CDS	1200	dnaN			Beta sliding clamp
wDcau_00053	CDS	738	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
wDcau_00054	tRNA	76				tRNA-Lys(ttt)
wDcau_00055	tRNA	73				tRNA-Ala(tgc)
wDcau_00056	CDS	1653	rpsA		COG0539	30S ribosomal protein S1
wDcau_00057	CDS	279				hypothetical protein
wDcau_00058	CDS	1125	mmpA	3.4.24.-	COG0750	Metalloprotease MmpA
wDcau_00059	CDS	2346	bamA		COG4775	Outer membrane protein assembly factor BamA
wDcau_00060	CDS	561				hypothetical protein
wDcau_00061	CDS	444	fabZ	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
wDcau_00062	CDS	2934				hypothetical protein
wDcau_00063	CDS	1551	ndhB	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
wDcau_00064	CDS	1344	ffh		COG0541	Signal recognition particle protein
wDcau_00065	CDS	693	elbB	4.2.1.-	COG3155	Glyoxalase ElbB
wDcau_00066	CDS	348				hypothetical protein
wDcau_00067	CDS	1185	argD	2.6.1.11	COG4992	Acetylornithine aminotransferase
wDcau_00068	CDS	189				hypothetical protein
wDcau_00069	CDS	93				hypothetical protein
wDcau_00070	CDS	627	ubiX	2.5.1.129	COG0163	Flavin prenyltransferase UbiX
wDcau_00071	CDS	924	folD		COG0190	Bifunctional protein FolD protein
wDcau_00072	CDS	144				hypothetical protein
wDcau_00073	CDS	1584	mrdA	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
wDcau_00074	CDS	1191				hypothetical protein
wDcau_00075	CDS	1275	proS	6.1.1.15	COG0442	Proline--tRNA ligase
wDcau_00076	CDS	378	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
wDcau_00077	CDS	1281	murA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
wDcau_00078	CDS	861	thyX	2.1.1.148	COG1351	Flavin-dependent thymidylate synthase
wDcau_00079	tRNA	72				tRNA-Val(tac)
wDcau_00080	CDS	2706	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
wDcau_00081	CDS	603	petA	7.1.1.8	COG0723	Ubiquinol-cytochrome c reductase iron-sulfur subunit
wDcau_00082	CDS	1146	surA_1	5.2.1.8		Chaperone SurA
wDcau_00083	CDS	1368	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
wDcau_00084	tRNA	92				tRNA-Ser(tga)
wDcau_00085	CDS	663	tmk	2.7.4.9	COG0125	Thymidylate kinase
wDcau_00086	CDS	567				hypothetical protein
wDcau_00087	CDS	1719	kefC		COG0475	Glutathione-regulated potassium-efflux system protein KefC
wDcau_00088	CDS	1278	adiC		COG0531	Arginine/agmatine antiporter
wDcau_00089	CDS	282				hypothetical protein
wDcau_00090	CDS	1029	asd2	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase 2
wDcau_00091	CDS	1050	purK	6.3.4.18	COG0026	N5-carboxyaminoimidazole ribonucleotide synthase
wDcau_00092	CDS	405	apaG		COG2967	Protein ApaG
wDcau_00093	CDS	165				hypothetical protein
wDcau_00094	CDS	111				hypothetical protein
wDcau_00095	CDS	816				hypothetical protein
wDcau_00096	CDS	2451	topA	5.6.2.1		DNA topoisomerase 1
wDcau_00097	CDS	141				hypothetical protein
wDcau_00098	CDS	930	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
wDcau_00099	CDS	792	lepB	3.4.21.89	COG0681	Signal peptidase I
wDcau_00100	CDS	1758	hscA		COG0443	Chaperone protein HscA
wDcau_00101	CDS	495	hscB		COG1076	Co-chaperone protein HscB 
wDcau_00102	CDS	408	iscA		COG0316	Iron-binding protein IscA
wDcau_00103	CDS	393	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
wDcau_00104	CDS	912	ftsY		COG0552	Signal recognition particle receptor FtsY
wDcau_00105	CDS	342	rpsP		COG0228	30S ribosomal protein S16
wDcau_00106	CDS	990	ispB	2.5.1.90	COG0142	Octaprenyl diphosphate synthase
wDcau_00107	CDS	567	grpE			Protein GrpE
wDcau_00108	CDS	1023	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
wDcau_00109	CDS	153				hypothetical protein
wDcau_00110	CDS	246				hypothetical protein
wDcau_00111	CDS	1254	pdhC	2.3.1.12		Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
wDcau_00112	CDS	273				hypothetical protein
wDcau_00113	CDS	2361	virB4_1		COG3451	Type IV secretion system protein virB4
wDcau_00114	CDS	372				hypothetical protein
wDcau_00115	CDS	987		1.6.5.11	COG2070	NADH:quinone reductase
wDcau_00116	CDS	474	yceJ		COG3038	Cytochrome b561 
wDcau_00117	CDS	1275		3.4.24.-	COG0612	putative zinc protease
wDcau_00118	CDS	603	sodB	1.15.1.1		Superoxide dismutase [Fe]
wDcau_00119	CDS	621				hypothetical protein
wDcau_00120	CDS	1167	sucB	2.3.1.61	COG0508	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
wDcau_00121	CDS	2652	secA		COG0653	Protein translocase subunit SecA
wDcau_00122	CDS	990	nrdB	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta
wDcau_00123	CDS	339	bamE			Outer membrane protein assembly factor BamE
wDcau_00124	tRNA	74				tRNA-Gly(gcc)
wDcau_00125	CDS	621	rnd_1	3.1.13.5		Ribonuclease D
wDcau_00126	CDS	321				Thioredoxin C-1
wDcau_00127	tRNA	75				tRNA-Met(cat)
wDcau_00128	CDS	1914	pcrA	3.6.4.12		ATP-dependent DNA helicase PcrA
wDcau_00129	CDS	978		1.3.1.103		2-haloacrylate reductase
wDcau_00130	tRNA	74				tRNA-Pro(tgg)
wDcau_00131	tRNA	76				tRNA-Met(cat)
wDcau_00132	CDS	621	pdxH	1.4.3.5	COG0259	Pyridoxine/pyridoxamine 5'-phosphate oxidase
wDcau_00133	CDS	816	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
wDcau_00134	tRNA	74				tRNA-Thr(ggt)
wDcau_00135	CDS	1527	pccB	6.4.1.3	COG4799	Propionyl-CoA carboxylase beta chain
wDcau_00136	CDS	645	ccmA	7.6.2.5	COG4133	Cytochrome c biogenesis ATP-binding export protein CcmA
wDcau_00137	CDS	435				hypothetical protein
wDcau_00138	CDS	1806	aspS	6.1.1.12		Aspartate--tRNA ligase
wDcau_00139	CDS	1257	proP			Proline/betaine transporter
wDcau_00140	CDS	510	infC			Translation initiation factor IF-3
wDcau_00141	CDS	1902	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase
wDcau_00142	CDS	483	nuoI	7.1.1.-	COG1143	NADH-quinone oxidoreductase subunit I
wDcau_00143	CDS	798	fabI	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
wDcau_00144	CDS	1635	rnj1	3.1.-.-		Ribonuclease J 1
wDcau_00145	CDS	1275	nuoF	7.1.1.-		NADH-quinone oxidoreductase subunit F
wDcau_00146	CDS	639	nth	4.2.99.18	COG0177	Endonuclease III
wDcau_00147	CDS	1431	icd	1.1.1.42	COG0473	Isocitrate dehydrogenase [NADP]
wDcau_00148	CDS	1173	nuoD	7.1.1.-	COG0649	NADH-quinone oxidoreductase subunit D
wDcau_00149	CDS	789	virB9_1			Type IV secretion system protein virB9
wDcau_00150	CDS	795	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
wDcau_00151	CDS	468	smpB			SsrA-binding protein
wDcau_00152	CDS	558				hypothetical protein
wDcau_00153	CDS	600	ribE	2.5.1.9		Riboflavin synthase
wDcau_00154	CDS	1044	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
wDcau_00155	CDS	1257	glmU		COG1207	Bifunctional protein GlmU
