locus_tag	ftype	length_bp	gene	EC_number	COG	product
wDrep_00001	CDS	1296				hypothetical protein
wDrep_00002	CDS	1707	argS	6.1.1.19		Arginine--tRNA ligase
wDrep_00003	CDS	1707			COG1132	putative ABC transporter ATP-binding protein
wDrep_00004	CDS	699	ubiE	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
wDrep_00005	CDS	561	atpH_1		COG0712	ATP synthase subunit delta
wDrep_00006	CDS	1548	atpA	7.1.2.2	COG0056	ATP synthase subunit alpha
wDrep_00007	CDS	495	greA		COG0782	Transcription elongation factor GreA
wDrep_00008	CDS	654	ribB	4.1.99.12	COG0108	3,4-dihydroxy-2-butanone 4-phosphate synthase
wDrep_00009	CDS	1281	bepA	3.4.-.-	COG4783	Beta-barrel assembly-enhancing protease
wDrep_00010	CDS	348				hypothetical protein
wDrep_00011	CDS	738	fabG	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
wDrep_00012	CDS	1476	prsE			Type I secretion system membrane fusion protein PrsE
wDrep_00013	CDS	768	ctaC	1.9.3.1	COG1622	Cytochrome c oxidase subunit 2
wDrep_00014	CDS	1551	ctaD	1.9.3.1	COG0843	Cytochrome c oxidase subunit 1
wDrep_00015	CDS	888	ctaB	2.5.1.141	COG0109	Protoheme IX farnesyltransferase
wDrep_00016	CDS	438	rnhA	3.1.26.4	COG0328	Ribonuclease HI
wDrep_00017	CDS	3054				hypothetical protein
wDrep_00018	CDS	765	tatC		COG0805	Sec-independent protein translocase protein TatC
wDrep_00019	CDS	987	gapB	1.2.1.59	COG0057	Glyceraldehyde-3-phosphate dehydrogenase 2
wDrep_00020	CDS	1833	typA		COG1217	GTP-binding protein TypA/BipA 
wDrep_00021	CDS	1017	prfB		COG1186	Peptide chain release factor RF2
wDrep_00022	CDS	1371			COG2239	Magnesium transporter MgtE
wDrep_00023	CDS	999	bfmBAB	1.2.4.4	COG0022	2-oxoisovalerate dehydrogenase subunit beta
wDrep_00024	CDS	129				hypothetical protein
wDrep_00025	CDS	1110	dnaJ		COG0484	Chaperone protein DnaJ
wDrep_00026	tRNA	76				tRNA-Arg(acg)
wDrep_00027	CDS	369				hypothetical protein
wDrep_00028	CDS	2481	rcsC	2.7.13.3		Sensor histidine kinase RcsC
wDrep_00029	CDS	825	hemF	1.3.3.3	COG0408	Oxygen-dependent coproporphyrinogen-III oxidase
wDrep_00030	CDS	192				hypothetical protein
wDrep_00031	CDS	678	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
wDrep_00032	CDS	2541	valS	6.1.1.9		Valine--tRNA ligase
wDrep_00033	CDS	534				hypothetical protein
wDrep_00034	CDS	114				hypothetical protein
wDrep_00035	CDS	144				hypothetical protein
wDrep_00036	CDS	1113	dacC	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacC
wDrep_00037	CDS	2388	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
wDrep_00038	CDS	558	dcd	3.5.4.13	COG0717	dCTP deaminase
wDrep_00039	CDS	600				hypothetical protein
wDrep_00040	tRNA	84				tRNA-Leu(caa)
wDrep_00041	CDS	1452	dnaC	3.6.4.12	COG0305	Replicative DNA helicase
wDrep_00042	CDS	228				hypothetical protein
wDrep_00043	CDS	285				hypothetical protein
wDrep_00044	CDS	1536	metG	6.1.1.10		Methionine--tRNA ligase
wDrep_00045	CDS	1167	COQ3	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
wDrep_00046	CDS	1815	dnaG	2.7.7.-		DNA primase
wDrep_00047	CDS	1464				hypothetical protein
wDrep_00048	CDS	177				hypothetical protein
wDrep_00049	CDS	798	ygfZ			tRNA-modifying protein YgfZ
wDrep_00050	CDS	291	groS		COG0234	10 kDa chaperonin
wDrep_00051	CDS	1653	groL5			60 kDa chaperonin 5
wDrep_00052	CDS	552				hypothetical protein
wDrep_00053	tRNA	76				tRNA-Gln(ttg)
wDrep_00054	CDS	1302				hypothetical protein
wDrep_00055	CDS	1035	hflK		COG0330	Modulator of FtsH protease HflK
wDrep_00056	CDS	873	hflC		COG0330	Modulator of FtsH protease HflC
wDrep_00057	CDS	1485	degP	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
wDrep_00058	CDS	2181				hypothetical protein
wDrep_00059	CDS	192				hypothetical protein
wDrep_00060	CDS	1383				hypothetical protein
wDrep_00061	CDS	780	xthA	3.1.11.2	COG0708	Exodeoxyribonuclease III
wDrep_00062	CDS	780				hypothetical protein
wDrep_00063	tRNA	86				tRNA-Leu(cag)
wDrep_00064	CDS	1428	tldD	3.4.-.-	COG0312	Metalloprotease TldD
wDrep_00065	CDS	924				hypothetical protein
wDrep_00066	CDS	2595	polA	2.7.7.7		DNA polymerase I, thermostable
wDrep_00067	CDS	1491	hslU		COG1220	ATP-dependent protease ATPase subunit HslU
wDrep_00068	CDS	555	hslV	3.4.25.2	COG5405	ATP-dependent protease subunit HslV
wDrep_00069	CDS	1161				hypothetical protein
wDrep_00070	CDS	843				hypothetical protein
wDrep_00071	CDS	1023	hemH	4.99.1.1	COG0276	Ferrochelatase
wDrep_00072	CDS	801				hypothetical protein
wDrep_00073	CDS	420	ndk	2.7.4.6	COG0105	Nucleoside diphosphate kinase
wDrep_00074	CDS	849	znuA		COG4531	High-affinity zinc uptake system protein ZnuA
wDrep_00075	CDS	741	znuC	7.2.2.-	COG1121	Zinc import ATP-binding protein ZnuC
wDrep_00076	CDS	1431	ubiB	2.7.-.-	COG0661	putative protein kinase UbiB
wDrep_00077	CDS	597	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
wDrep_00078	CDS	150				hypothetical protein
wDrep_00079	CDS	1515	secD		COG0342	Protein translocase subunit SecD
wDrep_00080	CDS	879	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
wDrep_00081	CDS	888	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
wDrep_00082	CDS	621				hypothetical protein
wDrep_00083	CDS	1329	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
wDrep_00084	CDS	1797	lepA	3.6.5.-	COG0481	Elongation factor 4
wDrep_00085	CDS	1386				hypothetical protein
wDrep_00086	CDS	165				hypothetical protein
wDrep_00087	CDS	129				hypothetical protein
wDrep_00088	CDS	168				hypothetical protein
wDrep_00089	CDS	189				hypothetical protein
wDrep_00090	CDS	879	mepM	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
wDrep_00091	CDS	741			COG0217	putative transcriptional regulatory protein
wDrep_00092	CDS	687	bamD			Outer membrane protein assembly factor BamD
wDrep_00093	CDS	543	pgsA	2.7.8.5	COG0558	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
wDrep_00094	CDS	1320	tme	1.1.1.40	COG0280	NADP-dependent malic enzyme
wDrep_00095	CDS	219			COG0271	putative protein RP812
wDrep_00096	CDS	324	grxD		COG0278	Glutaredoxin 4
wDrep_00097	CDS	1233	petB		COG1290	Cytochrome b
wDrep_00098	CDS	774	petC		COG2857	Cytochrome c1
wDrep_00099	CDS	1938	uvrB			UvrABC system protein B
wDrep_00100	CDS	744	fbiB	6.3.2.34		Bifunctional F420 biosynthesis protein FbiB
wDrep_00101	CDS	480	dhfR	1.5.1.3	COG0262	Dihydrofolate reductase
wDrep_00102	CDS	1302				hypothetical protein
wDrep_00103	CDS	402				hypothetical protein
wDrep_00104	CDS	681		1.-.-.-	COG5424	putative oxidoreductase CT_610
wDrep_00105	CDS	2049	ligA	6.5.1.2		DNA ligase
wDrep_00106	CDS	744	surE	3.1.3.5	COG0496	5'-nucleotidase SurE
wDrep_00107	CDS	300				hypothetical protein
wDrep_00108	CDS	1248	ribD		COG0117	Riboflavin biosynthesis protein RibD
wDrep_00109	CDS	1200				Deoxyguanosinetriphosphate triphosphohydrolase-like protein
wDrep_00110	CDS	462	erpA		COG0316	Iron-sulfur cluster insertion protein ErpA
wDrep_00111	CDS	675	lolD	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
wDrep_00112	CDS	174				hypothetical protein
wDrep_00113	CDS	699				hypothetical protein
wDrep_00114	CDS	1188	nifS	2.8.1.7	COG1104	Cysteine desulfurase NifS
wDrep_00115	CDS	714				hypothetical protein
wDrep_00116	CDS	867	truB	5.4.99.25		tRNA pseudouridine synthase B
wDrep_00117	CDS	273	rpsO			30S ribosomal protein S15
wDrep_00118	CDS	2268	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
wDrep_00119	CDS	681	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
wDrep_00120	tRNA	75				tRNA-Arg(tct)
wDrep_00121	CDS	129				hypothetical protein
wDrep_00122	CDS	1497	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
wDrep_00123	CDS	906				hypothetical protein
wDrep_00124	CDS	369			COG0537	putative HIT-like protein
wDrep_00125	CDS	354	ndhC	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 3
wDrep_00126	CDS	507	nuoB	7.1.1.-	COG0377	NADH-quinone oxidoreductase subunit B
wDrep_00127	CDS	573	nqo5	7.1.1.-	COG0852	NADH-quinone oxidoreductase chain 5
wDrep_00128	CDS	960	mdh	1.1.1.37	COG0039	Malate dehydrogenase
wDrep_00129	CDS	789	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
wDrep_00130	CDS	504	rppH	3.6.1.-	COG0494	RNA pyrophosphohydrolase
wDrep_00131	CDS	327	rsfS			Ribosomal silencing factor RsfS
wDrep_00132	CDS	1272	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
wDrep_00133	CDS	1164	lysC	2.7.2.4	COG0527	Aspartate kinase Ask_LysC
wDrep_00134	CDS	123				hypothetical protein
wDrep_00135	CDS	1296	fpgS	6.3.2.17		Folylpolyglutamate synthase
wDrep_00136	CDS	591				hypothetical protein
wDrep_00137	CDS	681				hypothetical protein
wDrep_00138	CDS	279				hypothetical protein
wDrep_00139	CDS	651	trmR	2.1.1.-	COG4122	tRNA 5-hydroxyuridine methyltransferase
wDrep_00140	CDS	654	fzlA			FtsZ-localized protein A
wDrep_00141	CDS	1548				hypothetical protein
wDrep_00142	CDS	333	ybaB		COG0718	Nucleoid-associated protein YbaB
wDrep_00143	CDS	711	msp4			Major surface antigen 4
wDrep_00144	CDS	894	rpoH		COG0568	RNA polymerase sigma factor RpoH
wDrep_00145	CDS	498				hypothetical protein
wDrep_00146	CDS	1242	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
wDrep_00147	CDS	585	nfuA			Fe/S biogenesis protein NfuA
wDrep_00148	CDS	1386	purF	2.4.2.14	COG0034	Amidophosphoribosyltransferase
wDrep_00149	CDS	2685				hypothetical protein
wDrep_00150	CDS	3045	purL_1	6.3.5.3		Phosphoribosylformylglycinamidine synthase subunit PurL
wDrep_00151	CDS	1254				hypothetical protein
wDrep_00152	tRNA	88				tRNA-Leu(gag)
wDrep_00153	CDS	684	ptlE		COG3736	Type IV secretion system protein PtlE
wDrep_00154	CDS	807	virB9_1			Protein virB9
wDrep_00155	CDS	1476				hypothetical protein
wDrep_00156	CDS	993			COG0630	Type IV secretion system protein VirB11
wDrep_00157	CDS	2058				hypothetical protein
wDrep_00158	CDS	879				hypothetical protein
wDrep_00159	CDS	1356	alsT_1		COG1115	Amino-acid carrier protein AlsT
wDrep_00160	CDS	597	yhdE	3.6.1.9	COG0424	dTTP/UTP pyrophosphatase
wDrep_00161	CDS	264	infA			Translation initiation factor IF-1
wDrep_00162	CDS	483	nusB			Transcription antitermination protein NusB
wDrep_00163	CDS	429	ribH1	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase 1
wDrep_00164	CDS	1719	yidC		COG0706	Membrane protein insertase YidC
wDrep_00165	CDS	882	secF			Protein translocase subunit SecF
wDrep_00166	CDS	1983	ccmF		COG1138	Cytochrome c-type biogenesis protein CcmF
wDrep_00167	CDS	837	prmC	2.1.1.297	COG2890	Release factor glutamine methyltransferase
wDrep_00168	CDS	2025	tktA	2.2.1.1	COG0021	Transketolase 1
wDrep_00169	CDS	615	rpsD		COG0522	30S ribosomal protein S4
wDrep_00170	tRNA	86				tRNA-Leu(taa)
wDrep_00171	CDS	195	iscX		COG2975	Protein IscX
wDrep_00172	CDS	342				hypothetical protein
wDrep_00173	CDS	306	rpmB		COG0227	50S ribosomal protein L28
wDrep_00174	CDS	873	lipA	2.8.1.8	COG0320	Lipoyl synthase
wDrep_00175	CDS	2562	clpB			Chaperone protein ClpB
wDrep_00176	CDS	4734	gdhB	1.4.1.2	COG2902	NAD-specific glutamate dehydrogenase
wDrep_00177	CDS	297				hypothetical protein
wDrep_00178	CDS	1377	pleD			Response regulator PleD
wDrep_00179	CDS	1386	lpd	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
wDrep_00180	CDS	1038	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
wDrep_00181	CDS	921	gshB	6.3.2.3	COG0189	Glutathione synthetase
