locus_tag	ftype	length_bp	gene	EC_number	COG	product
wPni_00001	CDS	426				hypothetical protein
wPni_00002	CDS	531	ctaG		COG3175	Cytochrome c oxidase assembly protein CtaG
wPni_00003	CDS	723	ybhL		COG0670	Inner membrane protein YbhL
wPni_00004	CDS	1833	typA		COG1217	GTP-binding protein TypA/BipA
wPni_00005	tRNA	76				tRNA-Arg(tct)
wPni_00006	CDS	2334				hypothetical protein
wPni_00007	CDS	1035	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
wPni_00008	CDS	2412	mutS		COG0249	DNA mismatch repair protein MutS
wPni_00009	CDS	564				hypothetical protein
wPni_00010	CDS	477	bfr	1.16.3.1	COG2193	Bacterioferritin
wPni_00011	CDS	486				hypothetical protein
wPni_00012	CDS	648	gph	3.1.3.18	COG0546	Phosphoglycolate phosphatase
wPni_00013	CDS	1470	degP	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
wPni_00014	CDS	867	hflC		COG0330	Modulator of FtsH protease HflC
wPni_00015	CDS	1029	hflK		COG0330	Modulator of FtsH protease HflK
wPni_00016	CDS	1923				hypothetical protein
wPni_00017	CDS	786	sdhB	1.3.5.1	COG0479	Succinate dehydrogenase iron-sulfur subunit
wPni_00018	CDS	444				hypothetical protein
wPni_00019	CDS	207	rpmI		COG0291	50S ribosomal protein L35
wPni_00020	CDS	360	rplT		COG0292	50S ribosomal protein L20
wPni_00021	CDS	894	fmt	2.1.2.9	COG0223	Methionyl-tRNA formyltransferase
wPni_00022	CDS	813				hypothetical protein
wPni_00023	CDS	855				hypothetical protein
wPni_00024	CDS	1338	ffh		COG0541	Signal recognition particle protein
wPni_00025	CDS	1554	ndhB_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
wPni_00026	CDS	738	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
wPni_00027	CDS	1818	uvrC		COG0322	UvrABC system protein C
wPni_00028	CDS	2235	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
wPni_00029	CDS	840	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
wPni_00030	CDS	741				hypothetical protein
wPni_00031	tRNA	73				tRNA-Glu(ttc)
wPni_00032	tRNA	75				tRNA-Arg(acg)
wPni_00033	CDS	1128	dnaJ		COG0484	Chaperone protein DnaJ
wPni_00034	CDS	2706				hypothetical protein
wPni_00035	CDS	1785	nrdZ	1.17.4.1		Vitamin B12-dependent ribonucleoside-diphosphate reductase
wPni_00036	CDS	1080	COQ3_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
wPni_00037	rRNA	2779				23S ribosomal RNA
wPni_00038	rRNA	101				5S ribosomal RNA
wPni_00039	CDS	288				hypothetical protein
wPni_00040	CDS	261	rnpA	3.1.26.5		Ribonuclease P protein component
wPni_00041	CDS	1104	pstC		COG0573	Phosphate transport system permease protein PstC
wPni_00042	CDS	1440	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
wPni_00043	CDS	261	atpC			ATP synthase epsilon chain
wPni_00044	CDS	2322	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
wPni_00045	CDS	1107				hypothetical protein
wPni_00046	CDS	396	fdxA		COG1146	Ferredoxin-1
wPni_00047	CDS	990	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
wPni_00048	CDS	552	grpE		COG0576	Protein GrpE
wPni_00049	CDS	969	ispB	2.5.1.90	COG0142	Octaprenyl diphosphate synthase
wPni_00050	CDS	276	rpsP		COG0228	30S ribosomal protein S16
wPni_00051	CDS	1026				hypothetical protein
wPni_00052	CDS	1374	purF	2.4.2.14	COG0034	Amidophosphoribosyltransferase
wPni_00053	CDS	1089				hypothetical protein
wPni_00054	CDS	1212	pdhC	2.3.1.12		Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
wPni_00055	CDS	696				hypothetical protein
wPni_00056	CDS	1155		2.7.2.4	COG0527	Aspartate kinase
wPni_00057	CDS	1269		3.4.24.-	COG0612	putative zinc protease
wPni_00058	CDS	597	sodB	1.15.1.1		Superoxide dismutase [Fe]
wPni_00059	CDS	633				queuosine precursor transporter
wPni_00060	CDS	1503				hypothetical protein
wPni_00061	CDS	615				hypothetical protein
wPni_00062	CDS	816				hypothetical protein
wPni_00063	tRNA	75				tRNA-Arg(ccg)
wPni_00064	CDS	1485	trkG		COG0168	Trk system potassium uptake protein TrkG
wPni_00065	tRNA	73				tRNA-Val(tac)
wPni_00066	CDS	216				hypothetical protein
wPni_00067	CDS	735	rnc	3.1.26.3		Ribonuclease 3
wPni_00068	CDS	3090	recB	3.1.11.5		RecBCD enzyme subunit RecB
