locus_tag	ftype	length_bp	gene	EC_number	COG	product
wMhie_00001	CDS	1539	lysS	6.1.1.6	COG1384	Lysine--tRNA ligase
wMhie_00002	CDS	297				hypothetical protein
wMhie_00003	CDS	2406	virB4_1		COG3451	Type IV secretion system protein virB4
wMhie_00004	CDS	2541				hypothetical protein
wMhie_00005	CDS	2400				hypothetical protein
wMhie_00006	CDS	3018				hypothetical protein
wMhie_00007	CDS	3168				hypothetical protein
wMhie_00008	CDS	621				hypothetical protein
wMhie_00009	CDS	792	map	3.4.11.18	COG0024	Methionine aminopeptidase
wMhie_00010	CDS	456				hypothetical protein
wMhie_00011	CDS	1056	asd2	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase 2
wMhie_00012	CDS	1164	craA			Chloramphenicol resistance protein CraA
wMhie_00013	CDS	1071	acoA	1.1.1.-	COG1071	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha
wMhie_00014	CDS	369				hypothetical protein
wMhie_00015	CDS	504				hypothetical protein
wMhie_00016	CDS	1179	dxr	1.1.1.267		1-deoxy-D-xylulose 5-phosphate reductoisomerase
wMhie_00017	CDS	759	pstB	7.3.2.1		Phosphate import ATP-binding protein PstB
wMhie_00018	CDS	789	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
wMhie_00019	CDS	1050				hypothetical protein
wMhie_00020	CDS	201				hypothetical protein
wMhie_00021	CDS	195				hypothetical protein
wMhie_00022	CDS	291				hypothetical protein
wMhie_00023	CDS	708	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
wMhie_00024	CDS	312			COG0776	DNA-binding protein HRL53
wMhie_00025	CDS	447	rpsI		COG0103	30S ribosomal protein S9
wMhie_00026	CDS	462	rplM		COG0102	50S ribosomal protein L13
wMhie_00027	CDS	1224	bepC			Outer membrane efflux protein BepC
wMhie_00028	CDS	579				hypothetical protein
wMhie_00029	CDS	519	rlmE	2.1.1.166	COG0293	Ribosomal RNA large subunit methyltransferase E
wMhie_00030	CDS	648				hypothetical protein
wMhie_00031	CDS	402	dksA			RNA polymerase-binding transcription factor DksA
wMhie_00032	CDS	786	ptlF		COG3504	Type IV secretion system protein PtlF
wMhie_00033	CDS	168				hypothetical protein
wMhie_00034	CDS	3579				hypothetical protein
