locus_tag	ftype	length_bp	gene	EC_number	COG	product
wNo_00001	CDS	1383	dnaA_1			Chromosomal replication initiator protein DnaA
wNo_00002	CDS	876	secF			Protein translocase subunit SecF
wNo_00003	CDS	525				hypothetical protein
wNo_00004	CDS	1710	yidC		COG0706	Membrane protein insertase YidC
wNo_00005	CDS	429	ribH1	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase 1
wNo_00006	CDS	483	nusB			Transcription antitermination protein NusB
wNo_00007	CDS	645				hypothetical protein
wNo_00008	CDS	462	dut	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
wNo_00009	CDS	279				hypothetical protein
wNo_00010	CDS	531				hypothetical protein
wNo_00011	CDS	489				hypothetical protein
wNo_00012	CDS	390				hypothetical protein
wNo_00013	CDS	765				hypothetical protein
wNo_00014	CDS	372	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
wNo_00015	CDS	1260	proS	6.1.1.15	COG0442	Proline--tRNA ligase
wNo_00016	CDS	1755				hypothetical protein
wNo_00017	CDS	495				hypothetical protein
wNo_00018	CDS	1179	dxr	1.1.1.267		1-deoxy-D-xylulose 5-phosphate reductoisomerase
wNo_00019	CDS	855				hypothetical protein
wNo_00020	CDS	759	pstB	7.3.2.1		Phosphate import ATP-binding protein PstB
wNo_00021	CDS	831	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
wNo_00022	CDS	762				hypothetical protein
wNo_00023	CDS	474				hypothetical protein
wNo_00024	CDS	1164				hypothetical protein
wNo_00025	CDS	681	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
wNo_00026	CDS	1167	smc_1			Chromosome partition protein Smc
wNo_00027	CDS	840				hypothetical protein
wNo_00028	CDS	1233				hypothetical protein
wNo_00029	CDS	2469	valS	6.1.1.9		Valine--tRNA ligase
wNo_00030	CDS	654				hypothetical protein
wNo_00031	CDS	1293				hypothetical protein
wNo_00032	CDS	1110	bamB		COG1520	Outer membrane protein assembly factor BamB
wNo_00033	CDS	1380	lpd3	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase 3
wNo_00034	CDS	837	xerD_1		COG4974	Tyrosine recombinase XerD
wNo_00035	CDS	1431	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
wNo_00036	CDS	981	acoA	1.1.1.-	COG1071	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha
wNo_00037	CDS	429				hypothetical protein
wNo_00038	CDS	1512	prsE			Type I secretion system membrane fusion protein PrsE
wNo_00039	CDS	765	ctaC	1.9.3.1	COG1622	Cytochrome c oxidase subunit 2
wNo_00040	CDS	1551	ctaD	1.9.3.1	COG0843	Cytochrome c oxidase subunit 1
wNo_00041	CDS	888	ctaB	2.5.1.141	COG0109	Protoheme IX farnesyltransferase
wNo_00042	CDS	438	rnhA	3.1.26.4	COG0328	Ribonuclease HI
wNo_00043	CDS	2934				hypothetical protein
wNo_00044	CDS	432				hypothetical protein
wNo_00045	CDS	1395	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
wNo_00046	CDS	657				hypothetical protein
wNo_00047	CDS	168	tatA			Sec-independent protein translocase protein TatA
wNo_00048	CDS	738	fbpC2	7.2.2.7	COG3842	Fe(3+) ions import ATP-binding protein FbpC 2
wNo_00049	tRNA	75				tRNA-Arg(cct)
wNo_00050	CDS	1335				hypothetical protein
wNo_00051	CDS	924	glpX	3.1.3.11	COG1494	Fructose-1,6-bisphosphatase class 2
wNo_00052	CDS	1518				hypothetical protein
wNo_00053	CDS	1095	ychF		COG0012	Ribosome-binding ATPase YchF
wNo_00054	CDS	1197				hypothetical protein
wNo_00055	CDS	186				hypothetical protein
wNo_00056	CDS	231				hypothetical protein
wNo_00057	CDS	777	fabI	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
wNo_00058	CDS	1026				hypothetical protein
wNo_00059	CDS	645				hypothetical protein
wNo_00060	CDS	156				hypothetical protein
wNo_00061	CDS	435				hypothetical protein
wNo_00062	CDS	159				hypothetical protein
wNo_00063	CDS	627	rlpA	4.2.2.-		Endolytic peptidoglycan transglycosylase RlpA
wNo_00064	CDS	1023	murC_1	6.3.2.8		UDP-N-acetylmuramate--L-alanine ligase
wNo_00065	CDS	1173	craA			Chloramphenicol resistance protein CraA
wNo_00066	CDS	1158	ubiL	1.14.13.-	COG0654	Ubiquinone hydroxylase UbiL
wNo_00067	CDS	186				hypothetical protein
