locus_tag	ftype	length_bp	gene	EC_number	COG	product
wDacB_00001	CDS	729	recO			DNA repair protein RecO
wDacB_00002	CDS	528				hypothetical protein
wDacB_00003	CDS	339	bamE			Outer membrane protein assembly factor BamE
wDacB_00004	CDS	990	nrdB	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta
wDacB_00005	CDS	213				hypothetical protein
wDacB_00006	CDS	900				hypothetical protein
wDacB_00007	CDS	798	ygfZ			tRNA-modifying protein YgfZ
wDacB_00008	CDS	291	groS1		COG0234	10 kDa chaperonin 1
wDacB_00009	CDS	1650	groL5			60 kDa chaperonin 5
wDacB_00010	CDS	819				IS256 family transposase ISWpi15
wDacB_00011	CDS	393				IS256 family transposase ISWpi15
wDacB_00012	CDS	1089				IS481 family transposase ISWpi2
wDacB_00013	CDS	561				hypothetical protein
wDacB_00014	CDS	480				IS630 family transposase ISWpi10
wDacB_00015	CDS	1608	pyrG_1	6.3.4.2	COG0504	CTP synthase
wDacB_00016	CDS	357				hypothetical protein
wDacB_00017	CDS	525	yrdA_1		COG0663	Protein YrdA
wDacB_00018	CDS	1026				hypothetical protein
wDacB_00019	CDS	138				hypothetical protein
wDacB_00020	CDS	1089				IS481 family transposase ISWpi2
wDacB_00021	CDS	846				hypothetical protein
wDacB_00022	CDS	936				IS630 family transposase ISWpi10
wDacB_00023	CDS	180				hypothetical protein
wDacB_00024	CDS	294				hypothetical protein
wDacB_00025	tmRNA	333	ssrA			transfer-messenger RNA, SsrA
wDacB_00026	CDS	480				IS630 family transposase ISWpi10
wDacB_00027	CDS	282				IS630 family transposase ISWpi10
wDacB_00028	CDS	900				IS481 family transposase ISWpi2
wDacB_00029	CDS	201				hypothetical protein
wDacB_00030	CDS	1530				hypothetical protein
wDacB_00031	CDS	708				hypothetical protein
wDacB_00032	CDS	783	xthA	3.1.11.2	COG0708	Exodeoxyribonuclease III
wDacB_00033	CDS	954				hypothetical protein
wDacB_00034	CDS	249				hypothetical protein
wDacB_00035	CDS	2529	polA	2.7.7.7		DNA polymerase I, thermostable
wDacB_00036	CDS	1434	gatA	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
wDacB_00037	CDS	2373	gyrB	5.6.2.2		DNA gyrase subunit B
wDacB_00038	CDS	792				hypothetical protein
wDacB_00039	CDS	420				hypothetical protein
wDacB_00040	CDS	498				IS630 family transposase ISWpi10
wDacB_00041	CDS	480				IS630 family transposase ISWpi10
wDacB_00042	CDS	1515	secD_1		COG0342	Protein translocase subunit SecD
wDacB_00043	CDS	366				hypothetical protein
wDacB_00044	CDS	339				hypothetical protein
wDacB_00045	CDS	378	dksA			RNA polymerase-binding transcription factor DksA
wDacB_00046	CDS	648				hypothetical protein
wDacB_00047	CDS	210				hypothetical protein
wDacB_00048	CDS	174				IS630 family transposase ISWpi11
wDacB_00049	CDS	711	fucA_1	4.1.2.17		L-fuculose phosphate aldolase
wDacB_00050	CDS	480				IS630 family transposase ISWpi10
wDacB_00051	CDS	129				hypothetical protein
wDacB_00052	CDS	297				IS630 family transposase ISWpi10
wDacB_00053	CDS	1089				IS481 family transposase ISWpi2
wDacB_00054	CDS	501				IS630 family transposase ISWpi10
wDacB_00055	CDS	480				IS630 family transposase ISWpi10
wDacB_00056	CDS	561				hypothetical protein
wDacB_00057	CDS	522				hypothetical protein
wDacB_00058	CDS	417				hypothetical protein
wDacB_00059	CDS	519	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
wDacB_00060	CDS	1323		3.4.24.-	COG0612	putative zinc protease
wDacB_00061	CDS	1329		3.4.24.-	COG0612	putative zinc protease
wDacB_00062	CDS	477	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
wDacB_00063	CDS	933	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
wDacB_00064	CDS	372				hypothetical protein
wDacB_00065	CDS	873				hypothetical protein
wDacB_00066	CDS	441				hypothetical protein
wDacB_00067	CDS	543	truB_1	5.4.99.25	COG0130	tRNA pseudouridine synthase B
wDacB_00068	CDS	486				hypothetical protein
wDacB_00069	CDS	363				hypothetical protein
wDacB_00070	CDS	237				hypothetical protein
wDacB_00071	CDS	879	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
wDacB_00072	CDS	885	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
wDacB_00073	CDS	417				hypothetical protein
wDacB_00074	CDS	627				hypothetical protein
wDacB_00075	CDS	1281	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
wDacB_00076	CDS	636				hypothetical protein
wDacB_00077	CDS	252				IS481 family transposase ISWpi2
wDacB_00078	CDS	252				IS481 family transposase ISWpi2
wDacB_00079	CDS	1434				hypothetical protein
wDacB_00080	CDS	1011	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
wDacB_00081	CDS	345				hypothetical protein
wDacB_00082	CDS	414				IS481 family transposase ISWpi2
wDacB_00083	CDS	885	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
wDacB_00084	CDS	471				hypothetical protein
wDacB_00085	CDS	588	ywlC	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
wDacB_00086	CDS	852				hypothetical protein
wDacB_00087	CDS	732				hypothetical protein
wDacB_00088	CDS	651				hypothetical protein
wDacB_00089	CDS	1503	ndhB_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
wDacB_00090	CDS	534				hypothetical protein
