locus_tag	ftype	length_bp	gene	EC_number	COG	product
wVulC_00001	CDS	1269			COG3385	IS4 family transposase ISWpi18
wVulC_00002	CDS	285				IS3 family transposase ISWpi17
wVulC_00003	CDS	243				IS3 family transposase ISWpi17
wVulC_00004	CDS	567				IS3 family transposase ISWpi17
wVulC_00005	CDS	219				hypothetical protein
wVulC_00006	CDS	852	xerC		COG4973	Tyrosine recombinase XerC
wVulC_00007	CDS	1371	lpd3	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase 3
wVulC_00008	CDS	1110	bamB		COG1520	Outer membrane protein assembly factor BamB
wVulC_00009	CDS	210				hypothetical protein
wVulC_00010	CDS	729			COG3385	IS4 family transposase ISWosp2
wVulC_00011	CDS	198				hypothetical protein
wVulC_00012	CDS	291			COG3385	IS4 family transposase ISWosp2
wVulC_00013	CDS	279				hypothetical protein
wVulC_00014	CDS	231				hypothetical protein
wVulC_00015	CDS	738				IS110 family transposase ISWpi13
wVulC_00016	CDS	1830	typA_1		COG1217	GTP-binding protein TypA/BipA
wVulC_00017	CDS	1353				hypothetical protein
wVulC_00018	CDS	1017	apbC		COG0489	Iron-sulfur cluster carrier protein
wVulC_00019	CDS	132				hypothetical protein
wVulC_00020	CDS	192				hypothetical protein
wVulC_00021	CDS	720				IS256 family transposase ISWpi15
wVulC_00022	CDS	426				hypothetical protein
wVulC_00023	CDS	366				hypothetical protein
wVulC_00024	CDS	474				hypothetical protein
wVulC_00025	CDS	321				hypothetical protein
wVulC_00026	CDS	948	rluD	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
wVulC_00027	CDS	1758				hypothetical protein
wVulC_00028	tRNA	77				tRNA-Met(cat)
wVulC_00029	CDS	249				hypothetical protein
wVulC_00030	CDS	651	pdxH	1.4.3.5	COG0259	Pyridoxine/pyridoxamine 5'-phosphate oxidase
wVulC_00031	CDS	816	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
wVulC_00032	tRNA	74				tRNA-Thr(ggt)
wVulC_00033	CDS	1518	pccB	6.4.1.3	COG4799	Propionyl-CoA carboxylase beta chain
wVulC_00034	CDS	1023				hypothetical protein
wVulC_00035	CDS	1326	der			GTPase Der
wVulC_00036	CDS	213				hypothetical protein
wVulC_00037	CDS	597				hypothetical protein
wVulC_00038	CDS	492	dsbB			Disulfide bond formation protein B
wVulC_00039	CDS	1443				hypothetical protein
wVulC_00040	CDS	1530	metG	6.1.1.10		Methionine--tRNA ligase
wVulC_00041	CDS	870				hypothetical protein
wVulC_00042	CDS	1404				hypothetical protein
wVulC_00043	CDS	579	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
wVulC_00044	CDS	1185	rnd_1	3.1.13.5	COG0349	Ribonuclease D
wVulC_00045	CDS	1326	pyrC	3.5.2.3	COG0044	Dihydroorotase
wVulC_00046	CDS	2214	smc_1			Chromosome partition protein Smc
wVulC_00047	CDS	603				hypothetical protein
wVulC_00048	tRNA	84				tRNA-Leu(caa)
wVulC_00049	CDS	1443	dnaC	3.6.4.12	COG0305	Replicative DNA helicase
wVulC_00050	CDS	132				hypothetical protein
wVulC_00051	CDS	135				hypothetical protein
wVulC_00052	CDS	252				hypothetical protein
wVulC_00053	CDS	405				hypothetical protein
wVulC_00054	CDS	279				hypothetical protein
wVulC_00055	CDS	276				hypothetical protein
wVulC_00056	CDS	396	purM_1	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
wVulC_00057	CDS	669	purM_2	6.3.3.1		Phosphoribosylformylglycinamidine cyclo-ligase
wVulC_00058	CDS	723	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
wVulC_00059	CDS	699	trmD	2.1.1.228	COG0336	tRNA (guanine-N(1)-)-methyltransferase
wVulC_00060	CDS	378	rplS		COG0335	50S ribosomal protein L19
wVulC_00061	CDS	1251				hypothetical protein
wVulC_00062	CDS	798	purL_1	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase
wVulC_00063	CDS	90				hypothetical protein
wVulC_00064	CDS	192				hypothetical protein
wVulC_00065	CDS	690				IS110 family transposase ISWen2
wVulC_00066	CDS	207				IS110 family transposase ISWen2
wVulC_00067	CDS	399				IS110 family transposase ISWpi13
wVulC_00068	CDS	573				IS110 family transposase ISWpi13
wVulC_00069	CDS	165				hypothetical protein
wVulC_00070	CDS	144				hypothetical protein
wVulC_00071	CDS	147				hypothetical protein
wVulC_00072	CDS	1419	tldD	3.4.-.-	COG0312	Metalloprotease TldD
wVulC_00073	CDS	120				hypothetical protein
wVulC_00074	CDS	510				IS630 family transposase ISWpi10
wVulC_00075	CDS	411				IS630 family transposase ISWpi10
wVulC_00076	CDS	234				hypothetical protein
wVulC_00077	CDS	1740	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
wVulC_00078	CDS	975	ykfA	3.4.16.-	COG1619	putative murein peptide carboxypeptidase
wVulC_00079	CDS	618	lipB	2.3.1.181	COG0321	Octanoyltransferase
wVulC_00080	CDS	1176				hypothetical protein
wVulC_00081	CDS	315				hypothetical protein
wVulC_00082	CDS	1176				hypothetical protein
wVulC_00083	CDS	1089				hypothetical protein
wVulC_00084	CDS	543				hypothetical protein
wVulC_00085	CDS	2535				hypothetical protein
wVulC_00086	CDS	1488	murJ		COG0728	putative lipid II flippase MurJ
wVulC_00087	tRNA	76				tRNA-His(gtg)
wVulC_00088	CDS	561				hypothetical protein
wVulC_00089	CDS	2016	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
wVulC_00090	CDS	1806				hypothetical protein
wVulC_00091	CDS	366				hypothetical protein
wVulC_00092	CDS	645				hypothetical protein
wVulC_00093	CDS	783	yeeZ		COG0451	Protein YeeZ
wVulC_00094	CDS	171				hypothetical protein
wVulC_00095	CDS	216				hypothetical protein
wVulC_00096	CDS	276	relG	3.1.-.-	COG2026	Toxin RelG
wVulC_00097	CDS	600	petA	7.1.1.8	COG0723	Ubiquinol-cytochrome c reductase iron-sulfur subunit
wVulC_00098	CDS	2703	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
wVulC_00099	tRNA	73				tRNA-Val(tac)
wVulC_00100	CDS	867				hypothetical protein
wVulC_00101	CDS	384				hypothetical protein
wVulC_00102	CDS	528	bioY		COG1268	Biotin transporter BioY
wVulC_00103	CDS	591				hypothetical protein
wVulC_00104	CDS	246				hypothetical protein
wVulC_00105	CDS	159				hypothetical protein
wVulC_00106	CDS	153				hypothetical protein
wVulC_00107	CDS	1068	recA			Protein RecA
wVulC_00108	CDS	738	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
wVulC_00109	CDS	1152	dnaN			Beta sliding clamp
wVulC_00110	CDS	498				hypothetical protein
wVulC_00111	CDS	894	rpoH		COG0568	RNA polymerase sigma factor RpoH
wVulC_00112	CDS	726				hypothetical protein
wVulC_00113	CDS	333	ybaB		COG0718	Nucleoid-associated protein YbaB
wVulC_00114	CDS	1476				hypothetical protein
wVulC_00115	CDS	654	fzlA			FtsZ-localized protein A
wVulC_00116	CDS	648	trmR	2.1.1.-		tRNA 5-hydroxyuridine methyltransferase
wVulC_00117	CDS	279				hypothetical protein
wVulC_00118	CDS	732				hypothetical protein
wVulC_00119	CDS	462	pasT		COG2867	Persistence and stress-resistance toxin PasT
wVulC_00120	CDS	585				hypothetical protein
wVulC_00121	CDS	1302	fpgS	6.3.2.17		Folylpolyglutamate synthase
wVulC_00122	CDS	1017				hypothetical protein
wVulC_00123	CDS	3321	dnaE1	2.7.7.7		DNA polymerase III subunit alpha
wVulC_00124	CDS	774				hypothetical protein
wVulC_00125	CDS	279				hypothetical protein
