locus_tag	ftype	length_bp	gene	EC_number	COG	product
wTex_00001	CDS	444				hypothetical protein
wTex_00002	CDS	984	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
wTex_00003	CDS	609	rnhB	3.1.26.4	COG0164	Ribonuclease HII
wTex_00004	CDS	153				hypothetical protein
wTex_00005	CDS	177				hypothetical protein
wTex_00006	CDS	201				hypothetical protein
wTex_00007	CDS	1014				hypothetical protein
wTex_00008	CDS	141				hypothetical protein
wTex_00009	CDS	381			COG3039	IS5 family transposase ISCARN82
wTex_00010	CDS	225			COG3039	IS5 family transposase ISAba15
wTex_00011	CDS	1341	pyrC	3.5.2.3		Dihydroorotase
wTex_00012	CDS	576				hypothetical protein
wTex_00013	CDS	792	ctaE	1.9.3.1	COG1845	Cytochrome c oxidase subunit 3
wTex_00014	CDS	525	ruvC	3.1.22.4		Crossover junction endodeoxyribonuclease RuvC
wTex_00015	CDS	1113	glnA	6.3.1.2	COG0174	Glutamine synthetase
wTex_00016	tRNA	74				tRNA-Lys(ttt)
wTex_00017	CDS	1248	nuoF	7.1.1.-		NADH-quinone oxidoreductase subunit F
wTex_00018	CDS	1203	mdtL			Multidrug resistance protein MdtL
wTex_00019	CDS	2667				hypothetical protein
wTex_00020	CDS	531	bioY		COG1268	Biotin transporter BioY
wTex_00021	CDS	1659	pepQ	3.4.13.9		Xaa-Pro dipeptidase
wTex_00022	CDS	1098	mrdB	2.4.1.129		Peptidoglycan glycosyltransferase MrdB
wTex_00023	CDS	912				hypothetical protein
wTex_00024	CDS	1320	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
wTex_00025	CDS	1218	iscS	2.8.1.7	COG1104	Cysteine desulfurase IscS
wTex_00026	CDS	429				hypothetical protein
wTex_00027	CDS	1173	ubiL	1.14.13.-	COG0654	Ubiquinone hydroxylase UbiL
wTex_00028	CDS	1935	tktA	2.2.1.1	COG0021	Transketolase 1
wTex_00029	CDS	615	rpsD		COG0522	30S ribosomal protein S4
wTex_00030	tRNA	85				tRNA-Leu(taa)
wTex_00031	CDS	195	iscX		COG2975	Protein IscX
wTex_00032	CDS	1074	bfmBAB	1.2.4.4	COG0022	2-oxoisovalerate dehydrogenase subunit beta
wTex_00033	CDS	537				hypothetical protein
wTex_00034	CDS	2700				hypothetical protein
wTex_00035	CDS	2973				hypothetical protein
wTex_00036	CDS	2346				hypothetical protein
wTex_00037	CDS	2643				hypothetical protein
wTex_00038	CDS	2406	virB4_1		COG3451	Type IV secretion system protein virB4
wTex_00039	CDS	297				hypothetical protein
wTex_00040	CDS	1524	lysS	6.1.1.6	COG1384	Lysine--tRNA ligase
wTex_00041	CDS	255	infA			Translation initiation factor IF-1
wTex_00042	CDS	585	yhdE	3.6.1.9	COG0424	dTTP/UTP pyrophosphatase
wTex_00043	CDS	1251				hypothetical protein
wTex_00044	CDS	732				hypothetical protein
wTex_00045	CDS	792	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
wTex_00046	tRNA	84				tRNA-Leu(caa)
wTex_00047	CDS	1095	ankX_1	2.7.1.-	COG0666	Phosphocholine transferase AnkX
wTex_00048	CDS	1440	dnaC	3.6.4.12	COG0305	Replicative DNA helicase
wTex_00049	CDS	831	ptlF		COG3504	Type IV secretion system protein PtlF
wTex_00050	CDS	732	recO			DNA repair protein RecO
wTex_00051	CDS	1884	pcrA	3.6.4.12		ATP-dependent DNA helicase PcrA
wTex_00052	CDS	1329				hypothetical protein
wTex_00053	CDS	285				hypothetical protein
wTex_00054	CDS	1203				hypothetical protein
wTex_00055	CDS	270				hypothetical protein
wTex_00056	CDS	321				hypothetical protein
wTex_00057	CDS	135				hypothetical protein
wTex_00058	CDS	2232	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
wTex_00059	CDS	273	rpsO			30S ribosomal protein S15
wTex_00060	CDS	867	truB	5.4.99.25		tRNA pseudouridine synthase B
wTex_00061	CDS	942	glpX	3.1.3.11	COG1494	Fructose-1,6-bisphosphatase class 2
wTex_00062	CDS	1119	dacF	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacF
wTex_00063	CDS	135				hypothetical protein
wTex_00064	CDS	180				hypothetical protein
wTex_00065	CDS	156				hypothetical protein
wTex_00066	CDS	447	ssb			Single-stranded DNA-binding protein
wTex_00067	CDS	168	tatA			Sec-independent protein translocase protein TatA
wTex_00068	CDS	639				hypothetical protein
wTex_00069	CDS	1359	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
wTex_00070	CDS	459				hypothetical protein
wTex_00071	CDS	1029				hypothetical protein
wTex_00072	CDS	2322	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
wTex_00073	CDS	774	ankX_2	2.7.1.-	COG0666	Phosphocholine transferase AnkX
wTex_00074	CDS	660				hypothetical protein
wTex_00075	CDS	258				hypothetical protein
wTex_00076	CDS	408				hypothetical protein
wTex_00077	CDS	711				hypothetical protein
wTex_00078	CDS	141				hypothetical protein
wTex_00079	CDS	1437	dnaA_1		COG0593	Chromosomal replication initiator protein DnaA
wTex_00080	CDS	975				hypothetical protein
wTex_00081	CDS	795				hypothetical protein
wTex_00082	CDS	267				hypothetical protein
wTex_00083	CDS	1959	priA	3.6.4.-	COG1198	Primosomal protein N'
wTex_00084	CDS	270	lolD	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
wTex_00085	CDS	1986				hypothetical protein
wTex_00086	CDS	2400				hypothetical protein
wTex_00087	CDS	561				hypothetical protein
wTex_00088	CDS	129				hypothetical protein
wTex_00089	CDS	780				hypothetical protein
wTex_00090	CDS	534				hypothetical protein
wTex_00091	CDS	1329	radA	3.6.4.-	COG1066	DNA repair protein RadA
wTex_00092	CDS	2688				hypothetical protein
wTex_00093	CDS	2328	virB4_2		COG3451	Type IV secretion system protein virB4
wTex_00094	CDS	375				hypothetical protein
wTex_00095	CDS	1404	degP	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
wTex_00096	CDS	870	hflC		COG0330	Modulator of FtsH protease HflC
wTex_00097	CDS	1032	hflK		COG0330	Modulator of FtsH protease HflK
wTex_00098	CDS	228				hypothetical protein
wTex_00099	CDS	1770				hypothetical protein
wTex_00100	CDS	1830	typA		COG1217	GTP-binding protein TypA/BipA 
wTex_00101	CDS	393				hypothetical protein
wTex_00102	CDS	609	ccmA	7.6.2.5	COG4133	Cytochrome c biogenesis ATP-binding export protein CcmA
wTex_00103	CDS	141				hypothetical protein
wTex_00104	CDS	201				hypothetical protein
wTex_00105	CDS	663				hypothetical protein
wTex_00106	CDS	651				hypothetical protein
wTex_00107	CDS	144				hypothetical protein
wTex_00108	CDS	249				hypothetical protein
wTex_00109	CDS	444				hypothetical protein
wTex_00110	CDS	417				hypothetical protein
