locus_tag	ftype	length_bp	gene	EC_number	COG	product
wStri_00001	CDS	153				hypothetical protein
wStri_00002	CDS	1401	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
wStri_00003	CDS	2040				hypothetical protein
wStri_00004	CDS	1506				hypothetical protein
wStri_00005	CDS	432				hypothetical protein
wStri_00006	CDS	474				hypothetical protein
wStri_00007	CDS	729				hypothetical protein
wStri_00008	CDS	1167				hypothetical protein
wStri_00009	CDS	801				hypothetical protein
wStri_00010	CDS	336				hypothetical protein
wStri_00011	CDS	255				hypothetical protein
wStri_00012	CDS	168				hypothetical protein
wStri_00013	CDS	474				hypothetical protein
wStri_00014	CDS	513				hypothetical protein
wStri_00015	CDS	315				hypothetical protein
wStri_00016	CDS	1299				hypothetical protein
wStri_00017	CDS	1227				hypothetical protein
wStri_00018	CDS	150				hypothetical protein
wStri_00019	CDS	222				hypothetical protein
wStri_00020	CDS	555				hypothetical protein
wStri_00021	CDS	513				hypothetical protein
wStri_00022	CDS	285				hypothetical protein
wStri_00023	CDS	1347				IS110 family transposase ISWpi13
wStri_00024	CDS	207				hypothetical protein
wStri_00025	CDS	1701				hypothetical protein
wStri_00026	CDS	963				hypothetical protein
wStri_00027	CDS	213				hypothetical protein
wStri_00028	CDS	852				hypothetical protein
wStri_00029	CDS	150				hypothetical protein
wStri_00030	CDS	1245	ltrA_1		COG3344	Group II intron-encoded protein LtrA
wStri_00031	CDS	735				hypothetical protein
wStri_00032	CDS	132				hypothetical protein
wStri_00033	CDS	1242				hypothetical protein
wStri_00034	CDS	201				hypothetical protein
wStri_00035	CDS	267				hypothetical protein
wStri_00036	CDS	852				hypothetical protein
wStri_00037	CDS	150				hypothetical protein
wStri_00038	CDS	1245	ltrA_2		COG3344	Group II intron-encoded protein LtrA
wStri_00039	CDS	966				hypothetical protein
wStri_00040	CDS	357				hypothetical protein
wStri_00041	CDS	1245	ltrA_3		COG3344	Group II intron-encoded protein LtrA
wStri_00042	CDS	735				hypothetical protein
wStri_00043	CDS	156				hypothetical protein
