locus_tag	ftype	length_bp	gene	EC_number	COG	product
wHa_00001	CDS	1383	dnaA_1			Chromosomal replication initiator protein DnaA
wHa_00002	CDS	1275				hypothetical protein
wHa_00003	tRNA	88				tRNA-Leu(gag)
wHa_00004	CDS	1083	ribBA	3.5.4.25		Riboflavin biosynthesis protein RibBA
wHa_00005	CDS	681	virB8		COG3736	Type IV secretion system protein virB8
wHa_00006	CDS	801	virB9		COG3504	Type IV secretion system protein virB9
wHa_00007	CDS	1497				hypothetical protein
wHa_00008	CDS	993			COG0630	Type IV secretion system protein VirB11
wHa_00009	CDS	1989	virD4			Protein VirD4
wHa_00010	CDS	327				hypothetical protein
wHa_00011	CDS	537				hypothetical protein
wHa_00012	CDS	840	prmC	2.1.1.297	COG2890	Release factor glutamine methyltransferase
wHa_00013	CDS	375	rpsL			30S ribosomal protein S12
wHa_00014	CDS	480	rpsG		COG0049	30S ribosomal protein S7
wHa_00015	CDS	2076	fusA		COG0480	Elongation factor G
wHa_00016	CDS	1173	tufA_1		COG0050	Elongation factor Tu
wHa_00017	tRNA	74				tRNA-Trp(cca)
wHa_00018	CDS	837	nusG			Transcription termination/antitermination protein NusG
wHa_00019	CDS	441	rplK		COG0080	50S ribosomal protein L11
wHa_00020	CDS	654	rplA		COG0081	50S ribosomal protein L1
wHa_00021	CDS	519	rplJ		COG0244	50S ribosomal protein L10
wHa_00022	CDS	402	rplL			50S ribosomal protein L7/L12
wHa_00023	CDS	8514	rpoBC	2.7.7.6	COG0085	Bifunctional DNA-directed RNA polymerase subunit beta-beta'
wHa_00024	CDS	999	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
wHa_00025	CDS	1923				hypothetical protein
wHa_00026	CDS	1299	serS	6.1.1.11	COG0172	Serine--tRNA ligase
wHa_00027	CDS	1272	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
wHa_00028	CDS	1671				hypothetical protein
wHa_00029	CDS	867				hypothetical protein
wHa_00030	CDS	927	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
wHa_00031	CDS	354	GATC	6.3.5.-		Glutamyl-tRNA(Gln) amidotransferase subunit C, chloroplastic/mitochondrial
wHa_00032	CDS	1263	tolB		COG0823	Tol-Pal system protein TolB
wHa_00033	CDS	1668	rnj1	3.1.-.-		Ribonuclease J 1
wHa_00034	CDS	1119	dnaJ		COG0484	Chaperone protein DnaJ
wHa_00035	tRNA	78				tRNA-Arg(acg)
wHa_00036	CDS	924				hypothetical protein
wHa_00037	CDS	276				hypothetical protein
wHa_00038	CDS	948				IS110 family transposase ISWpi12
