locus_tag	ftype	length_bp	gene	EC_number	COG	product
wPip_00001	CDS	1383	dnaA_1			Chromosomal replication initiator protein DnaA
wPip_00002	CDS	876	secF			Protein translocase subunit SecF
wPip_00003	CDS	525				hypothetical protein
wPip_00004	CDS	1710	yidC			Membrane protein insertase YidC
wPip_00005	CDS	429	ribH1	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase 1
wPip_00006	CDS	483	nusB			Transcription antitermination protein NusB
wPip_00007	CDS	678				hypothetical protein
wPip_00008	CDS	462	dut	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
wPip_00009	CDS	279				hypothetical protein
wPip_00010	CDS	531				hypothetical protein
wPip_00011	CDS	489				hypothetical protein
wPip_00012	CDS	390				hypothetical protein
wPip_00013	CDS	735				hypothetical protein
wPip_00014	CDS	375	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
wPip_00015	CDS	1260	proS	6.1.1.15	COG0442	Proline--tRNA ligase
wPip_00016	CDS	1587				hypothetical protein
wPip_00017	CDS	414				hypothetical protein
wPip_00018	CDS	339	bamE			Outer membrane protein assembly factor BamE
wPip_00019	CDS	990	nrdB	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta
wPip_00020	CDS	366				IS6 family transposase ISCca2
wPip_00021	CDS	942				hypothetical protein
wPip_00022	CDS	798	ygfZ			tRNA-modifying protein YgfZ
wPip_00023	CDS	291	groS1		COG0234	10 kDa chaperonin 1
wPip_00024	CDS	1659	groL5			60 kDa chaperonin 5
wPip_00025	CDS	381				hypothetical protein
wPip_00026	CDS	483				IS630 family transposase ISWpi11
wPip_00027	CDS	504				hypothetical protein
wPip_00028	CDS	891				hypothetical protein
wPip_00029	CDS	252				hypothetical protein
wPip_00030	CDS	1338	alsT_1		COG1115	Amino-acid carrier protein AlsT
wPip_00031	CDS	153				hypothetical protein
wPip_00032	CDS	357				hypothetical protein
wPip_00033	CDS	210				hypothetical protein
wPip_00034	CDS	477				hypothetical protein
wPip_00035	CDS	2214				hypothetical protein
wPip_00036	CDS	591	yhdE	3.6.1.9	COG0424	dTTP/UTP pyrophosphatase
wPip_00037	CDS	237	infA			Translation initiation factor IF-1
wPip_00038	CDS	2130				hypothetical protein
wPip_00039	CDS	1278	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
wPip_00040	CDS	1533				hypothetical protein
wPip_00041	CDS	939	argB	2.7.2.8	COG0548	Acetylglutamate kinase
wPip_00042	CDS	594	engB			GTP-binding protein EngB
wPip_00043	CDS	1092	prfA		COG0216	Peptide chain release factor 1
wPip_00044	CDS	444				hypothetical protein
wPip_00045	CDS	930				hypothetical protein
wPip_00046	CDS	558				hypothetical protein
wPip_00047	CDS	1161	craA			Chloramphenicol resistance protein CraA
wPip_00048	CDS	873				IS982 family transposase ISWpi16
wPip_00049	CDS	1023	murC_1	6.3.2.8		UDP-N-acetylmuramate--L-alanine ligase
