locus_tag	ftype	length_bp	gene	EC_number	COG	product
wOv_00001	tmRNA	330	ssrA			transfer-messenger RNA, SsrA
wOv_00002	CDS	102				hypothetical protein
wOv_00003	CDS	438				hypothetical protein
wOv_00004	CDS	618	lipB	2.3.1.181	COG0321	Octanoyltransferase
wOv_00005	CDS	798	purL_1	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase
wOv_00006	CDS	1251				hypothetical protein
wOv_00007	CDS	375	rplS		COG0335	50S ribosomal protein L19
wOv_00008	CDS	708	trmD	2.1.1.228	COG0336	tRNA (guanine-N(1)-)-methyltransferase
wOv_00009	CDS	408	purC_1	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
wOv_00010	CDS	333	purC_2	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
wOv_00011	CDS	1038	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
wOv_00012	CDS	294				hypothetical protein
wOv_00013	CDS	360				hypothetical protein
wOv_00014	CDS	744	tlyC		COG1253	Hemolysin C
wOv_00015	CDS	1011	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
wOv_00016	CDS	1194	aatB	2.6.1.1	COG0436	Aspartate aminotransferase
wOv_00017	CDS	117				hypothetical protein
wOv_00018	CDS	1221				hypothetical protein
wOv_00019	CDS	1278	glyA	2.1.2.1		Serine hydroxymethyltransferase
wOv_00020	CDS	117				hypothetical protein
wOv_00021	CDS	93				hypothetical protein
wOv_00022	CDS	966	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
wOv_00023	CDS	297				hypothetical protein
wOv_00024	CDS	486				hypothetical protein
wOv_00025	CDS	264				hypothetical protein
wOv_00026	CDS	1299	serS	6.1.1.11	COG0172	Serine--tRNA ligase
wOv_00027	CDS	1272	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
wOv_00028	CDS	1557	guaA	6.3.5.2		GMP synthase [glutamine-hydrolyzing]
wOv_00029	CDS	717				hypothetical protein
wOv_00030	CDS	525				hypothetical protein
wOv_00031	CDS	567	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
wOv_00032	CDS	1314				hypothetical protein
wOv_00033	CDS	1341		3.4.24.-	COG0612	putative zinc protease
wOv_00034	CDS	465	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
wOv_00035	CDS	474	ribF_1		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
wOv_00036	CDS	336	ribF_2		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
wOv_00037	CDS	372				hypothetical protein
wOv_00038	CDS	873				hypothetical protein
wOv_00039	CDS	510		3.2.2.-	COG2094	Putative 3-methyladenine DNA glycosylase
wOv_00040	CDS	1011				hypothetical protein
wOv_00041	CDS	243				hypothetical protein
wOv_00042	CDS	2826	uvrA			UvrABC system protein A
wOv_00043	CDS	168				hypothetical protein
wOv_00044	CDS	579	plsY	2.3.1.275	COG0344	Glycerol-3-phosphate acyltransferase
wOv_00045	CDS	1467	alsT_1		COG1115	Amino-acid carrier protein AlsT
wOv_00046	CDS	771				hypothetical protein
wOv_00047	CDS	693	psd	4.1.1.65	COG0688	Phosphatidylserine decarboxylase proenzyme
wOv_00048	CDS	720	tpiA	5.3.1.1		Triosephosphate isomerase
wOv_00049	CDS	129				hypothetical protein
wOv_00050	CDS	1314				hypothetical protein
wOv_00051	CDS	501	nqo2	7.1.1.-	COG1905	NADH-quinone oxidoreductase chain 2
wOv_00052	CDS	1218	tgt	2.4.2.29		Queuine tRNA-ribosyltransferase
wOv_00053	CDS	1509	mrpA		COG1009	Na(+)/H(+) antiporter subunit A
wOv_00054	CDS	906				hypothetical protein
wOv_00055	CDS	732		2.5.1.10		Farnesyl diphosphate synthase
wOv_00056	CDS	273	acpP		COG0236	Acyl carrier protein
wOv_00057	CDS	1266	fabF	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
wOv_00058	CDS	930				hypothetical protein
wOv_00059	CDS	1476	gatA	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
wOv_00060	tRNA	74				tRNA-Glu(ttc)
wOv_00061	CDS	708	rnc	3.1.26.3		Ribonuclease 3
wOv_00062	CDS	1098	pyrD	1.3.5.2	COG0167	Dihydroorotate dehydrogenase (quinone)
wOv_00063	tRNA	72				tRNA-Cys(gca)
wOv_00064	CDS	897	fbaB	4.1.2.13	COG1830	Fructose-bisphosphate aldolase class 1
wOv_00065	CDS	198				hypothetical protein
wOv_00066	CDS	108				hypothetical protein
wOv_00067	CDS	204				hypothetical protein
wOv_00068	CDS	192				hypothetical protein
wOv_00069	CDS	228				hypothetical protein
wOv_00070	CDS	2250	priA	3.6.4.-		primosomal protein N'
wOv_00071	CDS	1806	sdhA	1.3.5.1		Succinate dehydrogenase flavoprotein subunit
wOv_00072	CDS	2301				hypothetical protein
wOv_00073	CDS	1332	pyrC	3.5.2.3	COG0044	Dihydroorotase
wOv_00074	CDS	120				hypothetical protein
wOv_00075	CDS	1332	gltX	6.1.1.17		Glutamate--tRNA ligase
wOv_00076	CDS	1329	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
wOv_00077	CDS	3276	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
wOv_00078	CDS	2736				hypothetical protein
wOv_00079	CDS	2724	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
wOv_00080	CDS	204				hypothetical protein
wOv_00081	CDS	1122	prfA		COG0216	Peptide chain release factor 1
wOv_00082	CDS	582	engB		COG0218	putative GTP-binding protein EngB
wOv_00083	CDS	939	argB	2.7.2.8	COG0548	Acetylglutamate kinase
wOv_00084	CDS	465	dut	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
wOv_00085	CDS	138				hypothetical protein
wOv_00086	CDS	633				hypothetical protein
wOv_00087	CDS	1194	ftsZ			Cell division protein FtsZ
wOv_00088	CDS	468	ybeY	3.1.-.-		Endoribonuclease YbeY
wOv_00089	CDS	789	sdhB	1.3.5.1	COG0479	Succinate dehydrogenase iron-sulfur subunit
wOv_00090	CDS	1137				hypothetical protein
wOv_00091	CDS	780				hypothetical protein
wOv_00092	CDS	483	pgpA	3.1.3.27	COG1267	Phosphatidylglycerophosphatase A
wOv_00093	CDS	984	gpsA	1.1.1.94	COG0240	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
wOv_00094	CDS	753	ctrA			Cell cycle response regulator CtrA
wOv_00095	CDS	468	bcp	1.11.1.15	COG1225	Putative peroxiredoxin bcp
wOv_00096	CDS	198				hypothetical protein
