locus_tag	ftype	length_bp	gene	EC_number	COG	product
wCle_00001	CDS	1383	dnaA_1		COG0593	Chromosomal replication initiator protein DnaA
wCle_00002	CDS	1254				hypothetical protein
wCle_00003	tRNA	88				tRNA-Leu(gag)
wCle_00004	CDS	681	ptlE		COG3736	Type IV secretion system protein PtlE
wCle_00005	CDS	807	virB9			Protein virB9
wCle_00006	CDS	1488				hypothetical protein
wCle_00007	CDS	993			COG0630	Type IV secretion system protein VirB11
wCle_00008	CDS	2139				hypothetical protein
wCle_00009	CDS	126				hypothetical protein
wCle_00010	CDS	678				hypothetical protein
wCle_00011	CDS	315			COG3039	IS5 family transposase ISNieu4
wCle_00012	CDS	357			COG3039	IS5 family transposase ISCaa8
wCle_00013	CDS	2481	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
wCle_00014	CDS	825	hemF	1.3.3.3	COG0408	Oxygen-dependent coproporphyrinogen-III oxidase
wCle_00015	CDS	783				hypothetical protein
wCle_00016	CDS	2601	acn	4.2.1.3	COG1048	Aconitate hydratase A
wCle_00017	CDS	1308	dnaJ_1			Chaperone protein DnaJ
wCle_00018	CDS	2049	recG	3.6.4.12	COG1200	ATP-dependent DNA helicase RecG
wCle_00019	CDS	357			COG3039	IS5 family transposase ISCaa8
wCle_00020	CDS	315			COG3039	IS5 family transposase ISNieu4
wCle_00021	CDS	171				hypothetical protein
wCle_00022	CDS	498				hypothetical protein
wCle_00023	CDS	894	rpoH		COG0568	RNA polymerase sigma factor RpoH
wCle_00024	CDS	696				hypothetical protein
wCle_00025	CDS	333	ybaB		COG0718	Nucleoid-associated protein YbaB
wCle_00026	CDS	1485				hypothetical protein
wCle_00027	CDS	534	fzlA			FtsZ-localized protein A
wCle_00028	CDS	651	trmR	2.1.1.-	COG4122	tRNA 5-hydroxyuridine methyltransferase
wCle_00029	CDS	279				hypothetical protein
wCle_00030	CDS	711				hypothetical protein
wCle_00031	CDS	450	pasT		COG2867	Persistence and stress-resistance toxin PasT
wCle_00032	CDS	600				hypothetical protein
wCle_00033	CDS	624	folC	6.3.2.12	COG0285	Dihydrofolate synthase/folylpolyglutamate synthase
wCle_00034	CDS	561	fpgS	6.3.2.17		Folylpolyglutamate synthase
