locus_tag	ftype	length_bp	gene	EC_number	COG	product
wAmi_00001	CDS	435				hypothetical protein
wAmi_00002	CDS	1224	pdhC	2.3.1.12		Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
wAmi_00003	CDS	498				hypothetical protein
wAmi_00004	CDS	891	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
wAmi_00005	CDS	1287				hypothetical protein
wAmi_00006	CDS	768				hypothetical protein
wAmi_00007	CDS	240				hypothetical protein
wAmi_00008	CDS	498		1.-.-.-	COG1028	putative oxidoreductase
wAmi_00009	CDS	309	carA_1	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
wAmi_00010	CDS	183				hypothetical protein
wAmi_00011	CDS	2709	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
wAmi_00012	CDS	450				hypothetical protein
wAmi_00013	CDS	1821	nodM	2.6.1.16		Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
wAmi_00014	CDS	717				hypothetical protein
wAmi_00015	CDS	987	xerD		COG4974	Tyrosine recombinase XerD
wAmi_00016	CDS	171				hypothetical protein
wAmi_00017	CDS	162				hypothetical protein
wAmi_00018	CDS	1089	prfB		COG1186	Peptide chain release factor RF2
wAmi_00019	CDS	1371			COG2239	Magnesium transporter MgtE
wAmi_00020	CDS	126				hypothetical protein
wAmi_00021	CDS	594				hypothetical protein
wAmi_00022	CDS	1797	lepA	3.6.5.-	COG0481	Elongation factor 4
wAmi_00023	CDS	1041				hypothetical protein
wAmi_00024	CDS	822				hypothetical protein
wAmi_00025	CDS	1323	gltX1_1	6.1.1.17	COG0008	Glutamate--tRNA ligase 1
wAmi_00026	CDS	324				hypothetical protein
wAmi_00027	CDS	759	pstB	7.3.2.1		Phosphate import ATP-binding protein PstB
wAmi_00028	CDS	786	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
wAmi_00029	CDS	1521	purH		COG0138	Bifunctional purine biosynthesis protein PurH
wAmi_00030	CDS	885				hypothetical protein
wAmi_00031	CDS	3075	mdtC			Multidrug resistance protein MdtC
wAmi_00032	CDS	1608	nusA		COG0195	Transcription termination/antitermination protein NusA
wAmi_00033	CDS	2307	infB			Translation initiation factor IF-2
wAmi_00034	CDS	432	rbfA			Ribosome-binding factor A
wAmi_00035	CDS	858	ubiA	2.5.1.39	COG0382	4-hydroxybenzoate octaprenyltransferase
wAmi_00036	CDS	1344	algC	5.4.2.2	COG1109	Phosphomannomutase/phosphoglucomutase
wAmi_00037	CDS	915	ftsY		COG0552	Signal recognition particle receptor FtsY
wAmi_00038	CDS	789				hypothetical protein
wAmi_00039	CDS	1359				hypothetical protein
wAmi_00040	CDS	432				hypothetical protein
wAmi_00041	CDS	387				hypothetical protein
wAmi_00042	CDS	1071	recF		COG1195	DNA replication and repair protein RecF
wAmi_00043	CDS	1218	cshA	3.6.4.13	COG0513	DEAD-box ATP-dependent RNA helicase CshA
wAmi_00044	CDS	273				hypothetical protein
wAmi_00045	CDS	1335	pmbA	3.4.-.-	COG0312	Metalloprotease PmbA
wAmi_00046	CDS	864	atpG		COG0224	ATP synthase gamma chain
wAmi_00047	CDS	894				hypothetical protein
wAmi_00048	CDS	258				hypothetical protein
wAmi_00049	CDS	585	nfuA			Fe/S biogenesis protein NfuA
wAmi_00050	CDS	1236	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
wAmi_00051	CDS	1389	lpd	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
wAmi_00052	CDS	519				hypothetical protein
wAmi_00053	CDS	1059	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
wAmi_00054	CDS	555	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
wAmi_00055	CDS	609	rplY			50S ribosomal protein L25
wAmi_00056	CDS	1158	ubiL	1.14.13.-	COG0654	Ubiquinone hydroxylase UbiL
wAmi_00057	CDS	1041	asd2	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase 2
wAmi_00058	CDS	354				hypothetical protein
wAmi_00059	CDS	2658				hypothetical protein
wAmi_00060	CDS	1914				hypothetical protein
wAmi_00061	CDS	489				hypothetical protein
wAmi_00062	CDS	999				hypothetical protein
wAmi_00063	CDS	456				hypothetical protein
wAmi_00064	CDS	315				hypothetical protein
wAmi_00065	CDS	1479	mrpD		COG0651	Na(+)/H(+) antiporter subunit D
wAmi_00066	CDS	549				hypothetical protein
wAmi_00067	CDS	927	glpX	3.1.3.11	COG1494	Fructose-1,6-bisphosphatase class 2
wAmi_00068	CDS	1281	proP_1			Proline/betaine transporter
wAmi_00069	CDS	156				hypothetical protein
wAmi_00070	CDS	1383	dnaA_1			Chromosomal replication initiator protein DnaA
wAmi_00071	CDS	1254	cca	2.7.7.72		CCA-adding enzyme
wAmi_00072	CDS	1428	icd	1.1.1.42	COG0473	Isocitrate dehydrogenase [NADP]
wAmi_00073	CDS	870	rssB			Regulator of RpoS
wAmi_00074	CDS	972	gpsA	1.1.1.94	COG0240	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
wAmi_00075	CDS	1770		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
wAmi_00076	CDS	486	pgpA	3.1.3.27	COG1267	Phosphatidylglycerophosphatase A
wAmi_00077	CDS	780				hypothetical protein
wAmi_00078	CDS	1137				hypothetical protein
wAmi_00079	CDS	789	sdhB	1.3.5.1	COG0479	Succinate dehydrogenase iron-sulfur subunit
wAmi_00080	CDS	711	bamD		COG4105	Outer membrane protein assembly factor BamD
wAmi_00081	CDS	528	yyaP		COG0262	putative protein YyaP
wAmi_00082	CDS	951				hypothetical protein
wAmi_00083	CDS	1236	mtaB	2.8.4.5	COG0621	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB
wAmi_00084	CDS	912				hypothetical protein
wAmi_00085	CDS	1329	tme	1.1.1.40	COG0280	NADP-dependent malic enzyme
wAmi_00086	CDS	543	pgsA	2.7.8.5	COG0558	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
wAmi_00087	CDS	948				hypothetical protein
wAmi_00088	CDS	537				hypothetical protein
wAmi_00089	CDS	1719	kefC		COG0475	Glutathione-regulated potassium-efflux system protein KefC
wAmi_00090	CDS	573				hypothetical protein
wAmi_00091	CDS	630	tmk	2.7.4.9	COG0125	Thymidylate kinase
wAmi_00092	CDS	885				hypothetical protein
wAmi_00093	CDS	894				hypothetical protein
wAmi_00094	CDS	1599				hypothetical protein
wAmi_00095	CDS	513				hypothetical protein
wAmi_00096	CDS	501				hypothetical protein
wAmi_00097	CDS	780	xthA	3.1.11.2	COG0708	Exodeoxyribonuclease III
wAmi_00098	CDS	708				hypothetical protein
wAmi_00099	CDS	2157				hypothetical protein
wAmi_00100	CDS	993			COG0630	Type IV secretion system protein VirB11
wAmi_00101	CDS	1527				hypothetical protein
wAmi_00102	CDS	810	virB9		COG3504	Type IV secretion system protein virB9
wAmi_00103	CDS	684	ptlE		COG3736	Type IV secretion system protein PtlE
wAmi_00104	CDS	1098	ribBA	3.5.4.25		Riboflavin biosynthesis protein RibBA
wAmi_00105	tRNA	88				tRNA-Leu(gag)
wAmi_00106	CDS	1275				hypothetical protein
wAmi_00107	CDS	618	ccmA	7.6.2.5	COG4133	Cytochrome c biogenesis ATP-binding export protein CcmA
wAmi_00108	CDS	438				hypothetical protein
wAmi_00109	CDS	1857	aspS	6.1.1.12		Aspartate--tRNA ligase
wAmi_00110	CDS	321				hypothetical protein
wAmi_00111	CDS	609				hypothetical protein
wAmi_00112	CDS	1131	mnmA	2.8.1.13	COG0482	tRNA-specific 2-thiouridylase MnmA
wAmi_00113	CDS	720				hypothetical protein
wAmi_00114	CDS	996	gapB	1.2.1.59	COG0057	Glyceraldehyde-3-phosphate dehydrogenase 2
