locus_tag	ftype	length_bp	gene	EC_number	COG	product
wVitB_00001	CDS	633				hypothetical protein
wVitB_00002	CDS	738				hypothetical protein
wVitB_00003	CDS	1383	dnaA_1			Chromosomal replication initiator protein DnaA
wVitB_00004	CDS	876	secF			Protein translocase subunit SecF
wVitB_00005	CDS	525				hypothetical protein
wVitB_00006	CDS	1710	yidC			Membrane protein insertase YidC
wVitB_00007	CDS	429	ribH1	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase 1
wVitB_00008	CDS	483	nusB			Transcription antitermination protein NusB
wVitB_00009	CDS	195				hypothetical protein
wVitB_00010	CDS	462	dut	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
wVitB_00011	CDS	294				hypothetical protein
wVitB_00012	CDS	531				hypothetical protein
wVitB_00013	CDS	456				hypothetical protein
wVitB_00014	CDS	390				hypothetical protein
wVitB_00015	CDS	735				hypothetical protein
wVitB_00016	CDS	375	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
wVitB_00017	CDS	1260	proS	6.1.1.15	COG0442	Proline--tRNA ligase
wVitB_00018	CDS	1248				hypothetical protein
wVitB_00019	CDS	234				hypothetical protein
wVitB_00020	CDS	798	ygfZ			tRNA-modifying protein YgfZ
wVitB_00021	CDS	291	groS1		COG0234	10 kDa chaperonin 1
wVitB_00022	CDS	1650	groL5			60 kDa chaperonin 5
wVitB_00023	CDS	504				hypothetical protein
wVitB_00024	CDS	1422	alsT_1		COG1115	Amino-acid carrier protein AlsT
wVitB_00025	CDS	579				hypothetical protein
wVitB_00026	CDS	591	yhdE	3.6.1.9	COG0424	dTTP/UTP pyrophosphatase
wVitB_00027	CDS	264	infA			Translation initiation factor IF-1
wVitB_00028	CDS	1047				hypothetical protein
wVitB_00029	CDS	1122				hypothetical protein
wVitB_00030	CDS	1278	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
wVitB_00031	CDS	1533				hypothetical protein
wVitB_00032	CDS	939	argB	2.7.2.8	COG0548	Acetylglutamate kinase
wVitB_00033	CDS	594	engB			GTP-binding protein EngB
wVitB_00034	CDS	1092	prfA		COG0216	Peptide chain release factor 1
wVitB_00035	CDS	444				hypothetical protein
wVitB_00036	CDS	930				hypothetical protein
wVitB_00037	CDS	1014	murC_1	6.3.2.8		UDP-N-acetylmuramate--L-alanine ligase
wVitB_00038	CDS	627	rlpA	4.2.2.-		Endolytic peptidoglycan transglycosylase RlpA
wVitB_00039	CDS	390				hypothetical protein
wVitB_00040	CDS	1158	ubiL	1.14.13.-	COG0654	Ubiquinone hydroxylase UbiL
wVitB_00041	CDS	939				hypothetical protein
wVitB_00042	tRNA	74				tRNA-Phe(gaa)
wVitB_00043	CDS	507	coaD	2.7.7.3		Phosphopantetheine adenylyltransferase
wVitB_00044	CDS	102				hypothetical protein
wVitB_00045	CDS	210				hypothetical protein
wVitB_00046	CDS	627				hypothetical protein
wVitB_00047	CDS	696	ispU	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
wVitB_00048	CDS	1173	sucB	2.3.1.61	COG0508	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
wVitB_00049	tRNA	75				tRNA-Arg(cct)
wVitB_00050	CDS	738	fbpC2	7.2.2.7	COG3842	Fe(3+) ions import ATP-binding protein FbpC 2
wVitB_00051	CDS	168	tatA			Sec-independent protein translocase protein TatA
wVitB_00052	CDS	165				hypothetical protein
wVitB_00053	CDS	384				hypothetical protein
wVitB_00054	CDS	171				hypothetical protein
wVitB_00055	CDS	291				hypothetical protein
wVitB_00056	CDS	1323	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
wVitB_00057	CDS	432				hypothetical protein
wVitB_00058	CDS	2775				hypothetical protein
wVitB_00059	CDS	438	rnhA	3.1.26.4	COG0328	Ribonuclease HI
wVitB_00060	CDS	888	ctaB	2.5.1.141	COG0109	Protoheme IX farnesyltransferase
wVitB_00061	CDS	1551	ctaD	1.9.3.1	COG0843	Cytochrome c oxidase subunit 1
wVitB_00062	CDS	765	ctaC	1.9.3.1	COG1622	Cytochrome c oxidase subunit 2
wVitB_00063	CDS	1512	prsE			Type I secretion system membrane fusion protein PrsE
wVitB_00064	CDS	429				hypothetical protein
wVitB_00065	CDS	981	acoA	1.1.1.-	COG1071	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha
wVitB_00066	CDS	1431	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
wVitB_00067	CDS	837	xerD_1		COG4974	Tyrosine recombinase XerD
wVitB_00068	CDS	1380	lpd3	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase 3
wVitB_00069	CDS	1110	bamB		COG1520	Outer membrane protein assembly factor BamB
wVitB_00070	CDS	177				hypothetical protein
wVitB_00071	CDS	240				hypothetical protein
wVitB_00072	CDS	996				hypothetical protein
wVitB_00073	CDS	126				hypothetical protein
wVitB_00074	CDS	1314	valS	6.1.1.9	COG0525	Valine--tRNA ligase
wVitB_00075	CDS	531				hypothetical protein
wVitB_00076	CDS	501				hypothetical protein
wVitB_00077	CDS	681	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
wVitB_00078	CDS	795	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
wVitB_00079	CDS	759	pstB	7.3.2.1		Phosphate import ATP-binding protein PstB
wVitB_00080	CDS	894				hypothetical protein
wVitB_00081	CDS	1176	dxr	1.1.1.267		1-deoxy-D-xylulose 5-phosphate reductoisomerase
wVitB_00082	CDS	495				hypothetical protein
wVitB_00083	CDS	1530	metG	6.1.1.10		Methionine--tRNA ligase
wVitB_00084	CDS	1344				hypothetical protein
wVitB_00085	CDS	396	coaE	2.7.1.24		Dephospho-CoA kinase
wVitB_00086	CDS	1179	rnd_1	3.1.13.5	COG0349	Ribonuclease D
wVitB_00087	CDS	1320	pyrC	3.5.2.3	COG0044	Dihydroorotase
wVitB_00088	CDS	141				hypothetical protein
wVitB_00089	CDS	618				hypothetical protein
wVitB_00090	tRNA	84				tRNA-Leu(caa)
wVitB_00091	CDS	1443	dnaB	3.6.4.12	COG0305	Replicative DNA helicase
wVitB_00092	CDS	723	znuA		COG4531	High-affinity zinc uptake system protein ZnuA
wVitB_00093	CDS	732	znuC	7.2.2.-	COG1121	Zinc import ATP-binding protein ZnuC
wVitB_00094	CDS	1422	ubiB	2.7.-.-	COG0661	putative protein kinase UbiB
wVitB_00095	CDS	888				hypothetical protein
wVitB_00096	CDS	948	trxB	1.8.1.9	COG0492	Thioredoxin reductase
wVitB_00097	CDS	600	ahpC	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
wVitB_00098	CDS	759	tatC		COG0805	Sec-independent protein translocase protein TatC
wVitB_00099	CDS	972	gapB	1.2.1.59	COG0057	Glyceraldehyde-3-phosphate dehydrogenase 2
wVitB_00100	CDS	237				hypothetical protein
wVitB_00101	CDS	297				hypothetical protein
wVitB_00102	CDS	1227	cca	2.7.7.72		CCA-adding enzyme
wVitB_00103	CDS	1830	typA		COG1217	GTP-binding protein TypA/BipA
wVitB_00104	CDS	1350	gltX1	6.1.1.17	COG0008	Glutamate--tRNA ligase 1
wVitB_00105	CDS	228				hypothetical protein
wVitB_00106	CDS	1029				hypothetical protein
wVitB_00107	CDS	183				hypothetical protein
wVitB_00108	CDS	810	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
wVitB_00109	CDS	303				hypothetical protein
wVitB_00110	CDS	867	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
wVitB_00111	CDS	765	recB	3.1.11.5		RecBCD enzyme subunit RecB
wVitB_00112	CDS	2511	addA	3.1.-.-	COG1074	ATP-dependent helicase/nuclease subunit A
wVitB_00113	CDS	447				hypothetical protein
