locus_tag	ftype	length_bp	gene	EC_number	COG	product
wOo_00001	CDS	141				hypothetical protein
wOo_00002	CDS	1389	lpd3	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase 3
wOo_00003	CDS	1110	bamB		COG1520	Outer membrane protein assembly factor BamB
wOo_00004	CDS	237	pdxJ_1	2.6.99.2		Pyridoxine 5'-phosphate synthase
wOo_00005	CDS	414	pdxJ_2	2.6.99.2		Pyridoxine 5'-phosphate synthase
wOo_00006	CDS	312				hypothetical protein
wOo_00007	CDS	447	rpsI		COG0103	30S ribosomal protein S9
wOo_00008	CDS	486	rplM		COG0102	50S ribosomal protein L13
wOo_00009	CDS	1212	bepC			Outer membrane efflux protein BepC
wOo_00010	CDS	594	rlmE	2.1.1.166	COG0293	Ribosomal RNA large subunit methyltransferase E
wOo_00011	CDS	648				hypothetical protein
wOo_00012	CDS	384	dksA		COG1734	RNA polymerase-binding transcription factor DksA
wOo_00013	CDS	591	gmk	2.7.4.8	COG0194	Guanylate kinase
wOo_00014	CDS	1611				hypothetical protein
wOo_00015	CDS	1155				hypothetical protein
wOo_00016	CDS	201				hypothetical protein
wOo_00017	CDS	198				hypothetical protein
wOo_00018	tRNA	93				tRNA-Ser(gct)
wOo_00019	CDS	507	ppa	3.6.1.1	COG0221	Inorganic pyrophosphatase
wOo_00020	CDS	381	coq7	1.14.99.60	COG2941	3-demethoxyubiquinol 3-hydroxylase
wOo_00021	CDS	1380				hypothetical protein
wOo_00022	CDS	216				hypothetical protein
wOo_00023	CDS	1200	rnd_1	3.1.13.5	COG0349	Ribonuclease D
wOo_00024	tRNA	75				tRNA-Asn(gtt)
wOo_00025	CDS	1026	nuoH	7.1.1.-	COG1005	NADH-quinone oxidoreductase subunit H
wOo_00026	CDS	2052	nqo3	7.1.1.-	COG1034	NADH-quinone oxidoreductase chain 3
wOo_00027	CDS	213				hypothetical protein
wOo_00028	CDS	189				hypothetical protein
wOo_00029	CDS	1494	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
wOo_00030	CDS	786				hypothetical protein
wOo_00031	CDS	537	def	3.5.1.88		Peptide deformylase
wOo_00032	CDS	1239	ftsA		COG0849	Cell division protein FtsA
wOo_00033	CDS	1326	der			GTPase Der
wOo_00034	CDS	489	dsbB			Disulfide bond formation protein B
wOo_00035	CDS	612				hypothetical protein
wOo_00036	CDS	2541	leuS	6.1.1.4		Leucine--tRNA ligase
wOo_00037	CDS	108				hypothetical protein
wOo_00038	CDS	123				hypothetical protein
wOo_00039	tRNA	74				tRNA-Thr(tgt)
wOo_00040	CDS	726	atpB		COG0356	ATP synthase subunit a
wOo_00041	CDS	228	atpH_1			ATP synthase subunit c
wOo_00042	CDS	480	atpF			ATP synthase subunit b
wOo_00043	CDS	477				hypothetical protein
wOo_00044	CDS	1221	ctaA	1.3.-.-		Heme A synthase
wOo_00045	CDS	2283	carB_1			Carbamoyl-phosphate synthase large chain
wOo_00046	CDS	1365	gltX1	6.1.1.17		Glutamate--tRNA ligase 1
wOo_00047	CDS	1044				hypothetical protein
wOo_00048	CDS	375				hypothetical protein
wOo_00049	CDS	285				hypothetical protein
wOo_00050	CDS	831	dapD	2.3.1.117		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
wOo_00051	CDS	1101	mrdB	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase MrdB
wOo_00052	CDS	1476	mrpD		COG0651	Na(+)/H(+) antiporter subunit D
wOo_00053	CDS	318				hypothetical protein
wOo_00054	tRNA	77				tRNA-Arg(cct)
wOo_00055	CDS	726	fbpC	7.2.2.7		Fe(3+) ions import ATP-binding protein FbpC
wOo_00056	CDS	168	tatA			Sec-independent protein translocase protein TatA
wOo_00057	CDS	657				hypothetical protein
wOo_00058	CDS	1374	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
wOo_00059	CDS	417				hypothetical protein
wOo_00060	CDS	126				hypothetical protein
wOo_00061	CDS	159				hypothetical protein
wOo_00062	CDS	1197	pgk/tpi		COG0126	Bifunctional PGK/TIM
wOo_00063	CDS	1020		1.18.1.2	COG0492	Ferredoxin--NADP reductase
wOo_00064	CDS	177				hypothetical protein
wOo_00065	CDS	645	tal	2.2.1.2	COG0176	Transaldolase
wOo_00066	CDS	333	atpC			ATP synthase epsilon chain
wOo_00067	CDS	1443	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
wOo_00068	CDS	1092				hypothetical protein
wOo_00069	CDS	264	rnpA	3.1.26.5		Ribonuclease P protein component
wOo_00070	CDS	264				hypothetical protein
wOo_00071	rRNA	91				5S ribosomal RNA (partial)
wOo_00072	rRNA	2774				23S ribosomal RNA
wOo_00073	CDS	1074				hypothetical protein
wOo_00074	CDS	1812	nrdZ	1.17.4.1		Vitamin B12-dependent ribonucleoside-diphosphate reductase
wOo_00075	CDS	468	yrrK	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
wOo_00076	CDS	1653	uvrC		COG0322	UvrABC system protein C
wOo_00077	CDS	264				hypothetical protein
wOo_00078	CDS	1800	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
wOo_00079	CDS	840	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
wOo_00080	CDS	747				hypothetical protein
wOo_00081	CDS	2514	mutS		COG0249	DNA mismatch repair protein MutS
wOo_00082	CDS	141				hypothetical protein
wOo_00083	CDS	696				hypothetical protein
wOo_00084	CDS	630	pyrK			Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit
wOo_00085	tRNA	90				tRNA-Ser(gga)
wOo_00086	CDS	2373	gyrB	5.6.2.2		DNA gyrase subunit B
