locus_tag	ftype	length_bp	gene	EC_number	COG	product
wCon_00001	CDS	243				IS630 family transposase ISWpi11
wCon_00002	CDS	225				IS630 family transposase ISWpi11
wCon_00003	CDS	171				hypothetical protein
wCon_00004	CDS	144				hypothetical protein
wCon_00005	CDS	216				hypothetical protein
wCon_00006	CDS	1197	dapE_1	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
wCon_00007	CDS	1329				hypothetical protein
wCon_00008	tRNA	73				tRNA-Met(cat)
wCon_00009	CDS	525	rplI_1		COG0359	50S ribosomal protein L9
wCon_00010	CDS	279				hypothetical protein
wCon_00011	CDS	774				hypothetical protein
wCon_00012	CDS	3423	dnaE1_1	2.7.7.7		DNA polymerase III subunit alpha
wCon_00013	CDS	921				hypothetical protein
wCon_00014	CDS	1299	folC_1	6.3.2.12	COG0285	Dihydrofolate synthase/folylpolyglutamate synthase
wCon_00015	CDS	585				hypothetical protein
wCon_00016	CDS	309				hypothetical protein
wCon_00017	CDS	732				hypothetical protein
wCon_00018	CDS	279				hypothetical protein
wCon_00019	CDS	648	trmR_1	2.1.1.-		tRNA 5-hydroxyuridine methyltransferase
wCon_00020	CDS	654	fzlA_1			FtsZ-localized protein A
wCon_00021	CDS	999	dnaX_1	2.7.7.7	COG2812	DNA polymerase III subunit tau
wCon_00022	CDS	504				hypothetical protein
wCon_00023	CDS	333	ybaB_1		COG0718	Nucleoid-associated protein YbaB
wCon_00024	CDS	717				hypothetical protein
wCon_00025	CDS	894	rpoH_1		COG0568	RNA polymerase sigma factor RpoH
wCon_00026	CDS	498				hypothetical protein
wCon_00027	CDS	1152	dnaN_1			Beta sliding clamp
wCon_00028	CDS	738	truA_1	5.4.99.12	COG0101	tRNA pseudouridine synthase A
wCon_00029	CDS	1068	recA_1			Protein RecA
wCon_00030	CDS	948				IS110 family transposase ISWpi12
wCon_00031	CDS	453				hypothetical protein
wCon_00032	CDS	1203				hypothetical protein
wCon_00033	CDS	990	ruvB_1	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
wCon_00034	CDS	573	ruvA_1	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
wCon_00035	CDS	525				hypothetical protein
wCon_00036	CDS	756	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
wCon_00037	CDS	1914	pcrA_1	3.6.4.12		ATP-dependent DNA helicase PcrA
wCon_00038	CDS	429				hypothetical protein
wCon_00039	CDS	744				hypothetical protein
wCon_00040	CDS	588	nuoJ_1	7.1.1.-	COG0839	NADH-quinone oxidoreductase subunit J
wCon_00041	CDS	309	nuoK_1	7.1.1.-	COG0713	NADH-quinone oxidoreductase subunit K
wCon_00042	CDS	1029	nuoL_1	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
wCon_00043	CDS	720	nuoL_2	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
wCon_00044	CDS	1443	nuoM_1	7.1.1.-	COG1008	NADH-quinone oxidoreductase subunit M
wCon_00045	CDS	1365	nuoN_1	7.1.1.-	COG1007	NADH-quinone oxidoreductase subunit N
wCon_00046	CDS	783	birA_1	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
wCon_00047	CDS	138				hypothetical protein
wCon_00048	CDS	393	ccmE_1		COG2332	Cytochrome c-type biogenesis protein CcmE
wCon_00049	CDS	444				hypothetical protein
wCon_00050	CDS	1521				hypothetical protein
wCon_00051	tRNA	76				tRNA-Ala(tgc)
wCon_00052	tRNA	74				tRNA-Lys(ttt)
wCon_00053	CDS	1254	nuoF_1	7.1.1.-		NADH-quinone oxidoreductase subunit F
wCon_00054	CDS	519	infC_1			Translation initiation factor IF-3
wCon_00055	CDS	1902	thrS_1	6.1.1.3	COG0441	Threonine--tRNA ligase
wCon_00056	CDS	483	nuoI_1	7.1.1.-	COG1143	NADH-quinone oxidoreductase subunit I
wCon_00057	CDS	1536	mnmE_1	3.6.-.-		tRNA modification GTPase MnmE
wCon_00058	tRNA	86				tRNA-Ser(tga)
wCon_00059	CDS	1005		1.18.1.2	COG0492	Ferredoxin--NADP reductase
wCon_00060	CDS	93				hypothetical protein
wCon_00061	CDS	501				hypothetical protein
wCon_00062	CDS	432				hypothetical protein
wCon_00063	CDS	231				IS110 family transposase ISWpi13
wCon_00064	CDS	285				IS110 family transposase ISWpi13
wCon_00065	CDS	1239				IS256 family transposase ISWpi15
wCon_00066	CDS	204				hypothetical protein
wCon_00067	CDS	372				hypothetical protein
wCon_00068	CDS	243				IS630 family transposase ISWpi11
wCon_00069	CDS	225				IS630 family transposase ISWpi11
wCon_00070	CDS	276				hypothetical protein
wCon_00071	CDS	243				IS630 family transposase ISWpi11
wCon_00072	CDS	225				IS630 family transposase ISWpi11
wCon_00073	CDS	243				IS630 family transposase ISWpi11
wCon_00074	CDS	225				IS630 family transposase ISWpi11
wCon_00075	CDS	1239				IS256 family transposase ISWpi15
wCon_00076	CDS	312				IS481 family transposase ISWpi2
wCon_00077	CDS	141				hypothetical protein
wCon_00078	CDS	195				hypothetical protein
wCon_00079	CDS	132				hypothetical protein
wCon_00080	CDS	222				hypothetical protein
wCon_00081	CDS	1230				hypothetical protein
wCon_00082	CDS	312				IS481 family transposase ISWpi2
wCon_00083	CDS	141				hypothetical protein
wCon_00084	CDS	195				hypothetical protein
wCon_00085	CDS	132				hypothetical protein
wCon_00086	CDS	243				IS630 family transposase ISWpi11
wCon_00087	CDS	225				IS630 family transposase ISWpi11
wCon_00088	CDS	141				hypothetical protein
wCon_00089	CDS	195				hypothetical protein
wCon_00090	CDS	132				hypothetical protein
wCon_00091	CDS	141				hypothetical protein
wCon_00092	CDS	195				hypothetical protein
wCon_00093	CDS	132				hypothetical protein
wCon_00094	CDS	1020				IS110 family transposase ISMex9
wCon_00095	CDS	1239				IS256 family transposase ISWpi15
wCon_00096	CDS	183				hypothetical protein
wCon_00097	CDS	420				hypothetical protein
wCon_00098	CDS	891				hypothetical protein
wCon_00099	CDS	300	mutL_1			DNA mismatch repair protein MutL
wCon_00100	CDS	447	mutL_2			DNA mismatch repair protein MutL
wCon_00101	CDS	129				hypothetical protein
wCon_00102	CDS	96				hypothetical protein
wCon_00103	CDS	174	mutL_3			DNA mismatch repair protein MutL
wCon_00104	CDS	579				hypothetical protein
wCon_00105	CDS	1356				hypothetical protein
wCon_00106	CDS	2199				hypothetical protein
wCon_00107	CDS	273				hypothetical protein
wCon_00108	CDS	201				hypothetical protein
wCon_00109	CDS	1968				hypothetical protein
wCon_00110	CDS	399				hypothetical protein
wCon_00111	CDS	858				IS256 family transposase ISWpi15
wCon_00112	CDS	393				IS256 family transposase ISWpi15
wCon_00113	CDS	1968				hypothetical protein
wCon_00114	CDS	201				hypothetical protein
wCon_00115	CDS	273				hypothetical protein
wCon_00116	CDS	2199				hypothetical protein
wCon_00117	CDS	1356				hypothetical protein
wCon_00118	CDS	939				IS110 family transposase ISGme8
wCon_00119	CDS	525	yrdA		COG0663	Protein YrdA
wCon_00120	CDS	993				hypothetical protein
wCon_00121	CDS	720				hypothetical protein
wCon_00122	CDS	261				hypothetical protein
wCon_00123	CDS	162				hypothetical protein
wCon_00124	CDS	438				IS110 family transposase ISWpi13
wCon_00125	CDS	264				hypothetical protein
wCon_00126	CDS	510				IS110 family transposase ISWen2
wCon_00127	CDS	303				IS110 family transposase ISWen2
wCon_00128	CDS	207				IS110 family transposase ISWen2
wCon_00129	CDS	366			COG3039	IS5 family transposase ISCaa9
wCon_00130	CDS	246				hypothetical protein
wCon_00131	CDS	510				IS110 family transposase ISWen2
wCon_00132	CDS	303				IS110 family transposase ISWen2
wCon_00133	CDS	207				IS110 family transposase ISWen2
wCon_00134	CDS	450				hypothetical protein
wCon_00135	CDS	510				IS110 family transposase ISWen2
wCon_00136	CDS	303				IS110 family transposase ISWen2
wCon_00137	CDS	207				IS110 family transposase ISWen2
wCon_00138	CDS	510				IS110 family transposase ISWen2
wCon_00139	CDS	303				IS110 family transposase ISWen2
wCon_00140	CDS	207				IS110 family transposase ISWen2
wCon_00141	CDS	276				hypothetical protein
wCon_00142	CDS	120				hypothetical protein
wCon_00143	CDS	903				hypothetical protein
wCon_00144	CDS	1650				hypothetical protein
wCon_00145	CDS	1020				IS110 family transposase ISMex9
wCon_00146	CDS	366			COG3039	IS5 family transposase ISCaa9
wCon_00147	CDS	183				hypothetical protein
wCon_00148	CDS	225				hypothetical protein
wCon_00149	CDS	120				hypothetical protein
wCon_00150	CDS	339				hypothetical protein
wCon_00151	CDS	339				hypothetical protein
wCon_00152	CDS	339				hypothetical protein
wCon_00153	CDS	1020				IS110 family transposase ISMex9
wCon_00154	CDS	435				IS110 family transposase ISCps7
wCon_00155	CDS	948				IS110 family transposase ISWpi12
wCon_00156	CDS	948				IS110 family transposase ISWpi12
wCon_00157	CDS	267				hypothetical protein
wCon_00158	CDS	159				hypothetical protein
wCon_00159	CDS	153				hypothetical protein
wCon_00160	CDS	231				hypothetical protein
wCon_00161	CDS	948				IS110 family transposase ISWpi12
wCon_00162	CDS	243				IS630 family transposase ISWpi11
wCon_00163	CDS	225				IS630 family transposase ISWpi11
wCon_00164	CDS	159				hypothetical protein
wCon_00165	CDS	1014				hypothetical protein
wCon_00166	CDS	267				hypothetical protein
wCon_00167	CDS	225				IS630 family transposase ISWpi11
wCon_00168	CDS	243				IS630 family transposase ISWpi11
wCon_00169	CDS	243				hypothetical protein
wCon_00170	CDS	483				hypothetical protein
wCon_00171	CDS	381				hypothetical protein
wCon_00172	CDS	369				hypothetical protein
wCon_00173	CDS	243				hypothetical protein
wCon_00174	CDS	483				hypothetical protein
wCon_00175	CDS	243				hypothetical protein
wCon_00176	CDS	483				hypothetical protein
wCon_00177	CDS	870				IS256 family transposase ISWpi15
wCon_00178	CDS	207				hypothetical protein
wCon_00179	CDS	243				hypothetical protein
wCon_00180	CDS	483				hypothetical protein
wCon_00181	CDS	261				hypothetical protein
wCon_00182	CDS	312				IS481 family transposase ISWpi2
wCon_00183	CDS	141				hypothetical protein
wCon_00184	CDS	195				hypothetical protein
wCon_00185	CDS	132				hypothetical protein
wCon_00186	CDS	132				hypothetical protein
wCon_00187	CDS	195				hypothetical protein
wCon_00188	CDS	141				hypothetical protein
wCon_00189	CDS	312				IS481 family transposase ISWpi2
wCon_00190	CDS	282				hypothetical protein
wCon_00191	CDS	201				hypothetical protein
wCon_00192	CDS	240				hypothetical protein
wCon_00193	CDS	180				hypothetical protein
wCon_00194	CDS	1473				hypothetical protein
wCon_00195	CDS	201				hypothetical protein
wCon_00196	CDS	303				hypothetical protein
wCon_00197	CDS	564				hypothetical protein
wCon_00198	CDS	384				hypothetical protein
wCon_00199	CDS	1680				hypothetical protein
wCon_00200	CDS	858				hypothetical protein
wCon_00201	CDS	339				hypothetical protein
wCon_00202	CDS	210				hypothetical protein
wCon_00203	CDS	966				hypothetical protein
wCon_00204	CDS	543				hypothetical protein
wCon_00205	CDS	207				hypothetical protein
wCon_00206	CDS	300	pld_1	3.1.4.4		Phospholipase D
wCon_00207	CDS	384				hypothetical protein
wCon_00208	CDS	564				hypothetical protein
wCon_00209	CDS	303				hypothetical protein
wCon_00210	CDS	201				hypothetical protein
wCon_00211	CDS	153				hypothetical protein
wCon_00212	CDS	312			COG3039	IS5 family transposase ISCaa6
wCon_00213	CDS	183				hypothetical protein
wCon_00214	CDS	1239				IS256 family transposase ISWpi15
wCon_00215	CDS	183				hypothetical protein
wCon_00216	CDS	183				hypothetical protein
wCon_00217	CDS	312			COG3039	IS5 family transposase ISCaa6
wCon_00218	CDS	153				hypothetical protein
wCon_00219	CDS	432				hypothetical protein
wCon_00220	CDS	501				hypothetical protein
wCon_00221	CDS	1077				hypothetical protein
wCon_00222	CDS	369	fdxA		COG1146	Ferredoxin 1
wCon_00223	CDS	1029	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
wCon_00224	CDS	723	ftsQ			Cell division protein FtsQ
wCon_00225	CDS	501				hypothetical protein
wCon_00226	CDS	432				hypothetical protein
wCon_00227	CDS	939				IS110 family transposase ISGme8
wCon_00228	CDS	171				hypothetical protein
wCon_00229	CDS	432				hypothetical protein
wCon_00230	CDS	501				hypothetical protein
wCon_00231	CDS	939				IS110 family transposase ISGme8
wCon_00232	CDS	423				hypothetical protein
wCon_00233	CDS	939				IS110 family transposase ISGme8
wCon_00234	CDS	2628				hypothetical protein
wCon_00235	CDS	675				hypothetical protein
wCon_00236	CDS	291	gpFI_1			Putative prophage major tail sheath protein
wCon_00237	CDS	507				hypothetical protein
wCon_00238	CDS	255				hypothetical protein
wCon_00239	CDS	267				hypothetical protein
wCon_00240	CDS	2049				hypothetical protein
wCon_00241	CDS	336				hypothetical protein
wCon_00242	CDS	210				hypothetical protein
wCon_00243	CDS	936				hypothetical protein
wCon_00244	CDS	522				hypothetical protein
wCon_00245	CDS	234				hypothetical protein
wCon_00246	CDS	921				hypothetical protein
wCon_00247	CDS	141				hypothetical protein
wCon_00248	CDS	144				hypothetical protein
wCon_00249	CDS	225				IS630 family transposase ISWpi11
wCon_00250	CDS	243				IS630 family transposase ISWpi11
wCon_00251	CDS	588				hypothetical protein
wCon_00252	CDS	852				hypothetical protein
wCon_00253	CDS	213				hypothetical protein
wCon_00254	CDS	267				hypothetical protein
wCon_00255	CDS	423				hypothetical protein
wCon_00256	CDS	147				hypothetical protein
wCon_00257	CDS	510				IS110 family transposase ISWen2
wCon_00258	CDS	303				IS110 family transposase ISWen2
wCon_00259	CDS	207				IS110 family transposase ISWen2
wCon_00260	CDS	123				hypothetical protein
wCon_00261	CDS	177				hypothetical protein
wCon_00262	CDS	153				hypothetical protein
wCon_00263	CDS	1065			COG3385	IS4 family transposase ISWosp7
wCon_00264	CDS	261				hypothetical protein
wCon_00265	CDS	483				hypothetical protein
wCon_00266	CDS	243				hypothetical protein
wCon_00267	CDS	267				hypothetical protein
wCon_00268	CDS	189				hypothetical protein
wCon_00269	CDS	333				IS256 family transposase ISWpi15
wCon_00270	CDS	207				IS110 family transposase ISWen2
wCon_00271	CDS	303				IS110 family transposase ISWen2
wCon_00272	CDS	510				IS110 family transposase ISWen2
wCon_00273	CDS	1686				hypothetical protein
wCon_00274	CDS	342				hypothetical protein
wCon_00275	CDS	102				hypothetical protein
wCon_00276	CDS	138				hypothetical protein
wCon_00277	CDS	309				hypothetical protein
wCon_00278	CDS	243				IS630 family transposase ISWpi11
wCon_00279	CDS	225				IS630 family transposase ISWpi11
wCon_00280	CDS	300				hypothetical protein
wCon_00281	CDS	222				hypothetical protein
wCon_00282	CDS	243				hypothetical protein
wCon_00283	CDS	483				hypothetical protein
wCon_00284	CDS	333				hypothetical protein
wCon_00285	CDS	99				hypothetical protein
wCon_00286	CDS	225				IS630 family transposase ISWpi11
wCon_00287	CDS	243				IS630 family transposase ISWpi11
wCon_00288	CDS	372				hypothetical protein
wCon_00289	CDS	429				hypothetical protein
wCon_00290	CDS	132				hypothetical protein
wCon_00291	CDS	195				hypothetical protein
wCon_00292	CDS	141				hypothetical protein
wCon_00293	CDS	180				hypothetical protein
wCon_00294	CDS	315				hypothetical protein
wCon_00295	CDS	372				hypothetical protein
wCon_00296	CDS	381				hypothetical protein
wCon_00297	CDS	1263				hypothetical protein
wCon_00298	CDS	948				IS110 family transposase ISWpi12
wCon_00299	CDS	426				hypothetical protein
wCon_00300	CDS	432				hypothetical protein
wCon_00301	CDS	369				hypothetical protein
wCon_00302	CDS	510				IS110 family transposase ISWen2
wCon_00303	CDS	303				IS110 family transposase ISWen2
wCon_00304	CDS	207				IS110 family transposase ISWen2
wCon_00305	CDS	525				hypothetical protein
wCon_00306	CDS	1071				hypothetical protein
wCon_00307	CDS	420				hypothetical protein
wCon_00308	CDS	891				hypothetical protein
wCon_00309	CDS	336				hypothetical protein
wCon_00310	CDS	1560				hypothetical protein
wCon_00311	CDS	288				hypothetical protein
wCon_00312	CDS	129				hypothetical protein
wCon_00313	CDS	246				hypothetical protein
wCon_00314	CDS	249				hypothetical protein
wCon_00315	CDS	366			COG3039	IS5 family transposase ISCaa9
wCon_00316	CDS	1020				IS110 family transposase ISMex9
