locus_tag	ftype	length_bp	gene	EC_number	COG	product
wLug_00001	CDS	495				hypothetical protein
wLug_00002	CDS	2253				hypothetical protein
wLug_00003	CDS	1356				IS66 family transposase ISWen3
wLug_00004	CDS	189				hypothetical protein
wLug_00005	CDS	837	pgdA	3.5.1.104	COG0726	Peptidoglycan-N-acetylglucosamine deacetylase
wLug_00006	CDS	1557	mrdA	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
wLug_00007	CDS	2457	lon	3.4.21.53	COG0466	Lon protease
wLug_00008	CDS	1278	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
wLug_00009	CDS	627	clpP	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
wLug_00010	CDS	1344	tig	5.2.1.8	COG0544	Trigger factor
wLug_00011	tRNA	83				tRNA-Leu(tag)
wLug_00012	CDS	600				hypothetical protein
wLug_00013	CDS	369				hypothetical protein
wLug_00014	CDS	852	prmC	2.1.1.297	COG2890	Release factor glutamine methyltransferase
wLug_00015	CDS	1248	ltrA_1		COG3344	Group II intron-encoded protein LtrA
wLug_00016	CDS	375	rpsL			30S ribosomal protein S12
wLug_00017	CDS	477	rpsG		COG0049	30S ribosomal protein S7
wLug_00018	CDS	2076	fusA		COG0480	Elongation factor G
wLug_00019	CDS	1173	tufA_1		COG0050	Elongation factor Tu
wLug_00020	tRNA	74				tRNA-Trp(cca)
wLug_00021	CDS	837	nusG			Transcription termination/antitermination protein NusG
wLug_00022	CDS	441	rplK		COG0080	50S ribosomal protein L11
wLug_00023	CDS	654	rplA		COG0081	50S ribosomal protein L1
wLug_00024	CDS	519	rplJ		COG0244	50S ribosomal protein L10
wLug_00025	CDS	402	rplL			50S ribosomal protein L7/L12
wLug_00026	CDS	8520	rpoBC	2.7.7.6	COG0085	Bifunctional DNA-directed RNA polymerase subunit beta-beta'
wLug_00027	CDS	987	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
wLug_00028	CDS	1296				hypothetical protein
wLug_00029	CDS	1305	serS	6.1.1.11	COG0172	Serine--tRNA ligase
wLug_00030	CDS	1272	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
wLug_00031	CDS	495				hypothetical protein
wLug_00032	CDS	1419	icd	1.1.1.42	COG0473	Isocitrate dehydrogenase [NADP]
wLug_00033	CDS	507				hypothetical protein
wLug_00034	CDS	666				hypothetical protein
wLug_00035	CDS	639	nth	4.2.99.18	COG0177	Endonuclease III
wLug_00036	CDS	1533	murD	6.3.2.9		UDP-N-acetylmuramoylalanine--D-glutamate ligase
wLug_00037	CDS	591				hypothetical protein
wLug_00038	CDS	1182				hypothetical protein
wLug_00039	CDS	1356				IS66 family transposase ISWen3
wLug_00040	CDS	276				hypothetical protein
wLug_00041	CDS	549	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
wLug_00042	CDS	630				hypothetical protein
wLug_00043	CDS	3249				hypothetical protein
wLug_00044	CDS	2886				hypothetical protein
wLug_00045	CDS	2400				hypothetical protein
wLug_00046	CDS	2574				hypothetical protein
wLug_00047	CDS	2406	virB4_1		COG3451	Type IV secretion system protein virB4
wLug_00048	CDS	294				hypothetical protein
wLug_00049	CDS	1578	lysS	6.1.1.6	COG1384	Lysine--tRNA ligase
wLug_00050	CDS	732				hypothetical protein
wLug_00051	CDS	564	rlmE	2.1.1.166	COG0293	Ribosomal RNA large subunit methyltransferase E
wLug_00052	CDS	546				hypothetical protein
wLug_00053	CDS	1251	bepC			Outer membrane efflux protein BepC
wLug_00054	CDS	459	rplM		COG0102	50S ribosomal protein L13
wLug_00055	CDS	438	rpsI		COG0103	30S ribosomal protein S9
wLug_00056	CDS	312	hup			DNA-binding protein HU
wLug_00057	CDS	708	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
wLug_00058	CDS	456	hspA		COG0071	Spore protein SP21
wLug_00059	CDS	1353	gltX	6.1.1.17		Glutamate--tRNA ligase
wLug_00060	CDS	666				hypothetical protein
wLug_00061	CDS	1971	accA1		COG4770	Acetyl-/propionyl-coenzyme A carboxylase alpha chain
wLug_00062	CDS	996	ctaA	1.3.-.-	COG1612	Heme A synthase
wLug_00063	CDS	1590				hypothetical protein
wLug_00064	CDS	477	atpF_1			ATP synthase subunit b
wLug_00065	CDS	480	atpF_2			ATP synthase subunit b
wLug_00066	CDS	222	atpH_1			ATP synthase subunit c
wLug_00067	CDS	726	atpB		COG0356	ATP synthase subunit a
wLug_00068	CDS	270				hypothetical protein
wLug_00069	CDS	2340	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
wLug_00070	CDS	3024				hypothetical protein
wLug_00071	CDS	3234	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
wLug_00072	CDS	246				hypothetical protein
wLug_00073	CDS	1323	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
wLug_00074	CDS	1740	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
wLug_00075	CDS	765				hypothetical protein
wLug_00076	CDS	1173	nuoD	7.1.1.-	COG0649	NADH-quinone oxidoreductase subunit D
wLug_00077	CDS	522	yceJ		COG3038	Cytochrome b561 
wLug_00078	CDS	996		1.6.5.11	COG2070	NADH:quinone reductase
wLug_00079	CDS	1383				hypothetical protein
wLug_00080	CDS	366				hypothetical protein
wLug_00081	CDS	2355	virB4_2		COG3451	Type IV secretion system protein virB4
wLug_00082	CDS	2814				hypothetical protein
wLug_00083	CDS	1074				hypothetical protein
wLug_00084	CDS	780	yeeZ		COG0451	Protein YeeZ
wLug_00085	CDS	645				hypothetical protein
wLug_00086	CDS	366				hypothetical protein
wLug_00087	CDS	1797				hypothetical protein
wLug_00088	CDS	2049	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
wLug_00089	CDS	531				hypothetical protein
wLug_00090	tRNA	76				tRNA-His(gtg)
wLug_00091	CDS	1497	murJ		COG0728	putative lipid II flippase MurJ
wLug_00092	CDS	387				hypothetical protein
wLug_00093	CDS	2481				hypothetical protein
wLug_00094	CDS	450				hypothetical protein
wLug_00095	CDS	888				hypothetical protein
wLug_00096	CDS	1176				hypothetical protein
wLug_00097	CDS	1302				hypothetical protein
wLug_00098	CDS	204				hypothetical protein
wLug_00099	CDS	618	lipB	2.3.1.181	COG0321	Octanoyltransferase
wLug_00100	CDS	960	ykfA	3.4.16.-	COG1619	putative murein peptide carboxypeptidase
wLug_00101	CDS	228				hypothetical protein
wLug_00102	CDS	1137				hypothetical protein
wLug_00103	CDS	3396	dnaE1	2.7.7.7		DNA polymerase III subunit alpha
wLug_00104	CDS	774				hypothetical protein
wLug_00105	CDS	279				hypothetical protein
wLug_00106	CDS	525	rplI		COG0359	50S ribosomal protein L9
wLug_00107	tRNA	73				tRNA-Met(cat)
wLug_00108	CDS	1266				hypothetical protein
wLug_00109	CDS	1197	dapE	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
wLug_00110	CDS	291				hypothetical protein
wLug_00111	CDS	429				hypothetical protein
wLug_00112	tRNA	73				tRNA-Gln(ttg)
wLug_00113	CDS	150				hypothetical protein
wLug_00114	CDS	798				hypothetical protein
