locus_tag	ftype	length_bp	gene	EC_number	COG	product
Ace_00001	CDS	1857				hypothetical protein
Ace_00002	CDS	501	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
Ace_00003	CDS	585				hypothetical protein
Ace_00004	CDS	1080	mrdB	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase MrdB
Ace_00005	CDS	297	ihfA		COG0776	Integration host factor subunit alpha
Ace_00006	tRNA	78				tRNA-Pro(ggg)
Ace_00007	CDS	885				hypothetical protein
Ace_00008	CDS	402				hypothetical protein
Ace_00009	tRNA	88				tRNA-Ser(tga)
Ace_00010	CDS	1419	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
Ace_00011	CDS	990	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
Ace_00012	CDS	645	grpE			Protein GrpE
Ace_00013	CDS	1098	ribD		COG0117	Riboflavin biosynthesis protein RibD
Ace_00014	CDS	1683	pyrG	6.3.4.2		CTP synthase
Ace_00015	CDS	309				hypothetical protein
Ace_00016	CDS	156				hypothetical protein
Ace_00017	CDS	939	xerD_1		COG4974	Tyrosine recombinase XerD
Ace_00018	CDS	675	lolD	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
Ace_00019	CDS	2253	tme	1.1.1.40	COG0280	NADP-dependent malic enzyme
Ace_00020	CDS	2694				hypothetical protein
Ace_00021	CDS	1521	mrpD		COG0651	Na(+)/H(+) antiporter subunit D
Ace_00022	CDS	306				hypothetical protein
Ace_00023	CDS	90				hypothetical protein
Ace_00024	CDS	111				hypothetical protein
Ace_00025	CDS	204				hypothetical protein
Ace_00026	CDS	123				hypothetical protein
Ace_00027	CDS	312				hypothetical protein
Ace_00028	CDS	261				hypothetical protein
Ace_00029	CDS	207				hypothetical protein
Ace_00030	CDS	1287	proP_1			Proline/betaine transporter
Ace_00031	CDS	270	rpsP			30S ribosomal protein S16
Ace_00032	CDS	1287	glmU		COG1207	Bifunctional protein GlmU
Ace_00033	CDS	708	kduD	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
Ace_00034	CDS	1050	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
Ace_00035	CDS	387	rplT		COG0292	50S ribosomal protein L20
Ace_00036	CDS	201	rpmI		COG0291	50S ribosomal protein L35
Ace_00037	CDS	600				hypothetical protein
Ace_00038	CDS	333				hypothetical protein
Ace_00039	CDS	1269	rho_1	3.6.4.-	COG1158	Transcription termination factor Rho
Ace_00040	CDS	831				hypothetical protein
Ace_00041	CDS	225				hypothetical protein
Ace_00042	CDS	261				hypothetical protein
Ace_00043	CDS	312				hypothetical protein
Ace_00044	CDS	123				hypothetical protein
Ace_00045	CDS	213				hypothetical protein
Ace_00046	CDS	144				hypothetical protein
Ace_00047	CDS	504				hypothetical protein
Ace_00048	CDS	558	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
Ace_00049	CDS	1212	surA	5.2.1.8		Chaperone SurA
Ace_00050	tRNA	74				tRNA-His(gtg)
Ace_00051	CDS	1368	gltX1	6.1.1.17	COG0008	Glutamate--tRNA ligase 1
Ace_00052	CDS	408				hypothetical protein
Ace_00053	CDS	777	thiG	2.8.1.10	COG2022	Thiazole synthase
Ace_00054	CDS	255				hypothetical protein
Ace_00055	CDS	2337				hypothetical protein
Ace_00056	CDS	303				hypothetical protein
Ace_00057	CDS	1071	idiA		COG1840	Iron deficiency-induced protein A
Ace_00058	CDS	150				hypothetical protein
Ace_00059	CDS	3981				hypothetical protein
Ace_00060	CDS	6093				hypothetical protein
Ace_00061	tRNA	74				tRNA-Ala(tgc)
Ace_00062	CDS	456	nrdR		COG1327	Transcriptional repressor NrdR
Ace_00063	CDS	312				hypothetical protein
Ace_00064	CDS	456				hypothetical protein
