locus_tag	ftype	length_bp	gene	EC_number	COG	product
wMinc_00001	CDS	1020	smc_1			Chromosome partition protein Smc
wMinc_00002	CDS	561				hypothetical protein
wMinc_00003	CDS	540				hypothetical protein
wMinc_00004	CDS	1071				hypothetical protein
wMinc_00005	CDS	1470				hypothetical protein
wMinc_00006	CDS	519				hypothetical protein
wMinc_00007	CDS	441				hypothetical protein
wMinc_00008	CDS	1248	pdhC	2.3.1.12		Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
wMinc_00009	CDS	1611				hypothetical protein
wMinc_00010	CDS	1239				hypothetical protein
wMinc_00011	CDS	759	lepB	3.4.21.89	COG0681	Signal peptidase I
wMinc_00012	CDS	498				hypothetical protein
wMinc_00013	CDS	900	rpoH		COG0568	RNA polymerase sigma factor RpoH
wMinc_00014	CDS	2283				hypothetical protein
wMinc_00015	CDS	513	yrdA		COG0663	Protein YrdA
wMinc_00016	CDS	699	ubiE	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
wMinc_00017	CDS	1116	ftsW	2.4.1.129		putative peptidoglycan glycosyltransferase FtsW
wMinc_00018	CDS	1764				hypothetical protein
wMinc_00019	CDS	1326	der			GTPase Der
wMinc_00020	CDS	480	dsbB_1			Disulfide bond formation protein B
wMinc_00021	CDS	579	dsbB_2			Disulfide bond formation protein B
wMinc_00022	CDS	549	coq7	1.14.99.60	COG2941	3-demethoxyubiquinol 3-hydroxylase
wMinc_00023	CDS	435				hypothetical protein
wMinc_00024	CDS	657				hypothetical protein
wMinc_00025	CDS	567				hypothetical protein
wMinc_00026	CDS	429				hypothetical protein
wMinc_00027	CDS	1440	glmU		COG1207	Bifunctional protein GlmU
wMinc_00028	CDS	1044	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
wMinc_00029	CDS	1779				hypothetical protein
wMinc_00030	CDS	597	ribE	2.5.1.9		Riboflavin synthase
wMinc_00031	CDS	579				hypothetical protein
wMinc_00032	CDS	3102				hypothetical protein
wMinc_00033	CDS	822				hypothetical protein
wMinc_00034	CDS	318				hypothetical protein
wMinc_00035	CDS	861				hypothetical protein
wMinc_00036	CDS	831				hypothetical protein
wMinc_00037	CDS	660	acm	3.2.1.17		Lysozyme M1
wMinc_00038	CDS	519				hypothetical protein
wMinc_00039	CDS	942	trxB	1.8.1.9	COG0492	Thioredoxin reductase
wMinc_00040	CDS	600	ahpC	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
wMinc_00041	CDS	1854				hypothetical protein
wMinc_00042	CDS	225				hypothetical protein
wMinc_00043	CDS	3225				hypothetical protein
wMinc_00044	CDS	639				hypothetical protein
wMinc_00045	CDS	765				hypothetical protein
wMinc_00046	CDS	558	dcd	3.5.4.13	COG0717	dCTP deaminase
wMinc_00047	CDS	999				hypothetical protein
