locus_tag	ftype	length_bp	gene	EC_number	COG	product
wLbra_00001	CDS	1074				hypothetical protein
wLbra_00002	CDS	645	dnaA_1			Chromosomal replication initiator protein DnaA
wLbra_00003	CDS	171				hypothetical protein
wLbra_00004	CDS	987	xerD		COG4974	Tyrosine recombinase XerD
wLbra_00005	CDS	714				hypothetical protein
wLbra_00006	CDS	270	rpsT		COG0268	30S ribosomal protein S20
wLbra_00007	CDS	1251	gltA	2.3.3.16	COG0372	Citrate synthase
wLbra_00008	CDS	180				hypothetical protein
wLbra_00009	CDS	618	lipB	2.3.1.181	COG0321	Octanoyltransferase
wLbra_00010	CDS	1002	ykfA	3.4.16.-	COG1619	putative murein peptide carboxypeptidase
wLbra_00011	CDS	177				hypothetical protein
wLbra_00012	CDS	840	ubiA	2.5.1.39	COG0382	4-hydroxybenzoate octaprenyltransferase
wLbra_00013	CDS	330	rbfA			Ribosome-binding factor A
wLbra_00014	CDS	2322	infB			Translation initiation factor IF-2
wLbra_00015	CDS	1563	nusA		COG0195	Transcription termination/antitermination protein NusA
wLbra_00016	CDS	183				hypothetical protein
wLbra_00017	CDS	180				hypothetical protein
wLbra_00018	CDS	786	ptlF		COG3504	Type IV secretion system protein PtlF
wLbra_00019	CDS	1521	ndhB_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
wLbra_00020	CDS	1212	tgt	2.4.2.29		Queuine tRNA-ribosyltransferase
wLbra_00021	CDS	504	nqo2	7.1.1.-	COG1905	NADH-quinone oxidoreductase chain 2
wLbra_00022	CDS	225				hypothetical protein
wLbra_00023	CDS	132				hypothetical protein
wLbra_00024	CDS	192				hypothetical protein
wLbra_00025	CDS	1008	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
wLbra_00026	CDS	1743	prsD			Type I secretion system ATP-binding protein PrsD
wLbra_00027	CDS	243				hypothetical protein
wLbra_00028	CDS	804	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
wLbra_00029	CDS	483				Single-stranded DNA-binding protein
wLbra_00030	CDS	129				hypothetical protein
wLbra_00031	CDS	153				hypothetical protein
wLbra_00032	tRNA	74				tRNA-Arg(ccg)
wLbra_00033	CDS	816				hypothetical protein
wLbra_00034	CDS	609				hypothetical protein
wLbra_00035	CDS	1461				hypothetical protein
wLbra_00036	CDS	174				hypothetical protein
wLbra_00037	CDS	174				hypothetical protein
wLbra_00038	CDS	111				hypothetical protein
wLbra_00039	CDS	1332	pyrC	3.5.2.3	COG0044	Dihydroorotase
wLbra_00040	CDS	3051				hypothetical protein
wLbra_00041	CDS	1806	sdhA	1.3.5.1		Succinate dehydrogenase flavoprotein subunit
wLbra_00042	CDS	186				hypothetical protein
wLbra_00043	CDS	831	dapD	2.3.1.117		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
wLbra_00044	CDS	285				hypothetical protein
wLbra_00045	CDS	384				hypothetical protein
wLbra_00046	CDS	1152				hypothetical protein
wLbra_00047	CDS	1362	gltX_1	6.1.1.17		Glutamate--tRNA ligase
wLbra_00048	CDS	738				hypothetical protein
wLbra_00049	CDS	1980	accA1		COG4770	Acetyl-/propionyl-coenzyme A carboxylase alpha chain
wLbra_00050	CDS	1008	ctaA	1.3.-.-	COG1612	Heme A synthase
wLbra_00051	CDS	243				hypothetical protein
wLbra_00052	CDS	132				hypothetical protein
wLbra_00053	CDS	477	atpF_1			ATP synthase subunit b
wLbra_00054	CDS	480	atpF_2			ATP synthase subunit b
wLbra_00055	CDS	228	atpH_1			ATP synthase subunit c
wLbra_00056	CDS	726	atpB		COG0356	ATP synthase subunit a
wLbra_00057	CDS	105				hypothetical protein
wLbra_00058	CDS	2379	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
wLbra_00059	CDS	957	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
wLbra_00060	CDS	1332				hypothetical protein
wLbra_00061	CDS	1278	serS	6.1.1.11	COG0172	Serine--tRNA ligase
wLbra_00062	CDS	1272	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
wLbra_00063	CDS	282				hypothetical protein
wLbra_00064	CDS	141				hypothetical protein
wLbra_00065	CDS	621	rnd_1	3.1.13.5		Ribonuclease D
wLbra_00066	tRNA	74				tRNA-Gly(gcc)
wLbra_00067	CDS	135				hypothetical protein
wLbra_00068	CDS	2055	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
wLbra_00069	CDS	1668				hypothetical protein
wLbra_00070	CDS	369				hypothetical protein
wLbra_00071	CDS	981	fabH	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
wLbra_00072	CDS	1095	plsX	2.3.1.274	COG0416	Phosphate acyltransferase
wLbra_00073	CDS	327				hypothetical protein
wLbra_00074	CDS	168				hypothetical protein
wLbra_00075	CDS	192				hypothetical protein
wLbra_00076	CDS	387	ccmE		COG2332	Cytochrome c-type biogenesis protein CcmE
wLbra_00077	CDS	138				hypothetical protein
wLbra_00078	CDS	912	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
wLbra_00079	CDS	1398	nuoN	7.1.1.-	COG1007	NADH-quinone oxidoreductase subunit N
wLbra_00080	CDS	1443	nuoM	7.1.1.-	COG1008	NADH-quinone oxidoreductase subunit M
wLbra_00081	CDS	1857	nuoL	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
wLbra_00082	CDS	309	nuoK	7.1.1.-	COG0713	NADH-quinone oxidoreductase subunit K
wLbra_00083	CDS	588	nuoJ	7.1.1.-	COG0839	NADH-quinone oxidoreductase subunit J
wLbra_00084	CDS	90				hypothetical protein
wLbra_00085	CDS	114				hypothetical protein
wLbra_00086	CDS	978		1.3.1.103		2-haloacrylate reductase
wLbra_00087	CDS	1965	pcrA	3.6.4.12	COG0210	ATP-dependent DNA helicase PcrA
wLbra_00088	CDS	156				hypothetical protein
wLbra_00089	CDS	135				hypothetical protein
wLbra_00090	CDS	246				hypothetical protein
wLbra_00091	CDS	108				hypothetical protein
wLbra_00092	CDS	501				hypothetical protein
wLbra_00093	CDS	297				hypothetical protein
wLbra_00094	CDS	213				hypothetical protein
wLbra_00095	CDS	204				hypothetical protein
wLbra_00096	CDS	162				hypothetical protein
wLbra_00097	CDS	609	sodB	1.15.1.1		Superoxide dismutase [Fe]
wLbra_00098	CDS	1272		3.4.24.-	COG0612	putative zinc protease
wLbra_00099	CDS	201				hypothetical protein
wLbra_00100	CDS	150				hypothetical protein
wLbra_00101	CDS	435				hypothetical protein
wLbra_00102	CDS	1821	nodM	2.6.1.16		Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
wLbra_00103	CDS	102				hypothetical protein
wLbra_00104	CDS	945				hypothetical protein
wLbra_00105	CDS	918		2.5.1.10		Farnesyl diphosphate synthase
wLbra_00106	CDS	267	acpP		COG0236	Acyl carrier protein
wLbra_00107	CDS	1269	fabF	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
wLbra_00108	CDS	1278	murAA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase 1
wLbra_00109	CDS	870	thyX	2.1.1.148	COG1351	Flavin-dependent thymidylate synthase
wLbra_00110	CDS	315	obg	3.6.5.-		GTPase Obg
wLbra_00111	CDS	120				hypothetical protein
wLbra_00112	CDS	288				hypothetical protein
wLbra_00113	CDS	207	murC_1	6.3.2.8		UDP-N-acetylmuramate--L-alanine ligase
wLbra_00114	CDS	708	rlpA	4.2.2.-		Endolytic peptidoglycan transglycosylase RlpA
wLbra_00115	CDS	336				hypothetical protein
wLbra_00116	CDS	1536	lysS	6.1.1.6	COG1384	Lysine--tRNA ligase
wLbra_00117	CDS	297				hypothetical protein
wLbra_00118	CDS	2406	virB4_1		COG3451	Type IV secretion system protein virB4
wLbra_00119	CDS	2658				hypothetical protein
wLbra_00120	CDS	2421				hypothetical protein
wLbra_00121	CDS	3123				hypothetical protein
wLbra_00122	CDS	3297				hypothetical protein
wLbra_00123	CDS	645				hypothetical protein
wLbra_00124	CDS	153	carB_1			Carbamoyl-phosphate synthase large chain
wLbra_00125	CDS	213	carB_2	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
wLbra_00126	CDS	258				hypothetical protein
wLbra_00127	CDS	132				hypothetical protein
