locus_tag	ftype	length_bp	gene	EC_number	COG	product
wDacA_00001	CDS	321	rpsJ		COG0051	30S ribosomal protein S10
wDacA_00002	CDS	723	rplC		COG0087	50S ribosomal protein L3
wDacA_00003	CDS	615	rplD			50S ribosomal protein L4
wDacA_00004	CDS	288	rplW		COG0089	50S ribosomal protein L23
wDacA_00005	CDS	825	rplB		COG0090	50S ribosomal protein L2
wDacA_00006	CDS	285	rpsS		COG0185	30S ribosomal protein S19
wDacA_00007	CDS	351	rplV		COG0091	50S ribosomal protein L22
wDacA_00008	CDS	615	rpsC		COG0092	30S ribosomal protein S3
wDacA_00009	CDS	414	rplP		COG0197	50S ribosomal protein L16
wDacA_00010	CDS	204				hypothetical protein
wDacA_00011	CDS	237	rpsQ		COG0186	30S ribosomal protein S17
wDacA_00012	CDS	360	rplN		COG0093	50S ribosomal protein L14
wDacA_00013	CDS	318	rplX			50S ribosomal protein L24
wDacA_00014	CDS	534	rplE			50S ribosomal protein L5
wDacA_00015	CDS	309	rpsN		COG0199	30S ribosomal protein S14
wDacA_00016	CDS	396	rpsH		COG0096	30S ribosomal protein S8
wDacA_00017	CDS	546	rplF		COG0097	50S ribosomal protein L6
wDacA_00018	CDS	372	rplR		COG0256	50S ribosomal protein L18
wDacA_00019	CDS	513	rpsE		COG0098	30S ribosomal protein S5
wDacA_00020	CDS	471	rplO			50S ribosomal protein L15
wDacA_00021	CDS	1329	secY		COG0201	Protein translocase subunit SecY
wDacA_00022	CDS	642	adk	2.7.4.3	COG0563	Adenylate kinase
wDacA_00023	CDS	369	rpsM		COG0099	30S ribosomal protein S13
wDacA_00024	CDS	387	rpsK			30S ribosomal protein S11
wDacA_00025	CDS	1068	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
wDacA_00026	CDS	429	rplQ		COG0203	50S ribosomal protein L17
wDacA_00027	CDS	351				hypothetical protein
wDacA_00028	CDS	561	atpD_1			ATP synthase subunit delta
wDacA_00029	CDS	1542	atpA	7.1.2.2	COG0056	ATP synthase subunit alpha
wDacA_00030	CDS	495	greA		COG0782	Transcription elongation factor GreA
wDacA_00031	CDS	654	ribB	4.1.99.12	COG0108	3,4-dihydroxy-2-butanone 4-phosphate synthase
wDacA_00032	CDS	1281	bepA	3.4.-.-		Beta-barrel assembly-enhancing protease
wDacA_00033	CDS	342				hypothetical protein
wDacA_00034	CDS	735	fabG	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
wDacA_00035	CDS	1521	prsE			Type I secretion system membrane fusion protein PrsE
wDacA_00036	CDS	198				hypothetical protein
wDacA_00037	CDS	765	ctaC	1.9.3.1	COG1622	Cytochrome c oxidase subunit 2
wDacA_00038	CDS	1551	ctaD	1.9.3.1	COG0843	Cytochrome c oxidase subunit 1
wDacA_00039	CDS	888	ctaB	2.5.1.141	COG0109	Protoheme IX farnesyltransferase
wDacA_00040	CDS	438	rnhA	3.1.26.4	COG0328	Ribonuclease HI
wDacA_00041	CDS	3084				hypothetical protein
wDacA_00042	CDS	435				hypothetical protein
wDacA_00043	CDS	753			COG3039	IS5 family transposase ISLpn10
wDacA_00044	CDS	1233				hypothetical protein
wDacA_00045	CDS	1326	pyrC	3.5.2.3		Dihydroorotase
wDacA_00046	CDS	477				hypothetical protein
wDacA_00047	CDS	1185	gltP		COG1301	Proton/glutamate-aspartate symporter
wDacA_00048	CDS	597	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
wDacA_00049	CDS	1830	typA		COG1217	GTP-binding protein TypA/BipA
wDacA_00050	CDS	1110	bamB		COG1520	Outer membrane protein assembly factor BamB
wDacA_00051	CDS	1905	htpG		COG0326	Chaperone protein HtpG
wDacA_00052	CDS	1386				hypothetical protein
wDacA_00053	CDS	426				hypothetical protein
wDacA_00054	CDS	294				hypothetical protein
wDacA_00055	CDS	327				hypothetical protein
wDacA_00056	CDS	108				hypothetical protein
wDacA_00057	CDS	1023				IS110 family transposase ISWen2
wDacA_00058	CDS	198	QTRT1	2.4.2.29		Queuine tRNA-ribosyltransferase catalytic subunit 1
wDacA_00059	CDS	501	nqo2	7.1.1.-	COG1905	NADH-quinone oxidoreductase chain 2
wDacA_00060	CDS	1281				hypothetical protein
wDacA_00061	CDS	1080	recF		COG1195	DNA replication and repair protein RecF
wDacA_00062	CDS	612		1.11.1.15		Peroxiredoxin
wDacA_00063	CDS	1164				hypothetical protein
wDacA_00064	CDS	786				hypothetical protein
wDacA_00065	CDS	327				hypothetical protein
wDacA_00066	CDS	243				hypothetical protein
wDacA_00067	CDS	417				hypothetical protein
wDacA_00068	CDS	522				hypothetical protein
wDacA_00069	CDS	450	smpB			SsrA-binding protein
wDacA_00070	CDS	792	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
wDacA_00071	CDS	1401				hypothetical protein
wDacA_00072	CDS	213				hypothetical protein
