locus_tag	ftype	length_bp	gene	EC_number	COG	product
wTpre_00001	CDS	888	pyrB	2.1.3.2		Aspartate carbamoyltransferase
wTpre_00002	CDS	1017	idiA		COG1840	Iron deficiency-induced protein A
wTpre_00003	CDS	1266				hypothetical protein
wTpre_00004	CDS	786	nadK	2.7.1.23		NAD kinase
wTpre_00005	CDS	213	rpmE		COG0254	50S ribosomal protein L31
wTpre_00006	CDS	987	fabD	2.3.1.39		Malonyl CoA-acyl carrier protein transacylase
wTpre_00007	CDS	1497	gpmI	5.4.2.12		2,3-bisphosphoglycerate-independent phosphoglycerate mutase
wTpre_00008	CDS	306				hypothetical protein
wTpre_00009	tRNA	73				tRNA-Asn(gtt)
wTpre_00010	CDS	2574	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
wTpre_00011	CDS	729				hypothetical protein
wTpre_00012	CDS	579				hypothetical protein
wTpre_00013	CDS	444				hypothetical protein
wTpre_00014	CDS	207	rpmI		COG0291	50S ribosomal protein L35
wTpre_00015	CDS	366	rplT			50S ribosomal protein L20
wTpre_00016	CDS	885	fmt	2.1.2.9	COG0223	Methionyl-tRNA formyltransferase
wTpre_00017	CDS	1521	purH		COG0138	Bifunctional purine biosynthesis protein PurH
wTpre_00018	CDS	141				hypothetical protein
wTpre_00019	CDS	639	nth	4.2.99.18	COG0177	Endonuclease III
wTpre_00020	CDS	399				hypothetical protein
wTpre_00021	CDS	156				hypothetical protein
wTpre_00022	CDS	174				hypothetical protein
wTpre_00023	CDS	1800	surA_1	5.2.1.8		Chaperone SurA
wTpre_00024	CDS	291	rpsP		COG0228	30S ribosomal protein S16
wTpre_00025	CDS	987	ispB	2.5.1.90	COG0142	Octaprenyl diphosphate synthase
wTpre_00026	CDS	561	grpE			Protein GrpE
wTpre_00027	CDS	999	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
wTpre_00028	CDS	363				hypothetical protein
wTpre_00029	CDS	960				hypothetical protein
wTpre_00030	CDS	2691	sucA	1.2.4.2	COG0567	2-oxoglutarate dehydrogenase E1 component
wTpre_00031	CDS	126				hypothetical protein
wTpre_00032	CDS	270				hypothetical protein
wTpre_00033	CDS	195				hypothetical protein
wTpre_00034	CDS	201				hypothetical protein
wTpre_00035	CDS	177				hypothetical protein
wTpre_00036	CDS	357				hypothetical protein
wTpre_00037	CDS	453				hypothetical protein
wTpre_00038	CDS	144				hypothetical protein
wTpre_00039	CDS	402				hypothetical protein
wTpre_00040	CDS	114				hypothetical protein
wTpre_00041	CDS	135				hypothetical protein
wTpre_00042	CDS	405				hypothetical protein
wTpre_00043	CDS	741				hypothetical protein
wTpre_00044	CDS	132				hypothetical protein
wTpre_00045	CDS	246				hypothetical protein
wTpre_00046	CDS	705				hypothetical protein
wTpre_00047	CDS	1404				hypothetical protein
wTpre_00048	CDS	246				hypothetical protein
wTpre_00049	CDS	240				hypothetical protein
wTpre_00050	CDS	1488	ubiD	4.1.1.98	COG0043	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
wTpre_00051	CDS	528	clsA	2.7.8.-		Cardiolipin synthase A
wTpre_00052	CDS	168				hypothetical protein
wTpre_00053	CDS	792	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
wTpre_00054	CDS	450	smpB			SsrA-binding protein
wTpre_00055	CDS	759				hypothetical protein
wTpre_00056	CDS	522				hypothetical protein
wTpre_00057	CDS	417				hypothetical protein
