locus_tag	ftype	length_bp	gene	EC_number	COG	product
wVitA_00001	CDS	321				hypothetical protein
wVitA_00002	CDS	1605	pyrG	6.3.4.2	COG0504	CTP synthase
wVitA_00003	CDS	411	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
wVitA_00004	CDS	759				IS110 family transposase ISOt5
wVitA_00005	CDS	423				hypothetical protein
wVitA_00006	CDS	753	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
wVitA_00007	CDS	579				hypothetical protein
wVitA_00008	CDS	888				hypothetical protein
wVitA_00009	CDS	153				hypothetical protein
wVitA_00010	CDS	1380				hypothetical protein
wVitA_00011	CDS	204				hypothetical protein
wVitA_00012	CDS	2259				hypothetical protein
wVitA_00013	CDS	579				hypothetical protein
wVitA_00014	CDS	99				hypothetical protein
wVitA_00015	CDS	876				hypothetical protein
wVitA_00016	CDS	3243				hypothetical protein
wVitA_00017	CDS	534				hypothetical protein
wVitA_00018	CDS	1275				hypothetical protein
wVitA_00019	CDS	390				hypothetical protein
wVitA_00020	CDS	1173	cca	2.7.7.72		CCA-adding enzyme
wVitA_00021	CDS	945				hypothetical protein
wVitA_00022	CDS	1095	ychF		COG0012	Ribosome-binding ATPase YchF
wVitA_00023	CDS	1194				hypothetical protein
wVitA_00024	CDS	1806				hypothetical protein
wVitA_00025	CDS	621	gmk	2.7.4.8	COG0194	Guanylate kinase
wVitA_00026	CDS	2103				hypothetical protein
wVitA_00027	CDS	1806	sdhA	1.3.5.1		Succinate dehydrogenase flavoprotein subunit
wVitA_00028	CDS	1353	gltX1_1	6.1.1.17		Glutamate--tRNA ligase 1
wVitA_00029	CDS	663				hypothetical protein
wVitA_00030	CDS	2076	accA1		COG4770	Acetyl-/propionyl-coenzyme A carboxylase alpha chain
wVitA_00031	CDS	1053	ctaA	1.3.-.-	COG1612	Heme A synthase
wVitA_00032	CDS	1608				hypothetical protein
wVitA_00033	CDS	477	atpF			ATP synthase subunit b
wVitA_00034	CDS	480	atpG_1			ATP synthase subunit b'
wVitA_00035	CDS	228	atpH_1			ATP synthase subunit c
wVitA_00036	CDS	726	atpB		COG0356	ATP synthase subunit a
wVitA_00037	CDS	288				hypothetical protein
wVitA_00038	CDS	2340	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
wVitA_00039	CDS	2748				hypothetical protein
wVitA_00040	CDS	3369	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
wVitA_00041	CDS	675	dtpD		COG3104	Dipeptide permease D
wVitA_00042	CDS	774	dtpA		COG3104	Dipeptide and tripeptide permease A
wVitA_00043	CDS	1320	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
wVitA_00044	CDS	429				hypothetical protein
wVitA_00045	CDS	981	acoA	1.1.1.-	COG1071	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha
wVitA_00046	CDS	924	rluC	5.4.99.24	COG0564	Ribosomal large subunit pseudouridine synthase C
wVitA_00047	CDS	1263	proP_1			Proline/betaine transporter
wVitA_00048	CDS	1803	aspS	6.1.1.12		Aspartate--tRNA ligase
wVitA_00049	CDS	432				hypothetical protein
wVitA_00050	CDS	624	ccmA	7.6.2.5	COG4133	Cytochrome c biogenesis ATP-binding export protein CcmA
wVitA_00051	CDS	1296				hypothetical protein
