locus_tag	ftype	length_bp	gene	EC_number	COG	product
wRi_00001	CDS	1383	dnaA_1			Chromosomal replication initiator protein DnaA
wRi_00002	CDS	1275				hypothetical protein
wRi_00003	tRNA	88				tRNA-Leu(gag)
wRi_00004	CDS	1083	ribBA	3.5.4.25		Riboflavin biosynthesis protein RibBA
wRi_00005	CDS	681	virB8		COG3736	Type IV secretion system protein virB8
wRi_00006	CDS	801	virB9		COG3504	Type IV secretion system protein virB9
wRi_00007	CDS	1497				hypothetical protein
wRi_00008	CDS	993			COG0630	Type IV secretion system protein VirB11
wRi_00009	CDS	2019				hypothetical protein
wRi_00010	CDS	852				hypothetical protein
wRi_00011	CDS	855	prmC	2.1.1.297	COG2890	Release factor glutamine methyltransferase
wRi_00012	CDS	375	rpsL			30S ribosomal protein S12
wRi_00013	CDS	480	rpsG		COG0049	30S ribosomal protein S7
wRi_00014	CDS	2076	fusA		COG0480	Elongation factor G
wRi_00015	CDS	1173	tufA_1		COG0050	Elongation factor Tu
wRi_00016	tRNA	74				tRNA-Trp(cca)
wRi_00017	CDS	837	nusG			Transcription termination/antitermination protein NusG
wRi_00018	CDS	441	rplK		COG0080	50S ribosomal protein L11
wRi_00019	CDS	654	rplA		COG0081	50S ribosomal protein L1
wRi_00020	CDS	519	rplJ		COG0244	50S ribosomal protein L10
wRi_00021	CDS	402	rplL			50S ribosomal protein L7/L12
wRi_00022	CDS	8514	rpoBC	2.7.7.6	COG0085	Bifunctional DNA-directed RNA polymerase subunit beta-beta'
wRi_00023	CDS	999	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
wRi_00024	CDS	1923				hypothetical protein
wRi_00025	CDS	1299	serS	6.1.1.11	COG0172	Serine--tRNA ligase
wRi_00026	CDS	1272	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
wRi_00027	CDS	2130				hypothetical protein
wRi_00028	CDS	867				hypothetical protein
wRi_00029	CDS	927	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
wRi_00030	CDS	354	GATC	6.3.5.-		Glutamyl-tRNA(Gln) amidotransferase subunit C, chloroplastic/mitochondrial
wRi_00031	CDS	1263	tolB		COG0823	Tol-Pal system protein TolB
wRi_00032	CDS	1668	rnj1	3.1.-.-		Ribonuclease J 1
wRi_00033	CDS	1119	dnaJ		COG0484	Chaperone protein DnaJ
wRi_00034	tRNA	78				tRNA-Arg(acg)
wRi_00035	CDS	945				hypothetical protein
wRi_00036	CDS	276				hypothetical protein
wRi_00037	CDS	522				IS110 family transposase ISWpi12
wRi_00038	CDS	327				IS110 family transposase ISWpi12
wRi_00039	CDS	189			COG3385	IS4 family transposase ISWosp2
wRi_00040	CDS	378				hypothetical protein
wRi_00041	CDS	642				hypothetical protein
wRi_00042	CDS	1539	pepA	3.4.11.10		cytosol aminopeptidase
wRi_00043	CDS	1188				hypothetical protein
wRi_00044	CDS	306	ihfA		COG0776	Integration host factor subunit alpha
wRi_00045	CDS	327				hypothetical protein
wRi_00046	CDS	597				hypothetical protein
wRi_00047	CDS	2517	leuS	6.1.1.4		Leucine--tRNA ligase
wRi_00048	CDS	600				hypothetical protein
wRi_00049	CDS	381			COG3039	IS5 family transposase ISWpi1
wRi_00050	CDS	342			COG3039	IS5 family transposase ISWpi1
wRi_00051	CDS	165				hypothetical protein
wRi_00052	CDS	162				hypothetical protein
wRi_00053	CDS	198				hypothetical protein
wRi_00054	CDS	303				hypothetical protein
wRi_00055	CDS	708	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
wRi_00056	CDS	312			COG0776	DNA-binding protein HRL53
wRi_00057	CDS	456	rpsI		COG0103	30S ribosomal protein S9
wRi_00058	CDS	459	rplM		COG0102	50S ribosomal protein L13
wRi_00059	CDS	1224	bepC			Outer membrane efflux protein BepC
wRi_00060	CDS	576				hypothetical protein
wRi_00061	CDS	564	rlmE	2.1.1.166	COG0293	Ribosomal RNA large subunit methyltransferase E
wRi_00062	CDS	2097				hypothetical protein
wRi_00063	CDS	312				hypothetical protein
wRi_00064	CDS	240				hypothetical protein
wRi_00065	CDS	996				IS481 family transposase ISWpi2
wRi_00066	CDS	198				hypothetical protein
wRi_00067	CDS	411				hypothetical protein
wRi_00068	CDS	390				hypothetical protein
wRi_00069	CDS	786				hypothetical protein
wRi_00070	CDS	165				hypothetical protein
wRi_00071	CDS	162				hypothetical protein
wRi_00072	CDS	381			COG3039	IS5 family transposase ISWpi1
wRi_00073	CDS	342			COG3039	IS5 family transposase ISWpi1
wRi_00074	CDS	582				IS630 family transposase ISWpi10
wRi_00075	CDS	354				IS630 family transposase ISWpi10
wRi_00076	CDS	303				hypothetical protein
wRi_00077	CDS	276				hypothetical protein
wRi_00078	CDS	411				hypothetical protein
wRi_00079	CDS	1005	apbC		COG0489	Iron-sulfur cluster carrier protein
wRi_00080	CDS	1149	ubiL	1.14.13.-	COG0654	Ubiquinone hydroxylase UbiL
wRi_00081	CDS	963				IS481 family transposase ISWpi4
wRi_00082	CDS	549	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
wRi_00083	CDS	612	rplY			50S ribosomal protein L25
wRi_00084	CDS	300				hypothetical protein
wRi_00085	CDS	312				hypothetical protein
wRi_00086	CDS	882	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
wRi_00087	CDS	1248	proP_1			Proline/betaine transporter
wRi_00088	CDS	792	map	3.4.11.18	COG0024	Methionine aminopeptidase
wRi_00089	CDS	1239	ftsA		COG0849	Cell division protein FtsA
wRi_00090	CDS	540	def	3.5.1.88		Peptide deformylase
wRi_00091	CDS	813				hypothetical protein
wRi_00092	CDS	213				hypothetical protein
wRi_00093	CDS	2070	nqo3	7.1.1.-	COG1034	NADH-quinone oxidoreductase chain 3
wRi_00094	CDS	1026	nuoH	7.1.1.-	COG1005	NADH-quinone oxidoreductase subunit H
wRi_00095	CDS	996	hemB	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase
wRi_00096	CDS	759				hypothetical protein
wRi_00097	CDS	840	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
wRi_00098	CDS	2118	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
wRi_00099	CDS	1818	uvrC		COG0322	UvrABC system protein C
wRi_00100	tRNA	77				tRNA-Arg(cct)
wRi_00101	CDS	774	fbpC2	7.2.2.7	COG3842	Fe(3+) ions import ATP-binding protein FbpC 2
wRi_00102	CDS	168	tatA			Sec-independent protein translocase protein TatA
wRi_00103	CDS	657				hypothetical protein
wRi_00104	CDS	657				hypothetical protein
wRi_00105	CDS	1374	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
wRi_00106	CDS	420				hypothetical protein
wRi_00107	CDS	3285				hypothetical protein
wRi_00108	CDS	1422	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
wRi_00109	CDS	1383				IS66 family transposase ISWen3
wRi_00110	CDS	1023				IS110 family transposase ISWen2
wRi_00111	CDS	468	yqgF	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
wRi_00112	CDS	489	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
wRi_00113	CDS	828	ctaE	1.9.3.1	COG1845	Cytochrome c oxidase subunit 3
wRi_00114	CDS	660				hypothetical protein
wRi_00115	CDS	684	tenA	3.5.99.2	COG0819	Aminopyrimidine aminohydrolase
wRi_00116	CDS	1173	metK	2.5.1.6	COG0192	S-adenosylmethionine synthase
wRi_00117	tRNA	77				tRNA-Ile(gat)
wRi_00118	CDS	270	rpmA		COG0211	50S ribosomal protein L27
wRi_00119	CDS	303	rplU		COG0261	50S ribosomal protein L21
wRi_00120	CDS	1293	glmU_1			Bifunctional protein GlmU
