locus_tag	ftype	length_bp	gene	EC_number	COG	product
wApol_00001	CDS	417	pvuIIM_1	2.1.1.113		Modification methylase PvuII
wApol_00002	CDS	720				hypothetical protein
wApol_00003	CDS	882	secF			Protein translocase subunit SecF
wApol_00004	CDS	513				hypothetical protein
wApol_00005	CDS	1719	yidC			Membrane protein insertase YidC
wApol_00006	CDS	423	ribH1	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase 1
wApol_00007	CDS	483	nusB			Transcription antitermination protein NusB
wApol_00008	CDS	264	infA			Translation initiation factor IF-1
wApol_00009	CDS	585	yhdE	3.6.1.9	COG0424	dTTP/UTP pyrophosphatase
wApol_00010	CDS	2052				hypothetical protein
wApol_00011	CDS	1335	alsT_1		COG1115	Amino-acid carrier protein AlsT
wApol_00012	CDS	504				hypothetical protein
wApol_00013	CDS	1653	groL5			60 kDa chaperonin 5
wApol_00014	CDS	291	groS			10 kDa chaperonin
wApol_00015	CDS	801	ygfZ			tRNA-modifying protein YgfZ
wApol_00016	CDS	102				hypothetical protein
wApol_00017	CDS	1128	ftsW	2.4.1.129		putative peptidoglycan glycosyltransferase FtsW
wApol_00018	CDS	720	ubiE	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
wApol_00019	CDS	714	bcr_1			Bicyclomycin resistance protein
wApol_00020	CDS	447				hypothetical protein
wApol_00021	CDS	1002				hypothetical protein
wApol_00022	CDS	192				hypothetical protein
wApol_00023	CDS	813	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
wApol_00024	CDS	366				hypothetical protein
wApol_00025	CDS	867	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
wApol_00026	CDS	3348	recB	3.1.11.5		RecBCD enzyme subunit RecB
wApol_00027	CDS	885				hypothetical protein
wApol_00028	CDS	693				hypothetical protein
wApol_00029	CDS	402				hypothetical protein
wApol_00030	CDS	183				hypothetical protein
wApol_00031	CDS	753				hypothetical protein
wApol_00032	CDS	681				hypothetical protein
wApol_00033	CDS	1236				hypothetical protein
wApol_00034	CDS	963				hypothetical protein
wApol_00035	CDS	486				hypothetical protein
wApol_00036	CDS	558				hypothetical protein
wApol_00037	CDS	231				hypothetical protein
wApol_00038	CDS	180				hypothetical protein
wApol_00039	CDS	618				IS66 family transposase ISWen3
wApol_00040	CDS	780				IS66 family transposase ISWen3
wApol_00041	CDS	270				hypothetical protein
wApol_00042	CDS	729				hypothetical protein
wApol_00043	CDS	2574	leuS	6.1.1.4		Leucine--tRNA ligase
wApol_00044	CDS	606				hypothetical protein
wApol_00045	CDS	2373	gyrB	5.6.2.2		DNA gyrase subunit B
wApol_00046	CDS	930	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
wApol_00047	CDS	1548	ftsI_1	3.4.16.4		putative peptidoglycan D,D-transpeptidase FtsI
wApol_00048	CDS	348				hypothetical protein
