locus_tag	ftype	length_bp	gene	EC_number	COG	product
wCo_00001	CDS	492	rnhB	3.1.26.4	COG0164	Ribonuclease HII
wCo_00002	CDS	255				hypothetical protein
wCo_00003	CDS	510				IS982 family transposase ISWpi16
wCo_00004	CDS	375				hypothetical protein
wCo_00005	CDS	237				hypothetical protein
wCo_00006	CDS	543				hypothetical protein
wCo_00007	CDS	303				hypothetical protein
wCo_00008	CDS	246				hypothetical protein
wCo_00009	CDS	462				hypothetical protein
wCo_00010	CDS	198				hypothetical protein
wCo_00011	CDS	975	fabD	2.3.1.39		Malonyl CoA-acyl carrier protein transacylase
wCo_00012	CDS	213	rpmE		COG0254	50S ribosomal protein L31
wCo_00013	CDS	801	nadK	2.7.1.23		NAD kinase
wCo_00014	CDS	1359				hypothetical protein
wCo_00015	CDS	330				IS3 family transposase ISStau1
wCo_00016	CDS	288				hypothetical protein
wCo_00017	CDS	921				hypothetical protein
wCo_00018	CDS	270				hypothetical protein
wCo_00019	CDS	240				hypothetical protein
wCo_00020	CDS	204				hypothetical protein
wCo_00021	CDS	255				hypothetical protein
wCo_00022	CDS	315				hypothetical protein
wCo_00023	CDS	690				hypothetical protein
wCo_00024	CDS	762				hypothetical protein
wCo_00025	CDS	342				hypothetical protein
wCo_00026	CDS	972				hypothetical protein
wCo_00027	CDS	1845				hypothetical protein
wCo_00028	CDS	924				hypothetical protein
wCo_00029	CDS	579				hypothetical protein
wCo_00030	CDS	966				hypothetical protein
wCo_00031	CDS	339				hypothetical protein
wCo_00032	CDS	420				hypothetical protein
wCo_00033	CDS	213				hypothetical protein
wCo_00034	CDS	1104				hypothetical protein
wCo_00035	CDS	912				hypothetical protein
wCo_00036	CDS	378	mutL_1		COG0323	DNA mismatch repair protein MutL
wCo_00037	CDS	222	mutL_2		COG0323	DNA mismatch repair protein MutL
wCo_00038	CDS	477	mutL_3			DNA mismatch repair protein MutL
wCo_00039	CDS	261	mutL_4			DNA mismatch repair protein MutL
wCo_00040	CDS	255	mutL_5			DNA mismatch repair protein MutL
wCo_00041	CDS	624	rnhA_1	3.1.26.4		Ribonuclease H
wCo_00042	CDS	264				hypothetical protein
wCo_00043	CDS	1377	ligA_1	6.5.1.2	COG0272	DNA ligase
wCo_00044	CDS	564	ligA_2	6.5.1.2	COG0272	DNA ligase
wCo_00045	CDS	258				hypothetical protein
wCo_00046	CDS	711	ankX_1	2.7.1.-	COG0666	Phosphocholine transferase AnkX
wCo_00047	CDS	288				hypothetical protein
wCo_00048	CDS	135				hypothetical protein
wCo_00049	CDS	144				hypothetical protein
wCo_00050	CDS	405				IS110 family transposase ISWen2
wCo_00051	CDS	138				hypothetical protein
wCo_00052	CDS	447				hypothetical protein
wCo_00053	CDS	432				hypothetical protein
wCo_00054	CDS	381				hypothetical protein
wCo_00055	CDS	1302	adiC		COG0531	Arginine/agmatine antiporter
wCo_00056	CDS	1401				hypothetical protein
wCo_00057	CDS	1449				hypothetical protein
wCo_00058	CDS	1533				hypothetical protein
wCo_00059	CDS	609				hypothetical protein
wCo_00060	CDS	411				hypothetical protein
wCo_00061	CDS	633				hypothetical protein
wCo_00062	CDS	288				hypothetical protein
wCo_00063	CDS	321				hypothetical protein
wCo_00064	CDS	1137	pyrG_1	6.3.4.2	COG0504	CTP synthase
wCo_00065	CDS	465	pyrG_2	6.3.4.2		CTP synthase
wCo_00066	CDS	387				hypothetical protein
wCo_00067	CDS	447	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
wCo_00068	CDS	282				hypothetical protein
wCo_00069	CDS	261				hypothetical protein
wCo_00070	CDS	1515	prsE			Type I secretion system membrane fusion protein PrsE
wCo_00071	tRNA	75				tRNA-Arg(ccg)
wCo_00072	CDS	1395	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
wCo_00073	CDS	603				hypothetical protein
wCo_00074	CDS	711				hypothetical protein
wCo_00075	CDS	567				hypothetical protein
wCo_00076	CDS	285				hypothetical protein
wCo_00077	CDS	2481	mutS		COG0249	DNA mismatch repair protein MutS
wCo_00078	CDS	756	capV_1	3.1.1.-	COG3621	cGAMP-activated phospholipase
wCo_00079	CDS	126				hypothetical protein
wCo_00080	CDS	375	bamE			Outer membrane protein assembly factor BamE
wCo_00081	CDS	996	nrdB	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta
wCo_00082	CDS	648	tenA_1	3.5.99.2	COG0819	Aminopyrimidine aminohydrolase
wCo_00083	CDS	1110	ribD		COG0117	Riboflavin biosynthesis protein RibD
wCo_00084	CDS	1203				Deoxyguanosinetriphosphate triphosphohydrolase-like protein
wCo_00085	CDS	468	erpA		COG0316	Iron-sulfur cluster insertion protein ErpA
wCo_00086	CDS	687	lolD	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
wCo_00087	CDS	435				hypothetical protein
wCo_00088	CDS	606	aroK	2.7.1.71		Shikimate kinase
wCo_00089	CDS	486	rppH	3.6.1.-	COG0494	RNA pyrophosphohydrolase
wCo_00090	CDS	783	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
wCo_00091	CDS	1740	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
wCo_00092	CDS	159				hypothetical protein
wCo_00093	CDS	396			COG3039	IS5 family transposase ISOt6
wCo_00094	CDS	273				hypothetical protein
wCo_00095	CDS	183				hypothetical protein
wCo_00096	CDS	675				hypothetical protein
wCo_00097	CDS	225				hypothetical protein
wCo_00098	CDS	555				hypothetical protein
wCo_00099	CDS	162				hypothetical protein
wCo_00100	CDS	135				hypothetical protein
wCo_00101	CDS	390				IS110 family transposase ISWen2
wCo_00102	CDS	150				hypothetical protein
wCo_00103	CDS	738				hypothetical protein
wCo_00104	CDS	555				IS110 family transposase ISWen2
wCo_00105	CDS	135				hypothetical protein
wCo_00106	CDS	2676	secA		COG0653	Protein translocase subunit SecA
wCo_00107	CDS	207				hypothetical protein
wCo_00108	CDS	177				hypothetical protein
wCo_00109	CDS	249				hypothetical protein
wCo_00110	CDS	171				hypothetical protein
wCo_00111	CDS	708				hypothetical protein
wCo_00112	CDS	1197	nifS	2.8.1.7	COG1104	Cysteine desulfurase NifS
wCo_00113	CDS	903				hypothetical protein
wCo_00114	CDS	375	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
wCo_00115	CDS	1275	proS	6.1.1.15	COG0442	Proline--tRNA ligase
wCo_00116	CDS	549	pth	3.1.1.29		Peptidyl-tRNA hydrolase
wCo_00117	CDS	627	rplY			50S ribosomal protein L25
wCo_00118	CDS	1170	mdtL			Multidrug resistance protein MdtL
wCo_00119	CDS	135				hypothetical protein
wCo_00120	CDS	144				hypothetical protein
wCo_00121	CDS	405				IS110 family transposase ISWen2
wCo_00122	CDS	738				hypothetical protein
wCo_00123	CDS	150				hypothetical protein
wCo_00124	CDS	756	fbpC	7.2.2.7		Fe(3+) ions import ATP-binding protein FbpC
wCo_00125	CDS	363				hypothetical protein
wCo_00126	CDS	657				hypothetical protein
wCo_00127	CDS	204				hypothetical protein
wCo_00128	CDS	213				hypothetical protein
wCo_00129	CDS	588				hypothetical protein
wCo_00130	CDS	294				hypothetical protein
wCo_00131	CDS	282				hypothetical protein
wCo_00132	CDS	678	dacA	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacA
wCo_00133	CDS	438	dacF	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacF
wCo_00134	CDS	513	yrdA		COG0663	Protein YrdA
wCo_00135	CDS	294				hypothetical protein
wCo_00136	CDS	900				hypothetical protein
wCo_00137	CDS	1503	algC	5.4.2.2	COG1109	Phosphomannomutase/phosphoglucomutase
wCo_00138	CDS	435				hypothetical protein
wCo_00139	CDS	1035	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
wCo_00140	CDS	504		3.2.2.-	COG2094	Putative 3-methyladenine DNA glycosylase
wCo_00141	CDS	1005				hypothetical protein
wCo_00142	CDS	369				hypothetical protein
wCo_00143	CDS	456				hypothetical protein
wCo_00144	CDS	306				hypothetical protein
wCo_00145	CDS	675				hypothetical protein
wCo_00146	CDS	423				hypothetical protein
wCo_00147	tmRNA	341	ssrA			transfer-messenger RNA, SsrA
wCo_00148	CDS	756				hypothetical protein
wCo_00149	CDS	132				hypothetical protein
wCo_00150	CDS	171				hypothetical protein
wCo_00151	CDS	312				hypothetical protein
wCo_00152	CDS	225				hypothetical protein
wCo_00153	CDS	480	carB_1	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
wCo_00154	CDS	2586	carB_2	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
wCo_00155	CDS	1812	surA_1	5.2.1.8		Chaperone SurA
wCo_00156	CDS	1419				hypothetical protein
wCo_00157	CDS	327				hypothetical protein
wCo_00158	CDS	279	ihfB		COG0776	Integration host factor subunit beta
wCo_00159	CDS	1653	rpsA		COG0539	30S ribosomal protein S1
wCo_00160	CDS	696	bamD			Outer membrane protein assembly factor BamD
wCo_00161	CDS	1428	tldD	3.4.-.-	COG0312	Metalloprotease TldD
wCo_00162	tRNA	86				tRNA-Leu(cag)
wCo_00163	CDS	273				hypothetical protein
wCo_00164	CDS	186				hypothetical protein
wCo_00165	CDS	1248	iscS	2.8.1.7	COG1104	Cysteine desulfurase IscS
wCo_00166	CDS	591				hypothetical protein
wCo_00167	CDS	1212	tgt	2.4.2.29		Queuine tRNA-ribosyltransferase
wCo_00168	CDS	501	nqo2	7.1.1.-	COG1905	NADH-quinone oxidoreductase chain 2
wCo_00169	CDS	1158	ubiL	1.14.13.-	COG0654	Ubiquinone hydroxylase UbiL
wCo_00170	CDS	135				hypothetical protein
wCo_00171	CDS	555				IS110 family transposase ISWen2
wCo_00172	CDS	801				hypothetical protein
wCo_00173	CDS	858				hypothetical protein
wCo_00174	CDS	555				IS110 family transposase ISWen2
wCo_00175	CDS	135				hypothetical protein
wCo_00176	CDS	1296	glmU_1		COG1207	Bifunctional protein GlmU
wCo_00177	CDS	504				hypothetical protein
wCo_00178	CDS	108				hypothetical protein
wCo_00179	tRNA	90				tRNA-Ser(gga)
wCo_00180	CDS	456				hypothetical protein
wCo_00181	CDS	351				hypothetical protein
wCo_00182	tRNA	77				tRNA-Met(cat)
wCo_00183	CDS	327	trxA		COG0526	Thioredoxin
wCo_00184	CDS	624	rnd_1	3.1.13.5		Ribonuclease D
wCo_00185	CDS	618				hypothetical protein
wCo_00186	CDS	237				hypothetical protein
wCo_00187	CDS	516				hypothetical protein
wCo_00188	CDS	444				hypothetical protein
wCo_00189	CDS	930				hypothetical protein
wCo_00190	CDS	2856				hypothetical protein
wCo_00191	CDS	582	yhdE	3.6.1.9	COG0424	dTTP/UTP pyrophosphatase
wCo_00192	CDS	255	infA			Translation initiation factor IF-1
wCo_00193	CDS	861	prmC	2.1.1.297	COG2890	Release factor glutamine methyltransferase
wCo_00194	CDS	525				hypothetical protein
wCo_00195	CDS	237				hypothetical protein
wCo_00196	CDS	456				hypothetical protein
wCo_00197	CDS	177				hypothetical protein
wCo_00198	CDS	423				hypothetical protein
wCo_00199	CDS	1521	purH		COG0138	Bifunctional purine biosynthesis protein PurH
wCo_00200	CDS	102				hypothetical protein
wCo_00201	CDS	609				hypothetical protein
wCo_00202	CDS	1152	rnd_2	3.1.13.5	COG0349	Ribonuclease D
wCo_00203	CDS	543	aacA-aphD			Bifunctional AAC/APH
wCo_00204	CDS	627	ydhC			Inner membrane transport protein YdhC
wCo_00205	CDS	513				hypothetical protein
wCo_00206	CDS	378				hypothetical protein
wCo_00207	CDS	996		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
wCo_00208	CDS	1455	pepA	3.4.11.10		cytosol aminopeptidase
wCo_00209	CDS	1440	rcsC	2.7.13.3		Sensor histidine kinase RcsC
wCo_00210	CDS	1176	argD_1	2.6.1.11	COG4992	Acetylornithine aminotransferase
wCo_00211	CDS	2244	purF_1	2.4.2.14		Amidophosphoribosyltransferase
wCo_00212	CDS	417				hypothetical protein
wCo_00213	CDS	1371			COG2239	Magnesium transporter MgtE
wCo_00214	CDS	1065	prfB		COG1186	Peptide chain release factor RF2
wCo_00215	CDS	288				hypothetical protein
wCo_00216	CDS	1671				hypothetical protein
wCo_00217	CDS	573				hypothetical protein
wCo_00218	CDS	828				hypothetical protein
wCo_00219	CDS	798				hypothetical protein
wCo_00220	CDS	609				hypothetical protein
wCo_00221	CDS	363				hypothetical protein
wCo_00222	CDS	780				hypothetical protein
wCo_00223	CDS	108				hypothetical protein
wCo_00224	CDS	333				hypothetical protein
wCo_00225	CDS	990				hypothetical protein
wCo_00226	CDS	1035				hypothetical protein
wCo_00227	CDS	135				hypothetical protein
wCo_00228	CDS	180				hypothetical protein
wCo_00229	CDS	1077	mreB			Cell shape-determining protein MreB
wCo_00230	CDS	1425		3.4.17.19	COG2317	Thermostable carboxypeptidase 1
wCo_00231	CDS	492	pal		COG2885	Peptidoglycan-associated lipoprotein
wCo_00232	CDS	1275	tilS	6.3.4.19		tRNA(Ile)-lysidine synthase
wCo_00233	CDS	327	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
wCo_00234	CDS	372	ftsH_2	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
wCo_00235	CDS	204				hypothetical protein
wCo_00236	CDS	1830	ftsH_3	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
wCo_00237	CDS	681	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
wCo_00238	CDS	315				hypothetical protein
wCo_00239	CDS	303	rplU		COG0261	50S ribosomal protein L21
wCo_00240	CDS	273	rpmA		COG0211	50S ribosomal protein L27
wCo_00241	tRNA	74				tRNA-Ile(gat)
wCo_00242	CDS	399				hypothetical protein
wCo_00243	CDS	378				hypothetical protein
wCo_00244	CDS	2727	sucA	1.2.4.2	COG0567	2-oxoglutarate dehydrogenase E1 component
wCo_00245	CDS	465				hypothetical protein
wCo_00246	CDS	252				hypothetical protein
wCo_00247	CDS	153				hypothetical protein
wCo_00248	CDS	1107				hypothetical protein
wCo_00249	CDS	456				hypothetical protein
wCo_00250	CDS	315				hypothetical protein
wCo_00251	CDS	1458	mrpD		COG0651	Na(+)/H(+) antiporter subunit D
wCo_00252	CDS	336				hypothetical protein
wCo_00253	CDS	189				hypothetical protein
wCo_00254	CDS	621				hypothetical protein
wCo_00255	CDS	819				hypothetical protein
wCo_00256	CDS	891	era		COG1159	GTPase Era
wCo_00257	CDS	195				hypothetical protein
wCo_00258	CDS	150				hypothetical protein
wCo_00259	CDS	1563	nusA		COG0195	Transcription termination/antitermination protein NusA
wCo_00260	CDS	2352	infB			Translation initiation factor IF-2
wCo_00261	CDS	399	rbfA			Ribosome-binding factor A
wCo_00262	CDS	858	ubiA	2.5.1.39	COG0382	4-hydroxybenzoate octaprenyltransferase
wCo_00263	CDS	1044	glnA	6.3.1.2	COG0174	Glutamine synthetase
wCo_00264	CDS	876				hypothetical protein
wCo_00265	CDS	702				hypothetical protein
wCo_00266	CDS	2007	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
wCo_00267	CDS	2340	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
wCo_00268	CDS	987	gpsA	1.1.1.94	COG0240	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
wCo_00269	CDS	177				hypothetical protein
wCo_00270	CDS	339				hypothetical protein
wCo_00271	CDS	780				hypothetical protein
wCo_00272	CDS	1131				hypothetical protein
wCo_00273	CDS	204				hypothetical protein
wCo_00274	CDS	789	sdhB	1.3.5.1	COG0479	Succinate dehydrogenase iron-sulfur subunit
wCo_00275	CDS	258				hypothetical protein
wCo_00276	CDS	252				hypothetical protein
wCo_00277	CDS	330				IS3 family transposase ISStau1
wCo_00278	CDS	237				hypothetical protein
wCo_00279	CDS	387				hypothetical protein
wCo_00280	CDS	1272	abaF			Fosfomycin resistance protein AbaF
wCo_00281	CDS	117				hypothetical protein
wCo_00282	CDS	1473				hypothetical protein
wCo_00283	CDS	417				hypothetical protein
wCo_00284	CDS	258				hypothetical protein
wCo_00285	CDS	252				hypothetical protein
wCo_00286	CDS	330				IS3 family transposase ISStau1
wCo_00287	CDS	246				hypothetical protein
wCo_00288	CDS	183				hypothetical protein
wCo_00289	CDS	870				hypothetical protein
wCo_00290	CDS	387				hypothetical protein
wCo_00291	CDS	930	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
wCo_00292	CDS	477	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
wCo_00293	CDS	1341		3.4.24.-	COG0612	putative zinc protease
wCo_00294	CDS	1326				hypothetical protein
wCo_00295	CDS	213				hypothetical protein
wCo_00296	CDS	531				hypothetical protein
wCo_00297	CDS	207				hypothetical protein
wCo_00298	CDS	906				hypothetical protein
wCo_00299	CDS	117				hypothetical protein
wCo_00300	CDS	978		1.3.1.103		2-haloacrylate reductase
wCo_00301	CDS	864				hypothetical protein
wCo_00302	CDS	1179	argD_2	2.6.1.11	COG4992	Acetylornithine aminotransferase
wCo_00303	CDS	1284				hypothetical protein
wCo_00304	CDS	273				hypothetical protein
wCo_00305	CDS	564	ubiX	2.5.1.129	COG0163	Flavin prenyltransferase UbiX
wCo_00306	CDS	888	folD			Bifunctional protein FolD protein
wCo_00307	CDS	405				hypothetical protein
wCo_00308	CDS	90				hypothetical protein
wCo_00309	CDS	345				hypothetical protein
wCo_00310	CDS	129				hypothetical protein
wCo_00311	CDS	282				hypothetical protein
wCo_00312	CDS	420				hypothetical protein
wCo_00313	CDS	423	pcaG	1.13.11.3	COG3485	Protocatechuate 3,4-dioxygenase alpha chain
wCo_00314	CDS	1236	hemA	2.3.1.37	COG0156	5-aminolevulinate synthase
wCo_00315	CDS	1926				hypothetical protein
wCo_00316	CDS	1032				hypothetical protein
wCo_00317	CDS	342	htpG_1		COG0326	Chaperone protein HtpG
wCo_00318	CDS	1374	htpG_2		COG0326	Chaperone protein HtpG
wCo_00319	CDS	327				hypothetical protein
wCo_00320	CDS	1032	idiA		COG1840	Iron deficiency-induced protein A
wCo_00321	CDS	498	nuoJ	7.1.1.-	COG0839	NADH-quinone oxidoreductase subunit J
wCo_00322	CDS	309	nuoK	7.1.1.-	COG0713	NADH-quinone oxidoreductase subunit K
wCo_00323	CDS	1854	nuoL	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
wCo_00324	CDS	1443	nuoM	7.1.1.-	COG1008	NADH-quinone oxidoreductase subunit M
wCo_00325	CDS	1389	ndhB_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
wCo_00326	CDS	516				hypothetical protein
wCo_00327	CDS	654				hypothetical protein
