locus_tag	ftype	length_bp	gene	EC_number	COG	product
wPpe_00001	CDS	1788	lepA	3.6.5.-	COG0481	Elongation factor 4
wPpe_00002	CDS	561	dcd	3.5.4.13	COG0717	dCTP deaminase
wPpe_00003	CDS	285	ihfA_1		COG0776	Integration host factor subunit alpha
wPpe_00004	CDS	306				hypothetical protein
wPpe_00005	CDS	1764	surA	5.2.1.8		Chaperone SurA
wPpe_00006	CDS	4125				hypothetical protein
wPpe_00007	CDS	1716	dnaG	2.7.7.-		DNA primase
wPpe_00008	CDS	1176	rnd_1	3.1.13.5	COG0349	Ribonuclease D
wPpe_00009	CDS	1218	iscS_1	2.8.1.7	COG1104	Cysteine desulfurase IscS
wPpe_00010	CDS	1269	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
wPpe_00011	CDS	597				hypothetical protein
wPpe_00012	CDS	765	ctaC	1.9.3.1	COG1622	Cytochrome c oxidase subunit 2
wPpe_00013	CDS	1533	ctaD	1.9.3.1	COG0843	Cytochrome c oxidase subunit 1
wPpe_00014	CDS	858	ctaB	2.5.1.141	COG0109	Protoheme IX farnesyltransferase
wPpe_00015	CDS	189				hypothetical protein
wPpe_00016	CDS	600				hypothetical protein
wPpe_00017	tRNA	76				tRNA-Arg(acg)
wPpe_00018	CDS	1116	dnaJ_1		COG0484	Chaperone protein DnaJ
wPpe_00019	CDS	537				hypothetical protein
wPpe_00020	CDS	1233	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
wPpe_00021	CDS	1302	tme	1.1.1.40	COG0280	NADP-dependent malic enzyme
wPpe_00022	CDS	186	rpmF		COG0333	50S ribosomal protein L32
wPpe_00023	CDS	1032	plsX	2.3.1.274	COG0416	Phosphate acyltransferase
wPpe_00024	CDS	942	fabH	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
wPpe_00025	CDS	375				hypothetical protein
wPpe_00026	CDS	699				hypothetical protein
wPpe_00027	CDS	807				hypothetical protein
wPpe_00028	CDS	429				hypothetical protein
wPpe_00029	CDS	696	tpiA	5.3.1.1		Triosephosphate isomerase
wPpe_00030	tRNA	74				tRNA-Thr(tgt)
wPpe_00031	CDS	798	rsmA	2.1.1.182		Ribosomal RNA small subunit methyltransferase A
wPpe_00032	CDS	630				hypothetical protein
wPpe_00033	CDS	378	dksA		COG1734	RNA polymerase-binding transcription factor DksA
wPpe_00034	CDS	726				hypothetical protein
wPpe_00035	CDS	324	hemA_1	2.3.1.37	COG0156	5-aminolevulinate synthase
wPpe_00036	CDS	135				hypothetical protein
wPpe_00037	CDS	927	dnaJ_2			Chaperone protein DnaJ
wPpe_00038	CDS	1191	hemA_2	2.3.1.37	COG0156	5-aminolevulinate synthase
wPpe_00039	CDS	2553	clpB			Chaperone protein ClpB
wPpe_00040	CDS	4677	gdh	1.4.1.2	COG2902	NAD-specific glutamate dehydrogenase
wPpe_00041	CDS	282				hypothetical protein
wPpe_00042	CDS	1380	pleD			Response regulator PleD
wPpe_00043	CDS	396				hypothetical protein
wPpe_00044	CDS	1383	gltX_1	6.1.1.17		Glutamate--tRNA ligase
wPpe_00045	CDS	1086				hypothetical protein
wPpe_00046	CDS	1953	accA1		COG4770	Acetyl-/propionyl-coenzyme A carboxylase alpha chain
wPpe_00047	CDS	384	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
wPpe_00048	CDS	516				hypothetical protein
wPpe_00049	CDS	207				hypothetical protein
wPpe_00050	CDS	582				hypothetical protein
wPpe_00051	CDS	588				hypothetical protein
wPpe_00052	CDS	2394	leuS	6.1.1.4		Leucine--tRNA ligase
wPpe_00053	CDS	357	GATC	6.3.5.-		Glutamyl-tRNA(Gln) amidotransferase subunit C, chloroplastic/mitochondrial
wPpe_00054	CDS	939	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
