locus_tag	ftype	length_bp	gene	EC_number	COG	product
wNleu_00001	tRNA	77				tRNA-Met(cat)
wNleu_00002	CDS	1848				hypothetical protein
wNleu_00003	CDS	813	rluD	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
wNleu_00004	CDS	351	dgkA	2.7.1.107	COG0818	Diacylglycerol kinase
wNleu_00005	CDS	828				hypothetical protein
wNleu_00006	CDS	1188	pgk/tpi		COG0126	Bifunctional PGK/TIM
wNleu_00007	CDS	522	yceJ		COG3038	Cytochrome b561 
wNleu_00008	CDS	1029		1.6.5.11	COG2070	NADH:quinone reductase
wNleu_00009	CDS	1113				hypothetical protein
wNleu_00010	CDS	375				hypothetical protein
wNleu_00011	CDS	2355	virB4_1		COG3451	Type IV secretion system protein virB4
wNleu_00012	CDS	2826				hypothetical protein
wNleu_00013	CDS	486				hypothetical protein
wNleu_00014	CDS	483				hypothetical protein
wNleu_00015	CDS	1347	pdhC	2.3.1.12		Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
wNleu_00016	CDS	900				hypothetical protein
wNleu_00017	CDS	1221				hypothetical protein
wNleu_00018	CDS	606	recR		COG0353	Recombination protein RecR
wNleu_00019	CDS	420	ndk	2.7.4.6		Nucleoside diphosphate kinase
wNleu_00020	CDS	783				hypothetical protein
wNleu_00021	CDS	1023	hemH	4.99.1.1	COG0276	Ferrochelatase
wNleu_00022	CDS	792				hypothetical protein
wNleu_00023	CDS	1161				hypothetical protein
wNleu_00024	CDS	555	hslV	3.4.25.2	COG5405	ATP-dependent protease subunit HslV
wNleu_00025	CDS	1491	hslU		COG1220	ATP-dependent protease ATPase subunit HslU
wNleu_00026	CDS	924				hypothetical protein
wNleu_00027	CDS	1008				hypothetical protein
wNleu_00028	CDS	261	acpP		COG0236	Acyl carrier protein
wNleu_00029	CDS	1272	fabF	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
wNleu_00030	CDS	1278	murA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
wNleu_00031	CDS	855	thyX	2.1.1.148	COG1351	Flavin-dependent thymidylate synthase
wNleu_00032	CDS	2877				hypothetical protein
wNleu_00033	CDS	2343	priA	3.6.4.-		primosomal protein N'
wNleu_00034	CDS	600	petA	7.1.1.8	COG0723	Ubiquinol-cytochrome c reductase iron-sulfur subunit
wNleu_00035	CDS	2703	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
wNleu_00036	tRNA	73				tRNA-Val(tac)
wNleu_00037	CDS	876	cpoB			Cell division coordinator CpoB
wNleu_00038	CDS	363				hypothetical protein
wNleu_00039	CDS	528	bioY		COG1268	Biotin transporter BioY
wNleu_00040	CDS	588	rutE	1.1.1.298		malonic semialdehyde reductase RutE
wNleu_00041	CDS	792	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
wNleu_00042	CDS	876	sucD	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
wNleu_00043	CDS	1152	sucC	6.2.1.5	COG0045	Succinate--CoA ligase [ADP-forming] subunit beta
wNleu_00044	CDS	201				hypothetical protein
wNleu_00045	tRNA	76				tRNA-Pro(tgg)
wNleu_00046	CDS	528			COG3039	IS5 family transposase ISWpi1
wNleu_00047	CDS	2577	polA	2.7.7.7		DNA polymerase I, thermostable
wNleu_00048	CDS	1131				hypothetical protein
wNleu_00049	CDS	780	xthA	3.1.11.2	COG0708	Exodeoxyribonuclease III
wNleu_00050	CDS	708				hypothetical protein
wNleu_00051	CDS	471				hypothetical protein
wNleu_00052	tRNA	86				tRNA-Leu(cag)
wNleu_00053	CDS	1419	tldD	3.4.-.-	COG0312	Metalloprotease TldD
wNleu_00054	CDS	1248	iscS_1	2.8.1.7	COG1104	Cysteine desulfurase IscS
wNleu_00055	CDS	228				hypothetical protein
wNleu_00056	CDS	633				hypothetical protein
wNleu_00057	CDS	1164	dxr	1.1.1.267		1-deoxy-D-xylulose 5-phosphate reductoisomerase
wNleu_00058	CDS	498				hypothetical protein
wNleu_00059	CDS	702	mkl		COG1127	putative ribonucleotide transport ATP-binding protein mkl
wNleu_00060	CDS	783	mlaE		COG0767	Intermembrane phospholipid transport system permease protein MlaE
wNleu_00061	CDS	195	rpmF		COG0333	50S ribosomal protein L32
wNleu_00062	CDS	1098	plsX	2.3.1.274	COG0416	Phosphate acyltransferase
wNleu_00063	CDS	909	fabH	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
wNleu_00064	CDS	1017		1.18.1.2	COG0492	Ferredoxin--NADP reductase
wNleu_00065	tRNA	89				tRNA-Ser(tga)
wNleu_00066	CDS	1545	mnmE	3.6.-.-		tRNA modification GTPase MnmE
wNleu_00067	CDS	510	nuoI	7.1.1.-	COG1143	NADH-quinone oxidoreductase subunit I
wNleu_00068	CDS	123				hypothetical protein
wNleu_00069	CDS	288				hypothetical protein
wNleu_00070	CDS	1902	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase
wNleu_00071	CDS	519	infC			Translation initiation factor IF-3
wNleu_00072	CDS	1254	nuoF	7.1.1.-		NADH-quinone oxidoreductase subunit F
wNleu_00073	tRNA	74				tRNA-Lys(ttt)
wNleu_00074	tRNA	76				tRNA-Ala(tgc)
wNleu_00075	CDS	1527				hypothetical protein
wNleu_00076	CDS	315				hypothetical protein
wNleu_00077	CDS	375				hypothetical protein
wNleu_00078	CDS	393	ccmE		COG2332	Cytochrome c-type biogenesis protein CcmE
wNleu_00079	CDS	138				hypothetical protein
wNleu_00080	CDS	894	birA	6.3.4.15		Bifunctional ligase/repressor BirA
wNleu_00081	CDS	1365	nuoN	7.1.1.-	COG1007	NADH-quinone oxidoreductase subunit N
wNleu_00082	CDS	1443	ndhD1	7.1.1.-	COG1008	NAD(P)H-quinone oxidoreductase chain 4 1
wNleu_00083	CDS	1848	nuoL	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
wNleu_00084	CDS	309	nuoK	7.1.1.-	COG0713	NADH-quinone oxidoreductase subunit K
wNleu_00085	CDS	588	nuoJ	7.1.1.-	COG0839	NADH-quinone oxidoreductase subunit J
wNleu_00086	CDS	429				hypothetical protein
wNleu_00087	CDS	1917	pcrA	3.6.4.12		ATP-dependent DNA helicase PcrA
wNleu_00088	CDS	213				hypothetical protein
wNleu_00089	CDS	402				hypothetical protein
wNleu_00090	CDS	129				hypothetical protein
wNleu_00091	CDS	204				hypothetical protein
wNleu_00092	CDS	1167	lysC	2.7.2.4	COG0527	Aspartate kinase Ask_LysC
wNleu_00093	CDS	366				hypothetical protein
wNleu_00094	CDS	1062				hypothetical protein
wNleu_00095	CDS	1275	adiC		COG0531	Arginine/agmatine antiporter
wNleu_00096	CDS	453				hypothetical protein
wNleu_00097	CDS	1035	asd2	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase 2
wNleu_00098	CDS	636				hypothetical protein
wNleu_00099	CDS	711		2.1.1.-		Putative TrmH family tRNA/rRNA methyltransferase
wNleu_00100	CDS	723	ybhL		COG0670	Inner membrane protein YbhL
wNleu_00101	CDS	537	ctaG		COG3175	Cytochrome c oxidase assembly protein CtaG
wNleu_00102	CDS	978		1.3.1.103		2-haloacrylate reductase
wNleu_00103	CDS	165				hypothetical protein
wNleu_00104	CDS	498				hypothetical protein
wNleu_00105	CDS	474				hypothetical protein
wNleu_00106	CDS	456				hypothetical protein
wNleu_00107	CDS	255				hypothetical protein
wNleu_00108	CDS	336				hypothetical protein
wNleu_00109	CDS	798				hypothetical protein
wNleu_00110	CDS	1218				hypothetical protein
wNleu_00111	CDS	687				hypothetical protein
wNleu_00112	CDS	1923				hypothetical protein
wNleu_00113	CDS	210				hypothetical protein
wNleu_00114	CDS	921				hypothetical protein
wNleu_00115	CDS	195				hypothetical protein
wNleu_00116	CDS	1464				hypothetical protein
wNleu_00117	CDS	558				hypothetical protein
wNleu_00118	CDS	1188	gpFI_1			Putative prophage major tail sheath protein
wNleu_00119	CDS	501				hypothetical protein
wNleu_00120	CDS	252				hypothetical protein
wNleu_00121	CDS	2172				hypothetical protein
wNleu_00122	CDS	408				hypothetical protein
wNleu_00123	CDS	201				hypothetical protein
wNleu_00124	CDS	969				hypothetical protein
wNleu_00125	CDS	528				hypothetical protein
wNleu_00126	CDS	276				hypothetical protein
wNleu_00127	CDS	921				hypothetical protein
wNleu_00128	CDS	2601				hypothetical protein
wNleu_00129	CDS	750	glmU_1		COG1207	Bifunctional protein GlmU
