locus_tag	ftype	length_bp	gene	EC_number	COG	product
wLsig_00001	CDS	1002	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
wLsig_00002	CDS	1194	aatB	2.6.1.1	COG0436	Aspartate aminotransferase
wLsig_00003	CDS	270				hypothetical protein
wLsig_00004	CDS	696	elbB	4.2.1.-	COG3155	Glyoxalase ElbB
wLsig_00005	CDS	348				hypothetical protein
wLsig_00006	CDS	162				hypothetical protein
wLsig_00007	CDS	930	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
wLsig_00008	CDS	237				hypothetical protein
wLsig_00009	CDS	1275	adiC_1		COG0531	Arginine/agmatine antiporter
wLsig_00010	CDS	1278	adiC_2		COG0531	Arginine/agmatine antiporter
wLsig_00011	CDS	414				hypothetical protein
wLsig_00012	CDS	1062	asd2	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase 2
wLsig_00013	CDS	198				hypothetical protein
wLsig_00014	CDS	162				hypothetical protein
wLsig_00015	CDS	525	ygfA	6.3.3.2	COG0212	5-formyltetrahydrofolate cyclo-ligase
wLsig_00016	CDS	630				hypothetical protein
wLsig_00017	CDS	1386	purF	2.4.2.14	COG0034	Amidophosphoribosyltransferase
wLsig_00018	CDS	510		3.2.2.-	COG2094	Putative 3-methyladenine DNA glycosylase
wLsig_00019	CDS	240				hypothetical protein
wLsig_00020	CDS	951	mdh	1.1.1.37	COG0039	Malate dehydrogenase
wLsig_00021	CDS	573	nqo5	7.1.1.-	COG0852	NADH-quinone oxidoreductase chain 5
wLsig_00022	CDS	507	nuoB	7.1.1.-	COG0377	NADH-quinone oxidoreductase subunit B
wLsig_00023	CDS	354	ndhC	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 3
wLsig_00024	CDS	369			COG0537	putative HIT-like protein
wLsig_00025	CDS	969				hypothetical protein
wLsig_00026	CDS	1362	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
wLsig_00027	CDS	540				hypothetical protein
wLsig_00028	tRNA	75				tRNA-Arg(tct)
wLsig_00029	CDS	300				hypothetical protein
wLsig_00030	CDS	2379	gyrB	5.6.2.2		DNA gyrase subunit B
wLsig_00031	CDS	1476	gatA	6.3.5.7		Glutamyl-tRNA(Gln) amidotransferase subunit A
wLsig_00032	CDS	930				hypothetical protein
wLsig_00033	CDS	912				hypothetical protein
wLsig_00034	CDS	1758	hscA		COG0443	Chaperone protein HscA
wLsig_00035	CDS	456	hscB		COG1076	Co-chaperone protein HscB 
wLsig_00036	CDS	405	iscA		COG0316	Iron-binding protein IscA
wLsig_00037	CDS	393	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
wLsig_00038	CDS	912	ftsY		COG0552	Signal recognition particle receptor FtsY
wLsig_00039	CDS	2376	priA	3.6.4.-		primosomal protein N'
wLsig_00040	CDS	207				hypothetical protein
wLsig_00041	CDS	336				hypothetical protein
wLsig_00042	CDS	294				hypothetical protein
wLsig_00043	CDS	1035	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
wLsig_00044	CDS	723	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
wLsig_00045	CDS	708	trmD	2.1.1.228	COG0336	tRNA (guanine-N(1)-)-methyltransferase
wLsig_00046	CDS	378	rplS		COG0335	50S ribosomal protein L19
wLsig_00047	CDS	288				hypothetical protein
wLsig_00048	CDS	1251				hypothetical protein
wLsig_00049	CDS	798	purL_1	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase
wLsig_00050	CDS	567	plsY	2.3.1.275	COG0344	Glycerol-3-phosphate acyltransferase
wLsig_00051	CDS	1467	alsT_1		COG1115	Amino-acid carrier protein AlsT
wLsig_00052	CDS	279				hypothetical protein
wLsig_00053	CDS	138				hypothetical protein
wLsig_00054	CDS	771				hypothetical protein
wLsig_00055	CDS	693	psd	4.1.1.65	COG0688	Phosphatidylserine decarboxylase proenzyme
wLsig_00056	CDS	453	recA		COG0468	Protein RecA
wLsig_00057	CDS	738	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
wLsig_00058	CDS	1152	dnaN			Beta sliding clamp
wLsig_00059	CDS	498				hypothetical protein
wLsig_00060	CDS	894	rpoH		COG0568	RNA polymerase sigma factor RpoH
wLsig_00061	CDS	738				hypothetical protein
wLsig_00062	CDS	240				hypothetical protein
wLsig_00063	tRNA	73				tRNA-Val(tac)
wLsig_00064	CDS	2703	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
wLsig_00065	CDS	603	petA	7.1.1.8	COG0723	Ubiquinol-cytochrome c reductase iron-sulfur subunit
wLsig_00066	CDS	210				hypothetical protein
wLsig_00067	CDS	1323	gltX_1	6.1.1.17		Glutamate--tRNA ligase
wLsig_00068	CDS	198				hypothetical protein
