locus_tag	ftype	length_bp	gene	EC_number	COG	product
wOc_00001	CDS	507				hypothetical protein
wOc_00002	CDS	753	rlmB	2.1.1.185	COG0566	23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
wOc_00003	CDS	723	ybhL_1		COG0670	Inner membrane protein YbhL
wOc_00004	CDS	537	ctaG		COG3175	Cytochrome c oxidase assembly protein CtaG
wOc_00005	CDS	735				hypothetical protein
wOc_00006	CDS	1395	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
wOc_00007	CDS	1242	aar	5.1.1.1	COG0626	L-alanine/L-glutamate racemase
wOc_00008	CDS	297	bolA		COG0271	DNA-binding transcriptional regulator BolA
wOc_00009	CDS	1923	dnaK		COG0443	Chaperone protein DnaK
wOc_00010	CDS	1773	rne	3.1.26.12	COG1530	Ribonuclease E
wOc_00011	CDS	201	rpmG		COG0267	50S ribosomal protein L33
wOc_00012	CDS	285				hypothetical protein
wOc_00013	tRNA	74				tRNA-Met(cat)
wOc_00014	CDS	723	recO			DNA repair protein RecO
wOc_00015	CDS	375	rpsL			30S ribosomal protein S12
wOc_00016	CDS	480	rpsG		COG0049	30S ribosomal protein S7
wOc_00017	CDS	2067	fusA		COG0480	Elongation factor G
wOc_00018	CDS	1365				hypothetical protein
wOc_00019	CDS	306				hypothetical protein
wOc_00020	CDS	948	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
wOc_00021	CDS	1212	proP_1			Proline/betaine transporter
wOc_00022	CDS	825				hypothetical protein
wOc_00023	CDS	249				hypothetical protein
wOc_00024	CDS	1401	der			GTPase Der
wOc_00025	CDS	477	dsbB			Disulfide bond formation protein B
wOc_00026	CDS	543	coq7	1.14.99.60	COG2941	3-demethoxyubiquinol 3-hydroxylase
wOc_00027	CDS	516	ppa	3.6.1.1	COG0221	Inorganic pyrophosphatase
wOc_00028	tRNA	92				tRNA-Ser(gct)
wOc_00029	CDS	1239				hypothetical protein
wOc_00030	CDS	1788				hypothetical protein
wOc_00031	CDS	591	gmk	2.7.4.8	COG0194	Guanylate kinase
wOc_00032	CDS	1116	mrdB	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase MrdB
wOc_00033	CDS	1467	mrpD		COG0651	Na(+)/H(+) antiporter subunit D
wOc_00034	CDS	315				hypothetical protein
wOc_00035	CDS	456				hypothetical protein
wOc_00036	CDS	1365	alsT_1		COG1115	Amino-acid carrier protein AlsT
wOc_00037	CDS	504				hypothetical protein
wOc_00038	CDS	1653	groL5			60 kDa chaperonin 5
wOc_00039	CDS	291	groS		COG0234	10 kDa chaperonin
wOc_00040	CDS	795	ygfZ			tRNA-modifying protein YgfZ
wOc_00041	CDS	1485	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
wOc_00042	CDS	885				hypothetical protein
wOc_00043	CDS	1281				hypothetical protein
wOc_00044	CDS	1191	argD_1	2.6.1.11	COG4992	Acetylornithine aminotransferase
wOc_00045	CDS	1428	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
wOc_00046	CDS	468	bcp	1.11.1.15	COG1225	Putative peroxiredoxin bcp
wOc_00047	CDS	1080	recF		COG1195	DNA replication and repair protein RecF
wOc_00048	CDS	2445				hypothetical protein
wOc_00049	CDS	630				hypothetical protein
wOc_00050	CDS	291				hypothetical protein
wOc_00051	CDS	1077				hypothetical protein
wOc_00052	CDS	456	hspA		COG0071	Spore protein SP21
wOc_00053	CDS	180				hypothetical protein
wOc_00054	CDS	2337				hypothetical protein
wOc_00055	CDS	2346				hypothetical protein
wOc_00056	CDS	975				hypothetical protein
wOc_00057	CDS	2412				hypothetical protein
wOc_00058	CDS	1428				hypothetical protein
wOc_00059	CDS	957				hypothetical protein
wOc_00060	CDS	537	rnhA_1	3.1.26.4	COG0328	Ribonuclease HI
wOc_00061	CDS	1665	mutL_1			DNA mismatch repair protein MutL
wOc_00062	CDS	135	mutL_2			DNA mismatch repair protein MutL
wOc_00063	CDS	939				hypothetical protein
wOc_00064	CDS	675				hypothetical protein
wOc_00065	CDS	1197				hypothetical protein
wOc_00066	CDS	909				hypothetical protein
wOc_00067	CDS	981				hypothetical protein
wOc_00068	CDS	1029				hypothetical protein
wOc_00069	CDS	402	pld	3.1.4.4		Phospholipase D
wOc_00070	CDS	210				hypothetical protein
wOc_00071	CDS	537				hypothetical protein
wOc_00072	CDS	762				hypothetical protein
wOc_00073	CDS	162				hypothetical protein
wOc_00074	CDS	210				hypothetical protein
wOc_00075	CDS	348				hypothetical protein
wOc_00076	CDS	2319				hypothetical protein
