locus_tag	ftype	length_bp	gene	EC_number	COG	product
Mbr_00001	CDS	792	ctaC	1.9.3.1	COG1622	Cytochrome c oxidase subunit 2
Mbr_00002	CDS	1551	ctaD	1.9.3.1	COG0843	Cytochrome c oxidase subunit 1
Mbr_00003	CDS	885	ctaB	2.5.1.141	COG0109	Protoheme IX farnesyltransferase
Mbr_00004	CDS	903	argF	2.1.3.3	COG0078	Ornithine carbamoyltransferase
Mbr_00005	CDS	1110	recF		COG1195	DNA replication and repair protein RecF
Mbr_00006	CDS	1533	prsE			Type I secretion system membrane fusion protein PrsE
Mbr_00007	CDS	1245	glyA	2.1.2.1		Serine hydroxymethyltransferase
Mbr_00008	CDS	600				hypothetical protein
Mbr_00009	CDS	1920	pcrA	3.6.4.12		ATP-dependent DNA helicase PcrA
Mbr_00010	CDS	702				hypothetical protein
Mbr_00011	CDS	714	ispD	2.7.7.60	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
Mbr_00012	CDS	1110				hypothetical protein
Mbr_00013	CDS	1287	bepA	3.4.-.-	COG4783	Beta-barrel assembly-enhancing protease
Mbr_00014	CDS	567	nfuA			Fe/S biogenesis protein NfuA
Mbr_00015	CDS	255				hypothetical protein
Mbr_00016	CDS	735	bamD		COG4105	Outer membrane protein assembly factor BamD
Mbr_00017	CDS	363				hypothetical protein
Mbr_00018	CDS	453	ybeY	3.1.-.-		Endoribonuclease YbeY
Mbr_00019	CDS	399				hypothetical protein
Mbr_00020	CDS	1206	ftsZ			Cell division protein FtsZ
Mbr_00021	CDS	405				hypothetical protein
Mbr_00022	CDS	756				hypothetical protein
Mbr_00023	CDS	837	fadN	1.1.1.35	COG1024	putative 3-hydroxyacyl-CoA dehydrogenase
Mbr_00024	CDS	1188	sucB_1	2.3.1.61	COG0508	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
Mbr_00025	CDS	339				hypothetical protein
Mbr_00026	CDS	1308				hypothetical protein
Mbr_00027	CDS	999	hemB	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase
Mbr_00028	CDS	618				hypothetical protein
Mbr_00029	CDS	399	ndhC	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 3
Mbr_00030	CDS	540	nuoB	7.1.1.-	COG0377	NADH-quinone oxidoreductase subunit B
Mbr_00031	CDS	330				hypothetical protein
Mbr_00032	CDS	867				hypothetical protein
Mbr_00033	CDS	927	gshB	6.3.2.3	COG0189	Glutathione synthetase
Mbr_00034	CDS	582				hypothetical protein
Mbr_00035	tRNA	83				tRNA-Leu(tag)
Mbr_00036	CDS	360			COG0537	putative HIT-like protein
Mbr_00037	CDS	1236				hypothetical protein
Mbr_00038	CDS	2421	mutS		COG0249	DNA mismatch repair protein MutS
Mbr_00039	CDS	870				hypothetical protein
Mbr_00040	CDS	288				hypothetical protein
Mbr_00041	CDS	381				hypothetical protein
Mbr_00042	CDS	909				hypothetical protein
Mbr_00043	CDS	1026	nuoH	7.1.1.-	COG1005	NADH-quinone oxidoreductase subunit H
Mbr_00044	CDS	219				hypothetical protein
Mbr_00045	CDS	753	petC		COG2857	Cytochrome c1
Mbr_00046	CDS	1209	petB		COG1290	Cytochrome b
Mbr_00047	CDS	570	petA	7.1.1.8	COG0723	Ubiquinol-cytochrome c reductase iron-sulfur subunit
Mbr_00048	CDS	984		1.3.1.103		2-haloacrylate reductase
Mbr_00049	CDS	1623	rnj1	3.1.-.-		Ribonuclease J 1
Mbr_00050	CDS	447	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
Mbr_00051	CDS	1539	lysS	6.1.1.6	COG1384	Lysine--tRNA ligase
Mbr_00052	CDS	1176				hypothetical protein
Mbr_00053	tRNA	76				tRNA-Arg(ccg)
Mbr_00054	CDS	336				hypothetical protein
Mbr_00055	CDS	825	yqfL	2.7.11.32	COG1806	Putative pyruvate, phosphate dikinase regulatory protein
Mbr_00056	CDS	1092				hypothetical protein
Mbr_00057	CDS	717	ubiG	2.1.1.222	COG2227	Ubiquinone biosynthesis O-methyltransferase
