locus_tag	ftype	length_bp	gene	EC_number	COG	product
wMel_00001	CDS	1383	dnaA_1			Chromosomal replication initiator protein DnaA
wMel_00002	CDS	1275				hypothetical protein
wMel_00003	tRNA	88				tRNA-Leu(gag)
wMel_00004	CDS	1083	ribBA	3.5.4.25		Riboflavin biosynthesis protein RibBA
wMel_00005	CDS	681	virB8		COG3736	Type IV secretion system protein virB8
wMel_00006	CDS	801	virB9		COG3504	Type IV secretion system protein virB9
wMel_00007	CDS	1461				hypothetical protein
wMel_00008	CDS	993			COG0630	Type IV secretion system protein VirB11
wMel_00009	CDS	1947				hypothetical protein
wMel_00010	CDS	849				hypothetical protein
wMel_00011	CDS	840	prmC	2.1.1.297	COG2890	Release factor glutamine methyltransferase
wMel_00012	CDS	375	rpsL			30S ribosomal protein S12
wMel_00013	CDS	480	rpsG		COG0049	30S ribosomal protein S7
wMel_00014	CDS	2076	fusA		COG0480	Elongation factor G
wMel_00015	CDS	1173	tufA_1		COG0050	Elongation factor Tu
wMel_00016	tRNA	74				tRNA-Trp(cca)
wMel_00017	CDS	837	nusG			Transcription termination/antitermination protein NusG
wMel_00018	CDS	441	rplK		COG0080	50S ribosomal protein L11
wMel_00019	CDS	654	rplA		COG0081	50S ribosomal protein L1
wMel_00020	CDS	519	rplJ		COG0244	50S ribosomal protein L10
wMel_00021	CDS	402	rplL			50S ribosomal protein L7/L12
wMel_00022	CDS	8514	rpoBC	2.7.7.6	COG0085	Bifunctional DNA-directed RNA polymerase subunit beta-beta'
wMel_00023	CDS	963	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
wMel_00024	CDS	540				hypothetical protein
wMel_00025	CDS	477				hypothetical protein
wMel_00026	CDS	141				hypothetical protein
wMel_00027	CDS	1299	serS	6.1.1.11	COG0172	Serine--tRNA ligase
wMel_00028	CDS	1272	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
wMel_00029	CDS	273				hypothetical protein
wMel_00030	CDS	1263				hypothetical protein
wMel_00031	CDS	618				hypothetical protein
wMel_00032	CDS	867				hypothetical protein
wMel_00033	CDS	927	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
wMel_00034	CDS	354	GATC	6.3.5.-		Glutamyl-tRNA(Gln) amidotransferase subunit C, chloroplastic/mitochondrial
wMel_00035	CDS	1263	tolB		COG0823	Tol-Pal system protein TolB
wMel_00036	CDS	1668	rnj1	3.1.-.-		Ribonuclease J 1
wMel_00037	CDS	1119	dnaJ		COG0484	Chaperone protein DnaJ
wMel_00038	tRNA	78				tRNA-Arg(acg)
wMel_00039	CDS	636				hypothetical protein
wMel_00040	CDS	141				hypothetical protein
wMel_00041	CDS	114				hypothetical protein
wMel_00042	CDS	411				hypothetical protein
wMel_00043	CDS	687				hypothetical protein
wMel_00044	CDS	342			COG3039	IS5 family transposase ISWpi1
wMel_00045	CDS	381			COG3039	IS5 family transposase ISWpi1
wMel_00046	CDS	402				hypothetical protein
wMel_00047	CDS	801				hypothetical protein
wMel_00048	CDS	408				hypothetical protein
wMel_00049	CDS	318			COG3385	IS4 family transposase ISWosp2
wMel_00050	CDS	168				hypothetical protein
wMel_00051	CDS	258				hypothetical protein
wMel_00052	CDS	642				hypothetical protein
wMel_00053	CDS	1539	pepA	3.4.11.10		cytosol aminopeptidase
wMel_00054	CDS	1188				hypothetical protein
wMel_00055	CDS	306	ihfA		COG0776	Integration host factor subunit alpha
wMel_00056	CDS	327				hypothetical protein
wMel_00057	CDS	597				hypothetical protein
wMel_00058	CDS	2517	leuS	6.1.1.4		Leucine--tRNA ligase
wMel_00059	CDS	636				hypothetical protein
wMel_00060	CDS	165				hypothetical protein
wMel_00061	CDS	162				hypothetical protein
wMel_00062	CDS	198				hypothetical protein
wMel_00063	CDS	294				hypothetical protein
wMel_00064	CDS	708	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
wMel_00065	CDS	312			COG0776	DNA-binding protein HRL53
wMel_00066	CDS	456	rpsI		COG0103	30S ribosomal protein S9
wMel_00067	CDS	459	rplM		COG0102	50S ribosomal protein L13
wMel_00068	CDS	1224	bepC			Outer membrane efflux protein BepC
wMel_00069	CDS	576				hypothetical protein
wMel_00070	CDS	564	rlmE	2.1.1.166	COG0293	Ribosomal RNA large subunit methyltransferase E
wMel_00071	CDS	2403	smc_1			Chromosome partition protein Smc
wMel_00072	CDS	312				hypothetical protein
wMel_00073	CDS	483				hypothetical protein
wMel_00074	CDS	411				hypothetical protein
wMel_00075	CDS	390				hypothetical protein
wMel_00076	CDS	816				hypothetical protein
wMel_00077	CDS	165				hypothetical protein
wMel_00078	CDS	162				hypothetical protein
wMel_00079	CDS	198				hypothetical protein
wMel_00080	CDS	294				hypothetical protein
wMel_00081	CDS	1173				hypothetical protein
wMel_00082	CDS	816				hypothetical protein
wMel_00083	CDS	786	fabI	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
wMel_00084	CDS	1506	secD		COG0342	Protein translocase subunit SecD
wMel_00085	CDS	153				hypothetical protein
wMel_00086	CDS	147				hypothetical protein
wMel_00087	CDS	132				hypothetical protein
wMel_00088	CDS	135				hypothetical protein
wMel_00089	CDS	1494	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
wMel_00090	CDS	861	rsmA	2.1.1.182		Ribosomal RNA small subunit methyltransferase A
wMel_00091	tRNA	74				tRNA-Thr(tgt)
wMel_00092	CDS	690	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
wMel_00093	CDS	1089				hypothetical protein
wMel_00094	CDS	375			COG1146	Ferredoxin 1
wMel_00095	CDS	648				hypothetical protein
wMel_00096	CDS	954	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
wMel_00097	CDS	759	ftsQ			Cell division protein FtsQ
wMel_00098	CDS	171				hypothetical protein
wMel_00099	CDS	111				hypothetical protein
wMel_00100	CDS	111				hypothetical protein
wMel_00101	CDS	111				hypothetical protein
wMel_00102	CDS	1107	dacA	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacA
wMel_00103	CDS	315	gdx_1			Guanidinium exporter
wMel_00104	CDS	345	gdx_2			Guanidinium exporter
wMel_00105	CDS	285			COG3385	IS4 family transposase ISWosp8
wMel_00106	CDS	282			COG3385	IS4 family transposase ISWosp8
wMel_00107	CDS	3141	putA		COG0506	Bifunctional protein PutA
wMel_00108	CDS	2586	acn	4.2.1.3	COG1048	Aconitate hydratase A
wMel_00109	CDS	504	secB		COG1952	Protein-export protein SecB
wMel_00110	CDS	651				hypothetical protein
wMel_00111	CDS	696	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
wMel_00112	CDS	609	ypmQ		COG1999	SCO1 protein 
wMel_00113	CDS	2430	gyrB	5.6.2.2		DNA gyrase subunit B
wMel_00114	CDS	354				hypothetical protein
wMel_00115	CDS	165				hypothetical protein
wMel_00116	CDS	1329			COG3385	IS4 family transposase ISWen1
wMel_00117	CDS	1281	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
wMel_00118	CDS	621				hypothetical protein
wMel_00119	CDS	489				hypothetical protein
wMel_00120	CDS	2115				hypothetical protein
wMel_00121	CDS	279				hypothetical protein
wMel_00122	CDS	276				hypothetical protein
wMel_00123	CDS	222				hypothetical protein
wMel_00124	CDS	312				hypothetical protein
wMel_00125	CDS	222				hypothetical protein
wMel_00126	CDS	219				hypothetical protein
wMel_00127	CDS	438				hypothetical protein
wMel_00128	tmRNA	336	ssrA			transfer-messenger RNA, SsrA
wMel_00129	CDS	591				hypothetical protein
wMel_00130	CDS	597	ribE	2.5.1.9		Riboflavin synthase
wMel_00131	CDS	1731				hypothetical protein
wMel_00132	CDS	1044	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
wMel_00133	CDS	1293	glmU_1			Bifunctional protein GlmU
wMel_00134	CDS	303	rplU		COG0261	50S ribosomal protein L21
wMel_00135	CDS	270	rpmA		COG0211	50S ribosomal protein L27
wMel_00136	tRNA	77				tRNA-Ile(gat)
wMel_00137	CDS	1173	metK	2.5.1.6	COG0192	S-adenosylmethionine synthase
wMel_00138	CDS	381			COG3039	IS5 family transposase ISWpi1
wMel_00139	CDS	342			COG3039	IS5 family transposase ISWpi1
wMel_00140	CDS	672	tenA_1	3.5.99.2	COG0819	Aminopyrimidine aminohydrolase
wMel_00141	CDS	660	tenA_2	3.5.99.2	COG0819	Aminopyrimidine aminohydrolase
wMel_00142	CDS	828	ctaE	1.9.3.1	COG1845	Cytochrome c oxidase subunit 3
wMel_00143	CDS	489	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
wMel_00144	CDS	468		3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
wMel_00145	CDS	1425	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
wMel_00146	CDS	2844				hypothetical protein
wMel_00147	CDS	420				hypothetical protein
wMel_00148	CDS	1374	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
wMel_00149	CDS	657				hypothetical protein
wMel_00150	CDS	657				hypothetical protein
wMel_00151	CDS	168	tatA			Sec-independent protein translocase protein TatA
wMel_00152	CDS	774	fbpC2	7.2.2.7	COG3842	Fe(3+) ions import ATP-binding protein FbpC 2
wMel_00153	tRNA	77				tRNA-Arg(cct)
wMel_00154	CDS	1818	uvrC		COG0322	UvrABC system protein C
wMel_00155	CDS	2118	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
wMel_00156	CDS	840	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
wMel_00157	CDS	759				hypothetical protein
wMel_00158	CDS	996	hemB	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase
wMel_00159	CDS	1026	nuoH	7.1.1.-	COG1005	NADH-quinone oxidoreductase subunit H
wMel_00160	CDS	2070	nqo3	7.1.1.-	COG1034	NADH-quinone oxidoreductase chain 3
wMel_00161	CDS	213				hypothetical protein
wMel_00162	CDS	216				hypothetical protein
wMel_00163	CDS	822				hypothetical protein
wMel_00164	CDS	540	def	3.5.1.88		Peptide deformylase
wMel_00165	CDS	1239	ftsA		COG0849	Cell division protein FtsA
wMel_00166	CDS	792	map	3.4.11.18	COG0024	Methionine aminopeptidase
wMel_00167	CDS	1248	proP_1			Proline/betaine transporter
wMel_00168	CDS	945	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
wMel_00169	CDS	312				hypothetical protein
wMel_00170	CDS	300				hypothetical protein
wMel_00171	CDS	612	rplY			50S ribosomal protein L25
wMel_00172	CDS	549	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
wMel_00173	CDS	963				IS481 family transposase ISWpi4
wMel_00174	CDS	1149	ubiL	1.14.13.-	COG0654	Ubiquinone hydroxylase UbiL
wMel_00175	CDS	525				hypothetical protein
wMel_00176	CDS	1023	apbC		COG0489	Iron-sulfur cluster carrier protein
wMel_00177	CDS	411				hypothetical protein
wMel_00178	CDS	324				hypothetical protein
wMel_00179	CDS	294				hypothetical protein
wMel_00180	CDS	198				hypothetical protein
wMel_00181	CDS	162				hypothetical protein
wMel_00182	CDS	165				hypothetical protein
wMel_00183	CDS	1425				hypothetical protein
wMel_00184	CDS	588	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
wMel_00185	CDS	1179	rnd_1	3.1.13.5	COG0349	Ribonuclease D
wMel_00186	CDS	2496	mutS		COG0249	DNA mismatch repair protein MutS
wMel_00187	CDS	807				hypothetical protein
wMel_00188	CDS	183				hypothetical protein
wMel_00189	CDS	114				hypothetical protein
wMel_00190	CDS	708				hypothetical protein
wMel_00191	CDS	1563	guaA	6.3.5.2		GMP synthase [glutamine-hydrolyzing]
wMel_00192	CDS	1785	nrdZ	1.17.4.1		Vitamin B12-dependent ribonucleoside-diphosphate reductase
wMel_00193	CDS	1077	COQ3_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
wMel_00194	rRNA	2756				23S ribosomal RNA
wMel_00195	rRNA	100				5S ribosomal RNA
wMel_00196	CDS	264				hypothetical protein
wMel_00197	CDS	138				hypothetical protein
wMel_00198	CDS	1101				hypothetical protein
wMel_00199	CDS	1452	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
wMel_00200	CDS	345	atpC		COG0355	ATP synthase epsilon chain
wMel_00201	CDS	219				hypothetical protein
wMel_00202	CDS	153				hypothetical protein
wMel_00203	CDS	147				hypothetical protein
wMel_00204	CDS	135				hypothetical protein
wMel_00205	CDS	135				hypothetical protein
wMel_00206	CDS	711	fucA	4.1.2.17		L-fuculose phosphate aldolase
wMel_00207	CDS	624				hypothetical protein
wMel_00208	CDS	576	OSGEPL1	2.3.1.234		tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial
wMel_00209	CDS	1131				hypothetical protein
wMel_00210	CDS	990	nrdB	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta
wMel_00211	CDS	339	bamE			Outer membrane protein assembly factor BamE
wMel_00212	CDS	621				hypothetical protein
wMel_00213	CDS	342			COG3039	IS5 family transposase ISWpi1
wMel_00214	CDS	381			COG3039	IS5 family transposase ISWpi1
wMel_00215	CDS	1032	yhcG	3.1.-.-	COG4804	Putative nuclease YhcG
wMel_00216	CDS	141				hypothetical protein
wMel_00217	CDS	723	recO			DNA repair protein RecO
wMel_00218	CDS	1383	pleD			Response regulator PleD
wMel_00219	CDS	297				hypothetical protein
wMel_00220	CDS	4725	gdhB	1.4.1.2	COG2902	NAD-specific glutamate dehydrogenase
wMel_00221	CDS	2562	clpB			Chaperone protein ClpB
wMel_00222	CDS	444				hypothetical protein
wMel_00223	CDS	1830	typA		COG1217	GTP-binding protein TypA/BipA
wMel_00224	CDS	603	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
wMel_00225	CDS	1185	gltP		COG1301	Proton/glutamate-aspartate symporter
wMel_00226	CDS	1326	pyrC	3.5.2.3		Dihydroorotase
wMel_00227	CDS	1242				hypothetical protein
wMel_00228	CDS	189				hypothetical protein
wMel_00229	CDS	2004	ccmF		COG1138	Cytochrome c-type biogenesis protein CcmF
wMel_00230	CDS	1572				hypothetical protein
wMel_00231	CDS	279				hypothetical protein
