locus_tag	ftype	length_bp	gene	EC_number	COG	product
Ama_00001	CDS	1893				hypothetical protein
Ama_00002	CDS	501	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
Ama_00003	CDS	570				hypothetical protein
Ama_00004	CDS	1071	mrdB	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase MrdB
Ama_00005	CDS	297	ihfA		COG0776	Integration host factor subunit alpha
Ama_00006	tRNA	78				tRNA-Pro(ggg)
Ama_00007	CDS	936				hypothetical protein
Ama_00008	CDS	411				hypothetical protein
Ama_00009	tRNA	89				tRNA-Ser(tga)
Ama_00010	CDS	1425	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
Ama_00011	CDS	990	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
Ama_00012	CDS	636	grpE			Protein GrpE
Ama_00013	CDS	1116	ribD		COG0117	Riboflavin biosynthesis protein RibD
Ama_00014	CDS	1683	pyrG	6.3.4.2	COG0504	CTP synthase
Ama_00015	CDS	309				hypothetical protein
Ama_00016	CDS	153				hypothetical protein
Ama_00017	CDS	939	xerD		COG4974	Tyrosine recombinase XerD
Ama_00018	CDS	675	lolD	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
Ama_00019	CDS	2253	tme	1.1.1.40	COG0280	NADP-dependent malic enzyme
Ama_00020	CDS	2697				hypothetical protein
Ama_00021	CDS	1515	mrpD		COG0651	Na(+)/H(+) antiporter subunit D
Ama_00022	CDS	309				hypothetical protein
Ama_00023	CDS	162				hypothetical protein
Ama_00024	CDS	387				hypothetical protein
Ama_00025	CDS	108				hypothetical protein
Ama_00026	CDS	234				hypothetical protein
Ama_00027	CDS	588				hypothetical protein
Ama_00028	CDS	2442				hypothetical protein
Ama_00029	CDS	210				hypothetical protein
Ama_00030	CDS	777	thiG	2.8.1.10	COG2022	Thiazole synthase
Ama_00031	CDS	411				hypothetical protein
Ama_00032	CDS	1326	gltX_1	6.1.1.17	COG0008	Glutamate--tRNA ligase
Ama_00033	tRNA	74				tRNA-His(gtg)
Ama_00034	CDS	1206	surA	5.2.1.8		Chaperone SurA
Ama_00035	CDS	558	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
Ama_00036	CDS	378				hypothetical protein
Ama_00037	CDS	2028				hypothetical protein
Ama_00038	CDS	1287	proP_1			Proline/betaine transporter
Ama_00039	CDS	270	rpsP			30S ribosomal protein S16
Ama_00040	CDS	1287	glmU		COG1207	Bifunctional protein GlmU
Ama_00041	CDS	708	kduD	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
Ama_00042	CDS	1050	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
Ama_00043	CDS	387	rplT		COG0292	50S ribosomal protein L20
Ama_00044	CDS	201	rpmI		COG0291	50S ribosomal protein L35
Ama_00045	CDS	600				hypothetical protein
Ama_00046	CDS	1365	rho_1	3.6.4.-	COG1158	Transcription termination factor Rho
Ama_00047	CDS	597				hypothetical protein
Ama_00048	CDS	114				hypothetical protein
Ama_00049	CDS	1557				hypothetical protein
Ama_00050	CDS	234				hypothetical protein
Ama_00051	CDS	108				hypothetical protein
Ama_00052	CDS	381				hypothetical protein
Ama_00053	CDS	90				hypothetical protein
Ama_00054	CDS	219				hypothetical protein
Ama_00055	CDS	1071	idiA		COG1840	Iron deficiency-induced protein A
Ama_00056	CDS	150				hypothetical protein
Ama_00057	CDS	3990				hypothetical protein
Ama_00058	CDS	6309				hypothetical protein
Ama_00059	tRNA	73				tRNA-Ala(tgc)
Ama_00060	CDS	456	nrdR		COG1327	Transcriptional repressor NrdR
Ama_00061	CDS	312				hypothetical protein
Ama_00062	CDS	456				hypothetical protein
Ama_00063	CDS	1170				hypothetical protein
Ama_00064	CDS	402				hypothetical protein
Ama_00065	CDS	1710				hypothetical protein
Ama_00066	CDS	372				hypothetical protein
Ama_00067	CDS	1074	recA			Protein RecA
Ama_00068	CDS	603	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
Ama_00069	CDS	807	thiF	2.7.7.73	COG0476	Sulfur carrier protein ThiS adenylyltransferase
Ama_00070	CDS	849	msp4_1			Major surface antigen 4
Ama_00071	CDS	1932				hypothetical protein
Ama_00072	CDS	915				hypothetical protein
Ama_00073	CDS	180				hypothetical protein
Ama_00074	CDS	204	xseB	3.1.11.6		Exodeoxyribonuclease 7 small subunit
Ama_00075	CDS	168				hypothetical protein
Ama_00076	CDS	336	trxA		COG0526	Thioredoxin
Ama_00077	CDS	798	ptlF_1		COG3504	Type IV secretion system protein PtlF
Ama_00078	CDS	1119	acoA	1.1.1.-	COG1071	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha
Ama_00079	CDS	873	menH	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
Ama_00080	rRNA	2781				23S ribosomal RNA
Ama_00081	rRNA	111				5S ribosomal RNA
Ama_00082	CDS	1467	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
Ama_00083	CDS	822	nadK	2.7.1.23		NAD kinase
Ama_00084	CDS	222	rpmE		COG0254	50S ribosomal protein L31
