locus_tag	ftype	length_bp	gene	EC_number	COG	product
Ech_00001	CDS	846	spo0J		COG1475	Stage 0 sporulation protein J
Ech_00002	CDS	528	rimM		COG0806	Ribosome maturation factor RimM
Ech_00003	CDS	708	trmD	2.1.1.228	COG0336	tRNA (guanine-N(1)-)-methyltransferase
Ech_00004	CDS	378	rplS		COG0335	50S ribosomal protein L19
Ech_00005	CDS	486	pncC	3.5.1.42	COG1546	Nicotinamide-nucleotide amidohydrolase PncC
Ech_00006	CDS	1902	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase
Ech_00007	CDS	480	infC			Translation initiation factor IF-3
Ech_00008	CDS	468	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
Ech_00009	CDS	702	ybhL		COG0670	Inner membrane protein YbhL
Ech_00010	CDS	1002				hypothetical protein
Ech_00011	CDS	1008	gapB	1.2.1.59	COG0057	Glyceraldehyde-3-phosphate dehydrogenase 2
Ech_00012	CDS	666	elbB	4.2.1.-	COG3155	Glyoxalase ElbB
Ech_00013	CDS	810	proC	1.5.1.2		Pyrroline-5-carboxylate reductase
Ech_00014	CDS	1479	ruvB_1	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvB
Ech_00015	CDS	306	ybaB			Nucleoid-associated protein YbaB
Ech_00016	CDS	1011	asd2	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase 2
Ech_00017	CDS	1179	metK	2.5.1.6	COG0192	S-adenosylmethionine synthase
Ech_00018	tRNA	77				tRNA-Arg(tct)
Ech_00019	CDS	1173	ubiL	1.14.13.-	COG0654	Ubiquinone hydroxylase UbiL
Ech_00020	CDS	441				hypothetical protein
Ech_00021	tRNA	75				tRNA-Gln(ttg)
Ech_00022	CDS	843	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
Ech_00023	CDS	2112	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
Ech_00024	CDS	1143	dnaJ		COG0484	Chaperone protein DnaJ
Ech_00025	CDS	840	nadC	2.4.2.19	COG0157	Nicotinate-nucleotide pyrophosphorylase [carboxylating]
Ech_00026	CDS	609	plsY	2.3.1.275	COG0344	Glycerol-3-phosphate acyltransferase
Ech_00027	CDS	471	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
Ech_00028	CDS	825	ctaE	1.9.3.1	COG1845	Cytochrome c oxidase subunit 3
Ech_00029	CDS	1005	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
Ech_00030	CDS	888				hypothetical protein
Ech_00031	CDS	534				hypothetical protein
Ech_00032	CDS	1182				hypothetical protein
Ech_00033	CDS	750	COQ5	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
Ech_00034	CDS	945	nadA	2.5.1.72	COG0379	Quinolinate synthase A
Ech_00035	CDS	150				hypothetical protein
Ech_00036	CDS	285				Ferredoxin-2
Ech_00037	CDS	1719				hypothetical protein
Ech_00038	CDS	2145				hypothetical protein
Ech_00039	CDS	999			COG0630	Type IV secretion system protein VirB11
Ech_00040	CDS	1344				hypothetical protein
Ech_00041	CDS	819	ptlF_1		COG3504	Type IV secretion system protein PtlF
Ech_00042	CDS	705				hypothetical protein
