locus_tag	ftype	length_bp	gene	EC_number	COG	product
wAlbB_00001	CDS	1017	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
wAlbB_00002	CDS	1194	aatA	2.6.1.1	COG0436	Aspartate/prephenate aminotransferase
wAlbB_00003	CDS	318	gdx		COG2076	Guanidinium exporter
wAlbB_00004	CDS	510				hypothetical protein
wAlbB_00005	CDS	1212				hypothetical protein
wAlbB_00006	CDS	1278	glyA	2.1.2.1		Serine hydroxymethyltransferase
wAlbB_00007	CDS	1191	pgk/tpi		COG0126	Bifunctional PGK/TIM
wAlbB_00008	CDS	840				hypothetical protein
wAlbB_00009	CDS	1467				hypothetical protein
wAlbB_00010	CDS	681	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
wAlbB_00011	CDS	2277	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
wAlbB_00012	CDS	273	rpsO			30S ribosomal protein S15
wAlbB_00013	CDS	1002	truB	5.4.99.25		tRNA pseudouridine synthase B
wAlbB_00014	CDS	132				hypothetical protein
wAlbB_00015	CDS	600				IS3 family transposase ISCce4
wAlbB_00016	CDS	300				hypothetical protein
wAlbB_00017	CDS	873				IS982 family transposase ISWpi16
wAlbB_00018	CDS	150				hypothetical protein
wAlbB_00019	CDS	1272				hypothetical protein
wAlbB_00020	CDS	1221	ribD		COG0117	Riboflavin biosynthesis protein RibD
wAlbB_00021	CDS	1182				Deoxyguanosinetriphosphate triphosphohydrolase-like protein
wAlbB_00022	CDS	447	erpA		COG0316	Iron-sulfur cluster insertion protein ErpA
wAlbB_00023	CDS	675	lolD	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
wAlbB_00024	CDS	225				hypothetical protein
wAlbB_00025	CDS	699				hypothetical protein
wAlbB_00026	CDS	1188	nifS	2.8.1.7	COG1104	Cysteine desulfurase NifS
wAlbB_00027	CDS	105				hypothetical protein
wAlbB_00028	CDS	723	ybhL		COG0670	Inner membrane protein YbhL
wAlbB_00029	CDS	468	ctaG		COG3175	Cytochrome c oxidase assembly protein CtaG
wAlbB_00030	CDS	345				hypothetical protein
wAlbB_00031	CDS	234				hypothetical protein
wAlbB_00032	CDS	978		1.3.1.103		2-haloacrylate reductase
wAlbB_00033	CDS	1272				hypothetical protein
wAlbB_00034	CDS	150				hypothetical protein
wAlbB_00035	CDS	873				IS982 family transposase ISWpi16
wAlbB_00036	CDS	1047				hypothetical protein
