locus_tag	ftype	length_bp	gene	EC_number	COG	product
wFol_00001	CDS	1383	dnaA_1			Chromosomal replication initiator protein DnaA
wFol_00002	CDS	2457	topA	5.6.2.1		DNA topoisomerase 1
wFol_00003	CDS	1341				hypothetical protein
wFol_00004	CDS	1125				hypothetical protein
wFol_00005	CDS	1188	ribD		COG0117	Riboflavin biosynthesis protein RibD
wFol_00006	CDS	1200				Deoxyguanosinetriphosphate triphosphohydrolase-like protein
wFol_00007	CDS	462	erpA		COG0316	Iron-sulfur cluster insertion protein ErpA
wFol_00008	CDS	747	lolD	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
wFol_00009	CDS	597				hypothetical protein
wFol_00010	CDS	1077	mreB			Cell shape-determining protein MreB
wFol_00011	CDS	1437		3.4.17.19	COG2317	Thermostable carboxypeptidase 1
wFol_00012	CDS	492	pal			Peptidoglycan-associated lipoprotein
wFol_00013	CDS	1311	tilS	6.3.4.19		tRNA(Ile)-lysidine synthase
wFol_00014	CDS	582	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
wFol_00015	CDS	1344	ffh		COG0541	Signal recognition particle protein
wFol_00016	CDS	1578	ndhB	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
wFol_00017	CDS	327				hypothetical protein
wFol_00018	CDS	363				hypothetical protein
wFol_00019	CDS	3252	purL_1	6.3.5.3		Phosphoribosylformylglycinamidine synthase subunit PurL
wFol_00020	CDS	387				hypothetical protein
wFol_00021	CDS	1170	COQ3_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
wFol_00022	CDS	483				Single-stranded DNA-binding protein
wFol_00023	tRNA	75				tRNA-Arg(ccg)
wFol_00024	tRNA	73				tRNA-Glu(ttc)
wFol_00025	CDS	618	lipB	2.3.1.181	COG0321	Octanoyltransferase
wFol_00026	CDS	690				hypothetical protein
wFol_00027	CDS	648				hypothetical protein
wFol_00028	CDS	264	infA			Translation initiation factor IF-1
wFol_00029	CDS	609	yhdE	3.6.1.9	COG0424	dTTP/UTP pyrophosphatase
wFol_00030	CDS	2064	recG	3.6.4.12	COG1200	ATP-dependent DNA helicase RecG
wFol_00031	CDS	4524				hypothetical protein
wFol_00032	CDS	2205	ligA_1	6.5.1.2	COG0272	DNA ligase
wFol_00033	CDS	1083	srpA			Solvent efflux pump periplasmic linker SrpA
wFol_00034	CDS	1806	rne	3.1.26.12	COG1530	Ribonuclease E
wFol_00035	CDS	201	rpmG		COG0267	50S ribosomal protein L33
wFol_00036	CDS	276				hypothetical protein
wFol_00037	CDS	3360				hypothetical protein
wFol_00038	CDS	990		1.6.5.11	COG2070	NADH:quinone reductase
