locus_tag	ftype	length_bp	gene	EC_number	COG	product
wOne_00001	CDS	363				hypothetical protein
wOne_00002	CDS	528	bioY		COG1268	Biotin transporter BioY
wOne_00003	CDS	588	rutE	1.1.1.298		malonic semialdehyde reductase RutE
wOne_00004	CDS	792	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
wOne_00005	CDS	876	sucD	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
wOne_00006	CDS	1152	sucC	6.2.1.5	COG0045	Succinate--CoA ligase [ADP-forming] subunit beta
wOne_00007	CDS	201				hypothetical protein
wOne_00008	tRNA	76				tRNA-Pro(tgg)
wOne_00009	CDS	177				hypothetical protein
wOne_00010	CDS	687	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
wOne_00011	tRNA	73				tRNA-Glu(ttc)
wOne_00012	CDS	1245				hypothetical protein
wOne_00013	CDS	825	hemF	1.3.3.3	COG0408	Oxygen-dependent coproporphyrinogen-III oxidase
wOne_00014	CDS	2481	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
wOne_00015	CDS	843	parA			Chromosome partitioning protein ParA
wOne_00016	CDS	852	parB		COG1475	putative chromosome-partitioning protein ParB
wOne_00017	CDS	177				hypothetical protein
wOne_00018	CDS	615				hypothetical protein
wOne_00019	rRNA	1501				16S ribosomal RNA
wOne_00020	CDS	378				hypothetical protein
wOne_00021	CDS	357				hypothetical protein
wOne_00022	CDS	1239				hypothetical protein
wOne_00023	CDS	1290	algA		COG0662	Alginate biosynthesis protein AlgA
wOne_00024	CDS	129				hypothetical protein
wOne_00025	CDS	1230	lolE		COG4591	Lipoprotein-releasing system transmembrane protein LolE
wOne_00026	CDS	732				hypothetical protein
wOne_00027	CDS	1221				hypothetical protein
wOne_00028	CDS	864	atpG_1		COG0224	ATP synthase gamma chain
wOne_00029	CDS	1335	pmbA	3.4.-.-	COG0312	Metalloprotease PmbA
wOne_00030	CDS	111				hypothetical protein
wOne_00031	CDS	252	cspA		COG1278	Cold shock protein CspA
wOne_00032	CDS	1227	cshA	3.6.4.13	COG0513	ATP-dependent RNA helicase CshA
wOne_00033	CDS	2307	clpA		COG0542	ATP-dependent Clp protease ATP-binding subunit ClpA
wOne_00034	CDS	1011				hypothetical protein
wOne_00035	CDS	915	fbaB	4.1.2.13	COG1830	Fructose-bisphosphate aldolase class 1
wOne_00036	tRNA	73				tRNA-Cys(gca)
wOne_00037	CDS	1077	pyrD	1.3.5.2	COG0167	Dihydroorotate dehydrogenase (quinone)
wOne_00038	CDS	705	rnc	3.1.26.3		Ribonuclease 3
wOne_00039	CDS	543				hypothetical protein
wOne_00040	CDS	501	pld	3.1.4.4		Phospholipase D
