locus_tag	ftype	length_bp	gene	EC_number	COG	product
wCfeT_00001	CDS	393				IS66 family transposase ISWen3
wCfeT_00002	tRNA	74				tRNA-Val(gac)
wCfeT_00003	CDS	2493				hypothetical protein
wCfeT_00004	CDS	1362				IS66 family transposase ISWen3
wCfeT_00005	CDS	2526	polA	2.7.7.7		DNA polymerase I, thermostable
wCfeT_00006	CDS	792	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
wCfeT_00007	CDS	477	rppH	3.6.1.-	COG0494	RNA pyrophosphohydrolase
wCfeT_00008	CDS	576				hypothetical protein
wCfeT_00009	CDS	828				IS66 family transposase ISWen3
wCfeT_00010	CDS	213				IS66 family transposase ISWen3
wCfeT_00011	CDS	114				hypothetical protein
wCfeT_00012	CDS	1233				hypothetical protein
wCfeT_00013	CDS	486	nusB			Transcription antitermination protein NusB
wCfeT_00014	CDS	420	ribH1	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase 1
wCfeT_00015	CDS	1719	yidC		COG0706	Membrane protein insertase YidC
wCfeT_00016	CDS	504				hypothetical protein
wCfeT_00017	CDS	531				hypothetical protein
wCfeT_00018	CDS	867				hypothetical protein
wCfeT_00019	CDS	843	parA			Chromosome partitioning protein ParA
wCfeT_00020	CDS	849	parB		COG1475	putative chromosome-partitioning protein ParB
wCfeT_00021	CDS	1203	aatA	2.6.1.1	COG0436	Aspartate/prephenate aminotransferase
wCfeT_00022	CDS	2097	virD4			Protein VirD4
wCfeT_00023	CDS	993			COG0630	Type IV secretion system protein VirB11
wCfeT_00024	CDS	1461				hypothetical protein
wCfeT_00025	CDS	804	virB9		COG3504	Type IV secretion system protein virB9
wCfeT_00026	CDS	684	ptlE		COG3736	Type IV secretion system protein PtlE
wCfeT_00027	CDS	1086	ribA	3.5.4.25		GTP cyclohydrolase-2
wCfeT_00028	tRNA	87				tRNA-Leu(gag)
wCfeT_00029	CDS	1227				hypothetical protein
wCfeT_00030	CDS	957				hypothetical protein
wCfeT_00031	CDS	1341				IS66 family transposase ISWen3
wCfeT_00032	CDS	765				hypothetical protein
wCfeT_00033	CDS	1491		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
wCfeT_00034	CDS	255			COG1132	putative ABC transporter ATP-binding protein
wCfeT_00035	CDS	690				hypothetical protein
wCfeT_00036	CDS	204				hypothetical protein
wCfeT_00037	CDS	2049	nqo3	7.1.1.-	COG1034	NADH-quinone oxidoreductase chain 3
wCfeT_00038	CDS	279	rplU		COG0261	50S ribosomal protein L21
wCfeT_00039	tRNA	77				tRNA-Ile(gat)
wCfeT_00040	CDS	1167				hypothetical protein
wCfeT_00041	CDS	300				hypothetical protein
