locus_tag	ftype	length_bp	gene	EC_number	COG	product
Eru_00001	CDS	1008	gapB	1.2.1.59	COG0057	Glyceraldehyde-3-phosphate dehydrogenase 2
Eru_00002	CDS	663	elbB	4.2.1.-	COG3155	Glyoxalase ElbB
Eru_00003	CDS	852	proC	1.5.1.2		Pyrroline-5-carboxylate reductase
Eru_00004	CDS	1464	ruvB_1	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvB
Eru_00005	CDS	306	ybaB			Nucleoid-associated protein YbaB
Eru_00006	CDS	1014	asd2	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase 2
Eru_00007	CDS	1206	metK	2.5.1.6	COG0192	S-adenosylmethionine synthase
Eru_00008	tRNA	77				tRNA-Arg(tct)
Eru_00009	CDS	1173	ubiL	1.14.13.-	COG0654	Ubiquinone hydroxylase UbiL
Eru_00010	CDS	582				hypothetical protein
Eru_00011	tRNA	75				tRNA-Gln(ttg)
Eru_00012	CDS	843	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
Eru_00013	CDS	2109	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
Eru_00014	CDS	1149	dnaJ		COG0484	Chaperone protein DnaJ
Eru_00015	CDS	834	nadC	2.4.2.19	COG0157	Nicotinate-nucleotide pyrophosphorylase [carboxylating]
Eru_00016	CDS	588	plsY	2.3.1.275	COG0344	Glycerol-3-phosphate acyltransferase
Eru_00017	CDS	483	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
Eru_00018	CDS	825	ctaE	1.9.3.1	COG1845	Cytochrome c oxidase subunit 3
Eru_00019	CDS	1008	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
Eru_00020	CDS	867	tlyC		COG1253	Hemolysin C
Eru_00021	CDS	537				hypothetical protein
Eru_00022	CDS	1185				hypothetical protein
Eru_00023	CDS	750	COQ5	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
Eru_00024	CDS	945	nadA	2.5.1.72	COG0379	Quinolinate synthase A
Eru_00025	CDS	285	fdxA		COG1146	Ferredoxin-1
Eru_00026	CDS	1374				hypothetical protein
Eru_00027	CDS	2406				hypothetical protein
Eru_00028	CDS	999			COG0630	Type IV secretion system protein VirB11
Eru_00029	CDS	1347				hypothetical protein
Eru_00030	CDS	801	virB9		COG3504	Type IV secretion system protein virB9
Eru_00031	CDS	699	virB8		COG3736	Type IV secretion system protein virB8
Eru_00032	CDS	1116	ribA	3.5.4.25		GTP cyclohydrolase-2
Eru_00033	tRNA	90				tRNA-Leu(gag)
Eru_00034	CDS	1065	COQ3	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
Eru_00035	CDS	480				hypothetical protein
Eru_00036	CDS	780	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
Eru_00037	CDS	432				hypothetical protein
Eru_00038	CDS	1188	pgk/tpi		COG0126	Bifunctional PGK/TIM
Eru_00039	CDS	1167	xseA_1	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
Eru_00040	CDS	207	xseA_2	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
Eru_00041	CDS	207	xseA_3	3.1.11.6		Exodeoxyribonuclease 7 large subunit
Eru_00042	CDS	669				hypothetical protein
Eru_00043	CDS	855	dapD	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
Eru_00044	CDS	1320	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
Eru_00045	CDS	546	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
Eru_00046	CDS	2034	recG	3.6.4.12	COG1200	ATP-dependent DNA helicase RecG
Eru_00047	CDS	963				hypothetical protein
Eru_00048	CDS	150				hypothetical protein
Eru_00049	CDS	456	dksA			RNA polymerase-binding transcription factor DksA
Eru_00050	CDS	663	ccmB		COG2386	Heme exporter protein B
Eru_00051	tRNA	75				tRNA-Val(gac)
Eru_00052	CDS	921	czcD		COG1230	Cadmium, cobalt and zinc/H(+)-K(+) antiporter
Eru_00053	CDS	624				hypothetical protein
Eru_00054	CDS	288	rpsT		COG0268	30S ribosomal protein S20
Eru_00055	CDS	138				hypothetical protein
Eru_00056	CDS	168	polA_1	2.7.7.7	COG0258	DNA polymerase I, thermostable
Eru_00057	CDS	2583	polA_2	2.7.7.7	COG0258	DNA polymerase I
Eru_00058	CDS	309				hypothetical protein
Eru_00059	CDS	918	argF	2.1.3.3	COG0078	Ornithine carbamoyltransferase, anabolic
Eru_00060	CDS	183				hypothetical protein
Eru_00061	CDS	1119	recF		COG1195	DNA replication and repair protein RecF
Eru_00062	CDS	792				hypothetical protein
Eru_00063	CDS	546	def1	3.5.1.88	COG0242	Peptide deformylase 1
Eru_00064	CDS	726	plsC	2.3.1.51	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
Eru_00065	CDS	648	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
Eru_00066	CDS	798				hypothetical protein
Eru_00067	CDS	720	mkl		COG1127	putative ribonucleotide transport ATP-binding protein mkl
Eru_00068	CDS	1842				hypothetical protein
