locus_tag	ftype	length_bp	gene	EC_number	COG	product
wChem_00001	tRNA	76				tRNA-His(gtg)
wChem_00002	CDS	792	dsbD	1.8.1.8		Thiol:disulfide interchange protein DsbD
wChem_00003	CDS	303				hypothetical protein
wChem_00004	CDS	1182	murJ		COG0728	putative lipid II flippase MurJ
wChem_00005	CDS	2538				hypothetical protein
wChem_00006	CDS	1740	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
wChem_00007	CDS	552				hypothetical protein
wChem_00008	CDS	519				hypothetical protein
wChem_00009	CDS	765	menH	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
wChem_00010	CDS	1464	pepA	3.4.11.10		cytosol aminopeptidase
wChem_00011	CDS	690				hypothetical protein
wChem_00012	CDS	315				hypothetical protein
wChem_00013	CDS	129				hypothetical protein
wChem_00014	CDS	819	yqfL	2.7.11.32	COG1806	Putative pyruvate, phosphate dikinase regulatory protein
wChem_00015	CDS	711				hypothetical protein
wChem_00016	CDS	621				hypothetical protein
wChem_00017	CDS	462	dut	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
wChem_00018	CDS	513				hypothetical protein
wChem_00019	CDS	834			COG3039	IS5 family transposase ISCaa6
wChem_00020	CDS	1053	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
wChem_00021	CDS	351				hypothetical protein
wChem_00022	CDS	1386	lpd	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
wChem_00023	CDS	1110	bamB		COG1520	Outer membrane protein assembly factor BamB
wChem_00024	CDS	1392	lpd3	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase 3
wChem_00025	CDS	846	xerC		COG4973	Tyrosine recombinase XerC
wChem_00026	CDS	834			COG3039	IS5 family transposase ISCaa6
wChem_00027	CDS	156				hypothetical protein
wChem_00028	CDS	405				hypothetical protein
wChem_00029	CDS	330				hypothetical protein
wChem_00030	CDS	405				IS256 family transposase ISWpi15
wChem_00031	CDS	720				IS256 family transposase ISWpi15
wChem_00032	CDS	690				hypothetical protein
wChem_00033	CDS	114				hypothetical protein
wChem_00034	CDS	93				hypothetical protein
wChem_00035	CDS	966				hypothetical protein
wChem_00036	CDS	1227	ankX	2.7.1.-	COG0666	Phosphocholine transferase AnkX
wChem_00037	CDS	1494				hypothetical protein
wChem_00038	CDS	2439				hypothetical protein
wChem_00039	CDS	201				hypothetical protein
wChem_00040	CDS	1200				hypothetical protein
wChem_00041	CDS	1278	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
wChem_00042	CDS	834			COG3039	IS5 family transposase ISCaa6
wChem_00043	CDS	642				hypothetical protein
wChem_00044	CDS	1542				hypothetical protein
wChem_00045	CDS	669				hypothetical protein
wChem_00046	CDS	1374	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
wChem_00047	CDS	657				hypothetical protein
wChem_00048	CDS	168	tatA			Sec-independent protein translocase protein TatA
wChem_00049	CDS	777	fbpC2	7.2.2.7	COG3842	Fe(3+) ions import ATP-binding protein FbpC 2
wChem_00050	tRNA	74				tRNA-Arg(cct)
wChem_00051	CDS	1209				hypothetical protein
wChem_00052	CDS	1056	cydB	7.1.1.7	COG1294	Cytochrome bd-I ubiquinol oxidase subunit 2
wChem_00053	CDS	174				hypothetical protein
wChem_00054	CDS	381				IS630 family transposase ISWpi11
wChem_00055	CDS	351				IS630 family transposase ISWpi11
wChem_00056	CDS	1083	aaeA			p-hydroxybenzoic acid efflux pump subunit AaeA
wChem_00057	CDS	855	prmC	2.1.1.297	COG2890	Release factor glutamine methyltransferase
wChem_00058	CDS	1242				hypothetical protein
wChem_00059	CDS	399				hypothetical protein
wChem_00060	CDS	489				hypothetical protein
wChem_00061	CDS	768	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
wChem_00062	CDS	489	rppH	3.6.1.-	COG0494	RNA pyrophosphohydrolase
wChem_00063	CDS	603				hypothetical protein
wChem_00064	CDS	324	rsfS			Ribosomal silencing factor RsfS
wChem_00065	CDS	1263	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
wChem_00066	CDS	834			COG3039	IS5 family transposase ISCaa6
wChem_00067	CDS	477				hypothetical protein
wChem_00068	CDS	1296				hypothetical protein
wChem_00069	CDS	294				hypothetical protein
wChem_00070	CDS	324	grxD		COG0278	Glutaredoxin 4
wChem_00071	CDS	225			COG0271	putative protein RP812
wChem_00072	CDS	1347	tme	1.1.1.40	COG0280	NADP-dependent malic enzyme
wChem_00073	CDS	543	pgsA	2.7.8.5	COG0558	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
wChem_00074	CDS	879				hypothetical protein
wChem_00075	CDS	723	bamD		COG4105	Outer membrane protein assembly factor BamD
wChem_00076	CDS	741			COG0217	putative transcriptional regulatory protein
wChem_00077	CDS	1224				hypothetical protein
wChem_00078	CDS	888				hypothetical protein
wChem_00079	CDS	1701		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
wChem_00080	CDS	201				hypothetical protein
wChem_00081	CDS	474				hypothetical protein
wChem_00082	CDS	819				hypothetical protein
wChem_00083	CDS	1707	argS	6.1.1.19		Arginine--tRNA ligase
wChem_00084	CDS	504				hypothetical protein
wChem_00085	CDS	1653	groL5			60 kDa chaperonin 5
wChem_00086	CDS	291	groS			10 kDa chaperonin
wChem_00087	CDS	882	ygfZ			tRNA-modifying protein YgfZ
wChem_00088	CDS	900				hypothetical protein
wChem_00089	CDS	1665				hypothetical protein
wChem_00090	CDS	1080	bfmBAB	1.2.4.4	COG0022	2-oxoisovalerate dehydrogenase subunit beta
wChem_00091	CDS	354				hypothetical protein
wChem_00092	CDS	357				hypothetical protein
wChem_00093	CDS	1602	pyrG	6.3.4.2	COG0504	CTP synthase
wChem_00094	CDS	432	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
wChem_00095	CDS	858				hypothetical protein
wChem_00096	CDS	1359	proP_1			Proline/betaine transporter
wChem_00097	CDS	399				hypothetical protein
wChem_00098	CDS	468				hypothetical protein
wChem_00099	CDS	915				hypothetical protein
wChem_00100	CDS	1953				hypothetical protein
wChem_00101	CDS	861			COG3039	IS5 family transposase ISCaa6
wChem_00102	CDS	351				IS630 family transposase ISWpi11
wChem_00103	CDS	381				IS630 family transposase ISWpi11
wChem_00104	CDS	495			COG3039	IS5 family transposase ISCaa6
wChem_00105	CDS	144				hypothetical protein
wChem_00106	CDS	1218				hypothetical protein
wChem_00107	CDS	1953				hypothetical protein
wChem_00108	CDS	189				hypothetical protein
wChem_00109	CDS	291				hypothetical protein
wChem_00110	CDS	885				hypothetical protein
wChem_00111	CDS	1494	guaB_1	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
wChem_00112	CDS	255				hypothetical protein
wChem_00113	CDS	2238				hypothetical protein
wChem_00114	CDS	1368	pleD			Response regulator PleD
wChem_00115	CDS	297				hypothetical protein
wChem_00116	CDS	4734	gdh	1.4.1.2	COG2902	NAD-specific glutamate dehydrogenase
wChem_00117	CDS	2562	clpB			Chaperone protein ClpB
wChem_00118	CDS	501				hypothetical protein
wChem_00119	CDS	1173	dxr	1.1.1.267		1-deoxy-D-xylulose 5-phosphate reductoisomerase
wChem_00120	CDS	606	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
wChem_00121	CDS	1185	gltP		COG1301	Proton/glutamate-aspartate symporter
wChem_00122	CDS	1509	secD		COG0342	Protein translocase subunit SecD
wChem_00123	CDS	879	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
wChem_00124	CDS	906	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
wChem_00125	CDS	1065				hypothetical protein
wChem_00126	CDS	2601				hypothetical protein
wChem_00127	CDS	939	pyrB	2.1.3.2		Aspartate carbamoyltransferase
wChem_00128	CDS	774				hypothetical protein
wChem_00129	CDS	1032	idiA		COG1840	Iron deficiency-induced protein A
wChem_00130	CDS	351				IS630 family transposase ISWpi11
wChem_00131	CDS	381				IS630 family transposase ISWpi11
wChem_00132	CDS	1290				hypothetical protein
wChem_00133	CDS	795	nadK	2.7.1.23	COG0061	NAD kinase
wChem_00134	CDS	213	rpmE		COG0254	50S ribosomal protein L31
wChem_00135	CDS	1008	fabD	2.3.1.39		Malonyl CoA-acyl carrier protein transacylase
wChem_00136	CDS	1521	purH		COG0138	Bifunctional purine biosynthesis protein PurH
wChem_00137	CDS	222				hypothetical protein
wChem_00138	CDS	153				hypothetical protein
